country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CAN,2000,1,interm,1,I000,7353.939,5680.066,228.566,143.758,180.155,660.573,903.933,817.42,982.517,1286.785,1870.784,2784.842,4408.534,7435.481,12389.873,20162.779,32821.998,53551.213,91625.545,177487.842,.,.,.,.,.,.
CAN,2000,1,interm,1,I001,6.18,0,2.823,0,0,0,0,0,0,0.777,0,0,2.006,2.619,1.645,12.84,21.905,38.999,90.413,333.945,.,.,.,.,.,.
CAN,2000,1,interm,1,I002,5.456,0,0,0,0,0,0,1.008,0.912,2.33,0,0,3.009,1.303,9.87,25.699,24.104,36.015,67.796,154.083,.,.,.,.,.,.
CAN,2000,1,interm,1,I003,43.559,47.353,4.235,0.978,0,0,0.991,3.013,1.833,4.659,7.185,8.967,30.082,34.03,59.254,99.086,197.163,357.048,638.449,1233.002,.,.,.,.,.,.
CAN,2000,1,interm,1,I004,6.458,0,0,0,0.977,0,0,0,0.912,3.106,11.177,16.136,20.061,14.396,3.29,12.84,17.528,23.99,0,17.13,.,.,.,.,.,.
CAN,2000,1,interm,1,I005,29.206,0,0,0.978,0,0.956,0.991,11.035,43.073,65.19,79.847,64.534,53.152,39.267,19.757,14.677,13.151,5.998,5.668,0,.,.,.,.,.,.
CAN,2000,1,interm,1,I006,24.988,23.677,1.412,1.955,0,4.759,1.991,3.013,3.667,7.758,12.777,32.262,20.061,31.411,41.142,77.079,111.722,132.006,209.056,411.029,.,.,.,.,.,.
CAN,2000,1,interm,1,I007,39.59,0,0,0,0,0.956,0.991,2.006,1.833,4.659,17.569,24.199,57.164,87.693,123.443,148.647,199.362,216.031,299.47,316.815,.,.,.,.,.,.
CAN,2000,1,interm,1,I008,70.002,0,0,0,0,0,0,0,0,9.311,10.377,33.166,87.246,145.278,182.696,311.954,411.875,459.066,559.373,607.936,.,.,.,.,.,.
CAN,2000,1,interm,1,I009,79.467,0,0,0,0,0,0.991,2.006,6.413,4.659,18.362,30.473,51.146,103.392,205.743,282.599,449.109,579.076,954.868,1250.132,.,.,.,.,.,.
CAN,2000,1,interm,1,I010,235.944,0,0,0,0,0.956,1.991,4.011,7.334,16.299,31.139,85.144,175.496,345.523,640.293,866.148,1331.997,1785.239,2548.129,3638.967,.,.,.,.,.,.
CAN,2000,1,interm,1,I011,100.419,0,0,0,0,0.956,0.991,2.006,1.833,5.436,23.954,40.335,86.243,142.66,304.51,392.707,536.749,843.118,994.378,1078.834,.,.,.,.,.,.
CAN,2000,1,interm,1,I012,122.379,0,1.412,1.955,0,0,0.991,1.008,3.667,9.311,25.554,58.26,110.307,175.374,256.772,433.065,738.288,927.113,1305.128,1789.549,.,.,.,.,.,.
CAN,2000,1,interm,1,I013,668.921,0,0,0,0,0.956,0,3.013,2.746,17.076,86.247,207.981,510.536,1048.54,1992.038,2949.52,4410.938,5380.812,6159.722,5754.999,.,.,.,.,.,.
CAN,2000,1,interm,1,I014,36.635,0,0,0,0,0,2.982,5.019,6.413,10.864,19.162,24.199,40.112,66.744,82.301,115.6,164.306,240.021,276.852,522.287,.,.,.,.,.,.
CAN,2000,1,interm,1,I015,2.93,0,0,0,0,0,0,0,0,0.777,0.8,1.79,4.012,2.619,4.935,14.677,13.151,17.993,33.898,42.824,.,.,.,.,.,.
CAN,2000,1,interm,1,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,interm,1,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,interm,1,I018,246.606,0,0,0,0,0,0,0,0,0,2.392,5.379,28.076,102.09,251.837,636.766,1290.366,2487.34,4209.241,8048.518,.,.,.,.,.,.
CAN,2000,1,interm,1,I019,4.908,0,0,0,0,1.902,4.963,2.006,3.667,4.659,3.192,1.79,5.015,6.54,4.935,9.167,24.104,15.009,28.23,77.084,.,.,.,.,.,.
CAN,2000,1,interm,1,I020,71.847,0,0,0,0,0,0,0,1.833,1.553,7.185,9.862,37.103,52.348,123.443,227.545,411.875,594.085,949.199,1952.197,.,.,.,.,.,.
CAN,2000,1,interm,1,I021,53.65,0,0,2.933,0,0.956,0.991,3.013,1.833,8.534,11.977,18.82,65.179,106.011,120.153,200.027,273.851,414.069,502.857,590.806,.,.,.,.,.,.
CAN,2000,1,interm,1,I022,79.336,11.867,8.47,8.798,9.738,13.323,20.862,14.039,13.746,10.087,24.754,33.166,52.149,86.377,151.425,260.574,403.1,558.07,960.48,1078.834,.,.,.,.,.,.
CAN,2000,1,interm,1,I023,454.789,35.544,15.516,21.516,16.555,21.895,43.706,35.102,57.74,79.159,129.347,198.084,387.091,672.715,1099.518,1493.73,2352.911,3294.442,4762.946,6207.665,.,.,.,.,.,.
CAN,2000,1,interm,1,I024,22.058,11.867,5.647,0.978,0,1.902,0.991,4.011,4.579,3.883,3.992,9.862,14.043,15.699,29.627,45.869,89.817,129.022,276.852,762.019,.,.,.,.,.,.
CAN,2000,1,interm,1,I025,220.86,0,0,0,1.944,1.902,1.991,8.022,17.413,24.833,45.508,60.05,113.316,253.908,414.793,678.98,1180.843,1758.236,2966.241,4743.496,.,.,.,.,.,.
