country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CZE,1994,1,interm,1,I000,11682.721,8301.098,522.713,275.383,291.556,825.857,1219.482,1304.125,1532.594,2273.529,3769.936,6513.441,10525.486,16647.013,26085.947,39545.564,62023.011,93791.948,141494.604,242194.486,.,.,.,.,.,.
CZE,1994,1,interm,1,I001,2.607,17.08,3.94,0,0,2.207,0,2.911,0,0,0,5.078,0,4.373,0,4.916,18.875,16.036,17.143,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I002,14.834,0,0,0,0,0,2.508,0,0,2.73,14.82,25.39,0,26.324,47.672,44.393,25.145,112.73,240.853,208.268,.,.,.,.,.,.
CZE,1994,1,interm,1,I003,7.818,17.08,0,0,2.725,0,2.508,0,0,5.461,7.422,10.156,0,21.951,17.327,9.881,6.271,48.267,154.797,125.209,.,.,.,.,.,.
CZE,1994,1,interm,1,I004,5.009,0,0,0,2.725,0,0,0,3.035,5.461,0,7.617,3.307,13.162,4.353,0,50.291,16.036,68.742,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I005,1.212,0,0,0,0,0,0,2.911,6.041,0,4.948,0,3.307,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I006,8.222,34.161,11.781,0,5.45,11.011,0,2.911,6.041,2.73,7.422,2.539,6.613,17.535,8.664,29.595,18.875,0,51.599,41.736,.,.,.,.,.,.
CZE,1994,1,interm,1,I007,98.479,0,0,0,2.725,0,0,2.911,6.041,24.574,111.163,197.993,260.665,302.812,259.997,226.979,270.328,370.101,344.051,625.218,.,.,.,.,.,.
CZE,1994,1,interm,1,I008,61.337,0,0,0,0,0,0,0,0,13.652,44.46,81.223,135.276,179.938,164.654,212.181,188.621,305.798,412.793,625.218,.,.,.,.,.,.
CZE,1994,1,interm,1,I009,227.878,0,0,0,0,0,2.508,0,6.041,19.113,64.229,121.847,155.083,399.406,506.978,981.855,1502.511,2204.728,2408.357,3502.13,.,.,.,.,.,.
CZE,1994,1,interm,1,I010,486.19,0,3.94,0,0,0,0,11.7,15.118,35.468,86.471,236.078,465.249,768.071,1321.625,2156.128,3080.395,4650.952,5109.337,5962.092,.,.,.,.,.,.
CZE,1994,1,interm,1,I011,146.998,0,0,0,0,0,0,0,9.077,21.843,44.46,73.606,207.858,342.342,450.642,656.209,936.71,1062.195,911.812,1250.849,.,.,.,.,.,.
CZE,1994,1,interm,1,I012,190.866,0,0,0,2.725,0,5.016,0,24.194,13.652,39.537,98.996,194.664,324.763,619.649,848.627,1188.163,1496.758,1599.914,2459.962,.,.,.,.,.,.
CZE,1994,1,interm,1,I013,962.985,0,0,0,0,0,5.016,2.911,30.235,76.424,224.824,728.52,1530.992,2598.237,3852.246,4475.079,5286.974,4811.949,5126.479,4127.761,.,.,.,.,.,.
CZE,1994,1,interm,1,I014,50.118,0,0,0,0,0,0,2.911,9.077,21.843,41.986,38.085,79.195,83.388,125.645,197.335,226.308,209.264,344.051,1042.168,.,.,.,.,.,.
CZE,1994,1,interm,1,I015,3.807,0,0,0,0,0,0,0,0,0,2.474,0,9.887,0,8.664,9.881,18.875,16.036,68.742,125.209,.,.,.,.,.,.
CZE,1994,1,interm,1,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I018,231.607,0,0,0,0,0,0,0,0,0,2.474,17.773,69.275,171.149,333.66,784.52,1552.801,3186.425,4593.175,5878.619,.,.,.,.,.,.
CZE,1994,1,interm,1,I019,17.723,0,0,0,0,6.598,20.038,26.311,24.194,32.765,9.872,10.156,19.807,21.951,25.991,24.679,12.604,64.303,120.341,208.268,.,.,.,.,.,.
CZE,1994,1,interm,1,I020,99.892,0,0,0,0,0,0,0,0,5.461,4.948,25.39,82.501,144.825,242.67,453.909,685.257,788.628,1531.001,1334.322,.,.,.,.,.,.
CZE,1994,1,interm,1,I021,154.601,17.08,7.88,2.993,0,0,2.508,0,3.035,10.922,34.588,101.535,197.971,324.763,563.313,636.495,854.941,1271.299,1376.204,833.899,.,.,.,.,.,.
CZE,1994,1,interm,1,I022,94.992,17.08,11.781,8.98,16.349,26.436,25.029,17.55,15.118,27.304,24.716,55.833,59.388,162.403,246.98,379.921,471.49,595.4,1015.01,1083.904,.,.,.,.,.,.
CZE,1994,1,interm,1,I023,321.666,119.563,47.161,47.893,35.423,48.459,45.067,43.861,69.517,114.623,160.571,248.748,432.249,649.57,927.318,1194.036,1540.197,1689.827,2580.468,1626.063,.,.,.,.,.,.
CZE,1994,1,interm,1,I024,10.417,68.322,0,2.993,8.174,0,2.508,0,3.035,8.191,7.422,5.078,13.194,0,13.017,29.595,37.749,48.267,172.111,83.473,.,.,.,.,.,.
CZE,1994,1,interm,1,I025,104.315,0,0,0,0,0,0,0,9.077,5.461,39.537,45.702,75.888,118.501,251.334,399.634,722.943,1158.729,1393.518,1042.168,.,.,.,.,.,.
CZE,1994,1,interm,1,I026,10.032,136.644,11.781,2.993,8.174,6.598,10.007,2.911,0,2.73,12.346,12.695,3.307,8.789,8.664,9.881,12.604,48.267,17.143,125.209,.,.,.,.,.,.
CZE,1994,1,interm,1,I027,7.632,0,0,0,0,2.207,0,2.911,3.035,2.73,17.294,15.234,26.387,17.535,8.664,14.798,18.875,0,17.143,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I028,0.805,0,0,0,0,0,0,2.911,0,0,0,0,0,0,8.664,0,6.271,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I029,1.005,0,0,0,0,2.207,0,0,0,2.73,2.474,2.539,0,4.373,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I030,98.503,222.046,70.761,35.92,13.624,39.632,32.552,29.25,33.241,51.851,76.575,93.918,128.696,144.825,220.989,217.097,326.889,305.798,757.015,917.372,.,.,.,.,.,.
CZE,1994,1,interm,1,I031,34.461,0,0,0,0,0,0,0,3.035,5.461,12.346,27.929,52.807,70.226,129.999,123.346,194.892,209.264,206.396,416.95,.,.,.,.,.,.
CZE,1994,1,interm,1,I032,61.891,0,0,0,0,0,0,2.911,6.041,8.191,24.716,35.546,62.695,162.403,177.671,261.49,383.45,305.798,550.447,708.691,.,.,.,.,.,.
CZE,1994,1,interm,1,I033,3148.626,0,0,0,0,6.598,10.007,38.011,75.558,207.429,583.03,1317.42,2464.732,4590.762,7570.14,12033.867,19293.414,28131.17,41149.49,69126.877,.,.,.,.,.,.
CZE,1994,1,interm,1,I034,339.678,85.402,19.66,2.993,8.174,17.61,40.076,26.311,54.4,100.998,125.983,203.071,333.247,430.102,775.639,1080.522,1835.67,2574.989,4163.068,7129.468,.,.,.,.,.,.
CZE,1994,1,interm,1,I035,1541.197,34.161,3.94,0,0,13.218,12.514,26.311,33.241,68.233,155.648,304.606,666.494,1092.835,2491.613,4864.881,8813.714,16817.607,28471.032,55827.048,.,.,.,.,.,.
CZE,1994,1,interm,1,I036,845.209,0,0,2.993,0,2.207,7.523,14.611,24.194,40.929,79.049,170.063,303.553,689.056,1178.652,2304.153,4356.598,8577.738,16101.997,39066.413,.,.,.,.,.,.
CZE,1994,1,interm,1,I037,9.229,17.08,0,0,0,0,5.016,0,3.035,0,7.422,12.695,0,4.373,13.017,19.714,18.875,96.534,137.655,375.213,.,.,.,.,.,.
CZE,1994,1,interm,1,I038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,I039,200.2,153.724,0,2.993,8.174,6.598,15.022,23.4,12.082,21.843,44.46,78.684,85.775,149.242,234.006,488.469,961.855,1979.429,3595.478,8755.531,.,.,.,.,.,.
CZE,1994,1,interm,1,I040,10.218,34.161,7.88,2.993,0,6.598,0,0,0,0,4.948,5.078,3.307,8.789,17.327,4.916,50.291,96.534,154.797,333.477,.,.,.,.,.,.
CZE,1994,1,interm,1,I041,240.282,0,0,0,2.725,6.598,2.508,2.911,3.035,13.652,32.114,83.762,148.47,280.905,498.314,888.104,1603.092,2687.559,3371.768,5002.984,.,.,.,.,.,.
CZE,1994,1,interm,1,I042,41.669,0,7.88,0,2.725,0,5.016,5.85,12.082,8.191,9.872,12.695,26.387,70.226,112.671,138.144,301.744,305.798,464.563,542.159,.,.,.,.,.,.
CZE,1994,1,interm,1,I043,73.925,0,0,0,0,0,0,2.911,3.035,16.382,29.64,55.833,95.695,136.036,164.654,202.3,408.596,724.166,877.356,1125.64,.,.,.,.,.,.
