country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
DEUTNP,1998,1,interm,3,I000,9957.679,5116.477,286.475,132.446,173.923,659.978,924.599,844.562,1026.605,1547.029,2633.681,4039.118,6253.002,9840.528,15730.498,26289.391,39904.124,65006.162,112418.907,206383.879,177058.129,298705.373,281488.361,415992.776,.,.
DEUTNP,1998,1,interm,3,I001,3.126,15.095,0,0,0,0.472,0.474,0.728,0,1.232,1.057,1.9,0.461,2.516,3.3,10.021,9.855,11.788,33.683,82.285,42.286,210.104,155.107,593.086,.,.
DEUTNP,1998,1,interm,3,I002,11.854,0,0,0,0,0.472,0.474,0,0.877,1.85,4.226,9.51,10.581,11.495,20.224,29.513,50.798,93.097,124.355,167.483,134.532,271.809,296.089,99.002,.,.
DEUTNP,1998,1,interm,3,I003,43.991,12.571,4.674,0.458,0.883,1.417,1.896,3.997,5.258,8.013,13.387,22.439,34.047,49.572,81.315,127.512,198.651,292.241,427.451,602.378,561.188,729.087,747.285,593.086,.,.
DEUTNP,1998,1,interm,3,I004,12.119,0,0,0,0.443,0.945,0.474,2.544,2.043,6.473,8.103,9.89,11.043,17.6,27.243,35.081,53.829,71.88,67.366,47.024,49.96,37.07,28.251,99.002,.,.
DEUTNP,1998,1,interm,3,I005,13.434,0,0,0,0,1.417,3.322,8.723,21.319,28.968,26.066,23.201,27.148,22.989,9.492,6.681,2.277,2.36,2.601,2.941,3.837,0,0,0,.,.
DEUTNP,1998,1,interm,3,I006,18.372,45.284,10.687,1.835,0.443,4.247,1.896,2.544,2.338,2.465,5.988,6.467,10.581,18.678,24.765,37.864,67.476,90.737,196.897,443.717,376.696,654.947,549.938,1384.175,.,.
DEUTNP,1998,1,interm,3,I007,100.163,0,0.667,0,0,1.417,1.422,0.362,5.841,13.868,58.823,132.354,216.715,259,295.944,276.742,257.788,247.46,329.003,458.393,434.369,531.419,521.687,593.086,.,.
DEUTNP,1998,1,interm,3,I008,79.381,0,0,0,0,0,0,0.728,0.583,5.855,24.658,74.165,120.09,201.884,236.094,269.504,281.29,293.415,344.557,367.314,330.573,481.913,451.196,692.088,.,.
DEUTNP,1998,1,interm,3,I009,181.93,0,0,0,0,0,1.896,2.906,9.345,14.793,44.029,63.517,123.311,202.962,316.172,573.532,877.235,1366.912,1999.949,2682.833,2502.342,3237.663,3087.883,4250.602,.,.
DEUTNP,1998,1,interm,3,I010,354.704,2.524,0.667,0,0.883,0.945,2.848,5.45,12.56,21.263,40.86,101.547,214.417,427.474,752.039,1178.241,1744.623,2511.114,3606.105,5124.693,4716.358,6388.867,6161.641,7909.044,.,.
DEUTNP,1998,1,interm,3,I011,140.164,0,0,0,0,0.472,0,1.091,2.921,12.943,30.292,53.245,126.994,215.173,351.256,489.452,704.371,896.743,1093.234,1178.317,1130.089,1322.21,1325.338,1285.173,.,.
DEUTNP,1998,1,interm,3,I012,138.434,0,0,0.458,0.883,1.417,0.948,1.816,4.673,6.473,19.374,49.444,83.741,175.301,314.931,496.133,683.9,1029.901,1217.589,1572.098,1510.622,1754.736,1847.025,1087.17,.,.
DEUTNP,1998,1,interm,3,I013,780.641,0,0,0,0.443,0,2.848,1.816,8.471,36.056,132.091,344.581,697.08,1292.839,2003.099,3233.485,4072.298,4742.949,4862.553,4692.739,4808.642,4275.747,4370.981,3558.515,.,.
DEUTNP,1998,1,interm,3,I014,31.932,2.524,0,0,0,0,1.422,2.544,8.179,11.71,20.782,20.919,34.508,54.96,59.85,77.399,128.898,148.481,222.803,405.516,319.024,679.7,634.554,988.168,.,.
