country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
ESP,1980,1,interm,4,I000,8240.596,13622.712,705.624,412.432,360.581,764.094,1104.618,1137.609,1313.767,1698.19,2784.632,4239.944,7041.707,11155.349,17294.875,26830.664,45172.765,72827.844,117731.378,207420.865,184875.528,279662.027,268260.161,345707.961,334984.343,467146.067
ESP,1980,1,interm,4,I001,10.373,164.064,7.781,1.194,0.596,0.621,0.706,1.621,0.825,2.758,3.985,4.324,3.725,4.177,8.608,22.426,32.2,49.58,175.216,276.976,249.65,364.001,421.174,0,0,0
ESP,1980,1,interm,4,I002,58.345,6.694,1.555,1.795,1.765,0,0.672,6.223,14.052,29.906,42.81,66.288,91.601,146.087,174.688,224.544,285.421,404.253,351.87,528.413,526.107,525.063,537.013,437.61,476.253,0
ESP,1980,1,interm,4,I003,23.869,301.287,16.346,2.389,1.192,2.478,2.817,4.846,7.414,2.758,9.953,8.657,13.963,32.388,38.735,62.489,82.48,167.339,240.102,318.606,285.338,424.667,351.293,878.866,0,10966.292
ESP,1980,1,interm,4,I004,2.717,3.347,1.555,1.795,0.596,0,2.817,1.621,0.825,3.672,1.993,4.333,3.725,3.136,4.304,1.596,14.06,9.285,13.002,13.791,0,60.667,70.51,0,0,0
ESP,1980,1,interm,4,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,interm,4,I006,31.474,254.364,102.725,24.512,11.963,4.956,4.921,6.467,9.476,9.179,14.934,14.701,19.082,21.939,38.735,57.669,82.48,139.393,103.704,221.555,213.961,242.667,210.902,437.61,476.253,0
ESP,1980,1,interm,4,I007,49.638,0,0.777,0.6,0.596,1.857,1.405,0.81,4.94,11.937,38.825,62.321,98.656,142.075,153.48,203.509,215.318,297.508,324.49,387.818,427.923,242.667,280.783,0,0,0
ESP,1980,1,interm,4,I008,66.395,0,0,0,0,0,0.706,0,1.649,5.507,35.836,59.716,104.243,189.089,255.328,262.759,350.137,461.722,558.153,554.08,570.675,485.334,561.565,0,0,0
ESP,1980,1,interm,4,I009,250.068,0,0,0.6,1.198,1.242,0.706,6.467,18.952,38.578,86.606,150.579,250.373,482.645,751.644,1052.647,1676.246,2367.474,2693.314,3296.513,3067.003,4006.155,3932.217,4390.683,3817.96,10966.292
ESP,1980,1,interm,4,I010,125.221,3.347,0,0.6,0,0,4.921,7.277,9.888,18.367,47.781,67.505,117.279,169.244,334.228,506.3,814.993,1351.061,1797.731,1675.903,1694.098,1578.41,1755.836,437.61,476.253,0
ESP,1980,1,interm,4,I011,51.74,0,0.777,0,0,0,0,2.423,1.649,9.188,15.93,44.998,68.877,122.229,164.962,221.099,336.057,418.332,434.821,498.659,499.299,485.334,491.684,437.61,476.253,0
ESP,1980,1,interm,4,I012,162.934,3.347,2.324,1.789,4.179,2.478,4.215,11.872,14.352,17.607,56.62,97.699,179.147,308.471,538.391,800.224,1082.73,1227.081,1644.706,1943.174,1919.956,1979.992,2149.939,878.866,956.474,0
ESP,1980,1,interm,4,I013,511.95,0,0,1.189,3.565,4.311,4.194,14.46,23.763,51.176,154.575,352.294,703.956,1242.117,1902.158,2715.379,3388.257,3648.474,3240.153,3237.773,3370.436,2716.046,2444.572,4365.156,4270.4,5438.202
ESP,1980,1,interm,4,I014,14.096,0,0,0.6,0,0.621,1.405,2.423,6.355,4.594,12.648,14.701,14.348,28.644,40.547,41.17,56.597,72.094,163.089,413.485,346.326,632.975,662.295,437.61,476.253,0
ESP,1980,1,interm,4,I015,1.496,0,0,0,0,0,0,0,0,0.922,0,0.868,1.862,4.177,4.304,9.609,6.04,15.505,6.501,13.791,0,60.667,70.51,0,0,0
ESP,1980,1,interm,4,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,interm,4,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,interm,4,I018,175.292,0,0.77,0,0,0,0.699,0,0.817,1.809,3.926,13.646,30.274,81.352,248.844,559.038,1358.665,2220.495,4164.304,6048.014,5712.283,7059.895,7406.116,4759.005,5175.281,0
ESP,1980,1,interm,4,I019,6.101,0,0.008,0,0,2.478,0.713,4.044,2.482,5.534,3.047,0.196,2.303,8.489,6.484,24.133,29.784,53.919,99.391,129.358,136.386,102.543,107.654,69.288,75.407,0
ESP,1980,1,interm,4,I020,94.124,0,0.777,0.6,0,0.621,0,0,0.825,2.758,6.964,21.639,74.473,152.028,267.546,414.194,711.423,959.187,1398.665,1440.557,1462.209,1335.206,1334.033,1316.476,956.474,5483.146
ESP,1980,1,interm,4,I021,23.721,3.347,4.671,3.583,0.596,0,0,0.81,3.299,3.672,8.957,17.306,26.98,53.771,69.555,106.535,145.81,190.46,210.847,193.973,196.201,182,140.391,437.61,0,5483.146
ESP,1980,1,interm,4,I022,44.62,14.481,17.108,27.048,22.504,22.893,14.968,21.274,16.179,15.898,23.724,29.062,44.842,60.754,86.672,141.731,189.059,297.812,310.863,322.564,314.324,343.599,327.37,437.61,476.253,0
ESP,1980,1,interm,4,I023,315.73,50.932,38.949,62.034,40.009,49.044,49.784,63.553,64.998,130.747,193.8,275.612,404.53,672.323,903.708,1288.555,1687.99,1909.636,2250.492,2531.222,2500.516,2580.754,2280.258,4412.564,3369.489,16359.551
ESP,1980,1,interm,4,I024,17.523,72.836,5.639,3.572,2.685,5.535,6.997,5.248,4.504,7.759,7.482,10.351,14.871,26.715,32.576,48.661,76.657,132.991,159.026,235.73,196.536,364.001,421.174,0,0,0
ESP,1980,1,interm,4,I025,132.414,13.421,2.332,0.6,1.8,0.621,2.817,7.27,9.88,11.937,24.887,42.41,86.546,144.158,304.129,541.543,1016.192,1536.969,1953.443,2368.535,2264.606,2670.949,2598.184,3074.208,3341.707,0
ESP,1980,1,interm,4,I026,21.572,183.184,13.008,8.355,3.594,1.242,4.229,2.431,8.231,4.594,7.99,23.367,19.568,21.981,39.329,37.171,73.687,112.358,181.78,570.681,356.379,1287.424,1208.751,1757.732,1432.727,5483.146
ESP,1980,1,interm,4,I027,16.333,0,0,0,0,1.187,0.679,3.1,6.436,21.387,23.138,42.938,38.842,38.443,44.412,44.947,48.399,35.835,49.821,53.25,17.09,175.021,134.725,423.023,456.409,0
ESP,1980,1,interm,4,I028,0.167,0,0,0,0,0,0,1.621,0,0,0,0,0.927,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,interm,4,I029,9.855,0,0,0,2.384,2.478,3.516,4.052,1.641,2.758,1.993,0.868,8.055,11.511,9.514,19.012,45.666,112.146,184.218,339.037,241.607,663.576,674.886,579.833,631.035,0
