country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
FRATNP,1979,1,interm,4,I000,10834.41,11807.291,649.692,327.933,351.016,1195.069,1799.73,1518.932,1676.674,2284.866,3744.504,6383.039,9972.176,14509.934,20333.182,31249.135,49459.69,80029.147,130989.506,240215.048,205674.236,349742.647,324801.729,504242.883,478983.015,900152.979
FRATNP,1979,1,interm,4,I001,21.579,127.472,2.92,0,0,0.483,0,1.001,3.107,3.084,6.089,13.145,16.431,20.609,34.407,62.647,94.195,158.976,265.63,526.852,474.262,689.26,683.843,702.671,740.362,0
FRATNP,1979,1,interm,4,I002,55.513,0,2.191,0.482,0,0.483,2.586,5.093,8.429,18.635,24.798,44.094,68.737,93.421,126.347,205.906,268.029,384.827,552.222,789.048,667.596,1175.723,1223.91,814.562,859.391,0
FRATNP,1979,1,interm,4,I003,63.742,74.744,4.949,1.695,2.3,2.166,7.616,4.863,6.719,8.583,19.51,27.854,41.664,58.233,100.486,163.597,288.89,546.34,998.361,1791.373,1459.963,2856.571,2542.105,4853.804,4894.481,3843.14
FRATNP,1979,1,interm,4,I004,8.25,10.346,1.456,0.482,0.484,2.421,3.105,2.039,2.066,0.715,4.775,5.837,8.667,18.708,6.657,27.148,42.084,59.688,37.161,97.839,84.749,139.034,159.311,0,0,0
FRATNP,1979,1,interm,4,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,interm,4,I006,42.958,180.227,29.777,6.954,4.089,7.834,8.961,5.951,5.784,8.874,11.55,25.094,29.906,54.236,74.781,108.933,161.564,283.324,449.053,942.667,763.234,1520.041,1372.383,2452.637,2540.083,783.553
FRATNP,1979,1,interm,4,I007,205.509,3.485,0,0,0,1.952,2.086,2.567,6.372,33.949,128.797,357.181,543.048,613.895,689.475,684.928,787.463,870.126,803.002,853.479,844.059,861.886,822.563,1094.288,866.533,4925.189
FRATNP,1979,1,interm,4,I008,194.432,0,0,0,0,0,0,0,2.654,13.004,81.226,205.207,366.09,548.911,588.78,799.481,915.558,1076.413,1279.766,1209.486,1068.095,1651.61,1521.578,2463.826,2021.116,9850.379
FRATNP,1979,1,interm,4,I009,212.212,0,0,0,0,0,1.581,4.105,6.387,22.427,39.706,84.647,151.193,278.182,537.254,764.19,1267.696,1950.36,2612.927,3462.237,3211.839,4208.963,4243.585,3840.077,3185.221,14775.568
FRATNP,1979,1,interm,4,I010,292.482,3.485,0,0,0.484,0.948,3.563,3.536,14.045,13.54,44.853,93.097,215.801,388.402,619.735,1077.215,1792.173,2696.849,3761.352,4968.67,4750.666,5565.398,5439.679,6216.629,5689.596,14775.568
