country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
GBRTENW,2001,1,interm,3,I000,9878.1,5946.191,248.1,109.083,160,533.319,802.596,844.588,1074.283,1303.799,1852.079,3027.788,4698.233,7643.085,12773.914,21063.497,36132.925,61198.165,98708.144,191847.107,163338.553,272538.142,253740.3,388160.313,.,.
GBRTENW,2001,1,interm,3,I001,10.34,0,1.576,0,0,0,0,0,0,0.488,0.546,0.608,0.566,0.667,1.587,2.712,33.743,63.869,137.096,418.228,320.307,700.677,598.189,1356.967,.,.
GBRTENW,2001,1,interm,3,I002,9.329,0,0,0,0,0,2.561,3.217,2.463,3.401,4.345,6.065,3.393,6.013,6.364,19.011,41.119,65.229,111.095,75.367,70.047,89.448,102.533,0,.,.
GBRTENW,2001,1,interm,3,I003,32.079,83.931,7.092,2.883,1.515,2.322,0.64,1.609,5.915,4.86,4.345,6.065,11.873,20.042,31.813,54.313,98.068,207.93,333.263,697.034,585.532,1013.885,939.965,1469.549,.,.
GBRTENW,2001,1,interm,3,I004,5.232,0,0,0,0,0,1.281,0.534,0.492,5.831,9.236,18.202,11.873,6.681,11.133,8.145,6.33,9.509,7.093,3.783,5.021,0,0,0,.,.
GBRTENW,2001,1,interm,3,I005,4.657,6.709,0,0,0,0,0.64,4.826,11.831,9.715,15.213,8.493,3.393,5.346,0.798,3.625,2.114,1.36,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I006,17.454,114.155,18.116,3.461,3.029,2.902,10.258,5.361,5.915,11.174,8.69,10.92,10.174,16.031,20.68,37.119,35.856,59.801,92.188,188.381,150.136,298.16,256.413,564.905,.,.
GBRTENW,2001,1,interm,3,I007,42.975,0,0,0,0.507,0,1.281,1.609,3.452,1.459,10.322,45.505,63.313,104.876,105.783,132.167,143.403,190.259,181.98,320.273,305.294,357.793,324.768,564.905,.,.
GBRTENW,2001,1,interm,3,I008,153.678,0,0,0,0,0,1.281,0.534,4.932,6.314,20.644,61.888,132.847,220.436,336.427,465.304,694.887,932.263,1264.491,1379.009,1306.187,1565.482,1606.509,1243.388,.,.
GBRTENW,2001,1,interm,3,I009,136.92,0,0,0,0.507,0,0,2.143,4.435,9.232,15.213,31.549,57.094,112.891,231.441,400.125,667.464,944.506,1292.84,1846.196,1826.643,1863.642,1897.1,1583.128,.,.
GBRTENW,2001,1,interm,3,I010,293.881,0,0,0,0,1.161,0.64,1.074,6.407,15.058,36.403,80.096,188.813,307.939,564.686,879.912,1365.521,1927.048,2469.888,3733.858,3548.24,4204.341,3982.095,5540.45,.,.
GBRTENW,2001,1,interm,3,I011,112.105,0,0,0,0,0,0,0,3.452,8.256,21.19,47.932,75.753,156.305,253.716,347.62,502.978,680.856,843.785,1152.945,1045.934,1446.217,1452.629,1356.967,.,.
GBRTENW,2001,1,interm,3,I012,97.74,0,0.788,0,0,1.741,2.561,4.826,6.407,8.744,19.018,37.012,58.793,124.244,182.13,309.597,420.73,659.118,725.596,1100.203,930.846,1580.39,1555.162,1695.711,.,.
GBRTENW,2001,1,interm,3,I013,717.259,0,0,0,0,0,0,1.609,6.407,15.546,47.811,172.931,400.233,821.618,1493.648,2392.587,3623.099,5120.679,5941.913,6292.184,6190.64,6455.591,6562.746,5540.45,.,.
GBRTENW,2001,1,interm,3,I014,38.223,0,0,0,0,0,3.208,4.826,8.875,14.575,13.04,25.484,44.66,50.769,71.578,95.961,122.321,187.538,257.633,493.594,475.416,536.689,461.479,1017.227,.,.
GBRTENW,2001,1,interm,3,I015,3.145,0,0,0,0,0,0,0,0,0,0,1.211,1.694,1.335,8.749,6.337,12.649,27.18,30.722,37.683,40.02,29.816,34.178,0,.,.
GBRTENW,2001,1,interm,3,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,I018,353.139,0,0,0,0,0,0,0,0,0.488,1.632,10.92,36.746,106.21,317.342,686.182,1362.35,2660.903,4587.606,8812.789,7767.073,11733.449,11416.289,13455.095,.,.
GBRTENW,2001,1,interm,3,I019,6.274,0,0,0,0,1.161,1.281,1.074,4.932,5.831,4.891,4.855,2.827,10.018,11.133,16.29,14.763,21.738,33.094,71.584,45.041,149.08,153.88,112.582,.,.
GBRTENW,2001,1,interm,3,I020,116.65,0,0,0.578,0,0,0,0,0.988,2.43,4.891,12.137,27.134,76.818,146.345,257.092,502.978,831.706,1292.84,2456.587,2156.943,3294.951,3059.138,4748.388,.,.
GBRTENW,2001,1,interm,3,I021,68.914,0,0.788,1.734,0,0,0,3.217,3.944,6.314,9.782,29.122,70.1,96.86,159.863,208.212,310.013,377.797,541.244,595.296,595.525,581.413,581.019,564.905,.,.
GBRTENW,2001,1,interm,3,I022,82.939,6.709,6.304,9.812,11.61,12.202,15.386,10.727,15.779,19.43,21.73,33.374,47.486,70.137,126.455,213.636,291.033,496.039,692.526,1179.316,1070.989,1476.033,1452.629,1583.128,.,.
GBRTENW,2001,1,interm,3,I023,616.333,23.515,27.564,14.428,15.14,29.629,39.103,38.075,62.614,92.783,147.773,219.045,445.46,729.437,1155.626,1704.597,2617.154,3682.868,5180.851,7015.589,6580.995,8155.245,8083.73,8366.967,.,.
GBRTENW,2001,1,interm,3,I024,16.485,23.515,3.94,1.734,4.037,2.322,5.769,4.292,4.435,7.773,6.517,8.493,7.913,15.364,13.518,24.445,30.583,70.67,144.166,380.544,270.246,700.677,683.552,791.066,.,.
