country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
JPN,1981,1,interm,4,I000,6751.677,7770.347,674.938,325.382,236.772,730.529,838.199,849.291,1020.638,1539.202,2431.024,4191.104,6367.983,9202.012,14505.803,24209.781,42079.629,72670.891,118515.733,208212.588,187215.699,299009.681,286597.275,406182.551,401528.843,485215.26
JPN,1981,1,interm,4,I001,10.647,39.327,7.107,0.801,0.212,0.505,0.265,0.932,0.184,0.7,1.717,3.473,3.064,6.774,8.771,18.881,37.085,118.579,267.647,941.9,734.493,1897.158,1881.709,1985.119,2074.945,0
JPN,1981,1,interm,4,I002,78.315,1.59,0.591,0.2,0,1.731,2.32,3.846,6.293,12.072,28.146,55.1,82.643,145.536,222.085,369.393,595.564,824.639,1159.711,1355.688,1265.987,1719.41,1757.38,1309.213,1368.261,0
JPN,1981,1,interm,4,I003,17.394,55.898,5.574,1.761,1.065,1.906,2.994,3.216,2.534,2.924,3.697,8.407,12.582,19.371,38.862,58.894,110.793,203.507,296.579,451.379,421.746,571.27,577.241,499.83,520.24,0
JPN,1981,1,interm,4,I004,56.802,30.454,2.779,1.001,0.849,3.247,4.122,6.832,10.742,20.363,46.38,93.678,142.196,143.907,165.964,186.772,276.395,318.815,380.596,423.365,414.793,442.749,452.255,337.953,354.846,0
JPN,1981,1,interm,4,I005,0.158,0,0.343,0,0.246,0,0,0,0.33,0.186,0,0,0,0.232,0,0.348,0.397,0.645,2.554,3.433,4.09,0,0,0,0,0
JPN,1981,1,interm,4,I006,9.4,29.18,10.664,3.211,2.343,1.533,1.069,1.185,2.406,1.872,3.704,5.48,10.892,17.723,26.42,26.924,49.202,70.517,85.35,157.233,149.08,188.065,207.544,0,0,0
JPN,1981,1,interm,4,I007,30.117,0,0.297,0.2,0.425,1.158,2.131,2.118,2.679,7.687,18.119,27.534,51.385,86.17,102.023,140.984,184.259,222.021,263.488,286.174,318.678,113.782,125.316,0,0,0
JPN,1981,1,interm,4,I008,79.041,0,0,0,0,0,0,0,0.367,3.262,12.026,37.953,102.194,189.703,302.925,430.886,612.685,824.006,892.155,967.589,929.858,1099.798,1128.828,795.183,829.978,0
JPN,1981,1,interm,4,I009,560.842,0,0,0.2,0,1.102,8.876,20.62,60.657,108.565,203.346,380.965,687.007,1125.765,1829.542,2816.191,4180.505,5673.908,6937.179,7414.732,7428.71,6958.409,7096.288,5455.527,5283.591,8784.025
JPN,1981,1,interm,4,I010,152.818,0,0,0.2,0,2.077,2.961,8.538,21.306,37.696,56.594,110.055,199.684,312.087,442.105,685.804,1059.334,1560.727,2034.439,2628.718,2643.562,2419.201,2448.425,2070.317,1756.185,8579.746
JPN,1981,1,interm,4,I011,86.242,0,0,0.2,0,0.279,0.272,2.364,5.903,9.957,27.673,57.533,125.856,195.762,295.115,509.966,659.484,810.768,783.591,778.024,783.164,712.466,783.141,28.399,27.064,51.07
JPN,1981,1,interm,4,I012,265.139,1.287,3.586,1.187,1.349,1.836,1.344,4.691,16.709,44.874,87.609,238.201,488.161,706.453,978.417,1334.252,1731.736,2112.151,2432.394,2448.509,2480.372,2165.991,2194.833,1828.922,1497.569,8732.955
JPN,1981,1,interm,4,I013,314.908,0,0.297,0.004,0,0.505,1.622,4.947,11.491,22.612,57.213,124.725,278.389,532.319,1001.802,1809.09,2884.962,3836.542,3980.884,3711.131,3921.138,2499.674,2664.52,880.382,914.178,102.14
JPN,1981,1,interm,4,I014,6.275,0,0,0.2,0.637,0,0.265,0.465,1.836,1.631,3.436,3.473,6.125,12.799,13.931,19.456,34.859,58.076,120.566,222.34,203.136,303.616,292.732,397.592,414.989,0
JPN,1981,1,interm,4,I015,0.79,0,0,0,0,0,0,0,0,0,0.246,0.248,0.556,2.636,2.064,2.292,6.679,8.466,12.048,26.132,23.449,38.026,41.772,0,0,0
JPN,1981,1,interm,4,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,interm,4,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,interm,4,I018,38.526,0,0,0,0.023,0.265,0.278,0.244,0,0.502,0.54,2.226,9.645,26.085,55.047,148.828,306.324,653.576,1031.595,1643.744,1573.69,1897.158,1894.865,1860.161,1945.636,0
JPN,1981,1,interm,4,I019,4.485,0,1.481,0.602,0,2.277,5.831,6.056,3.121,4.425,2.946,4.713,4.734,5.269,3.096,10.301,14.836,25.409,31.351,65.44,54.669,114.077,83.544,397.592,414.989,0
JPN,1981,1,interm,4,I020,32.041,0,0.314,0,0,0.031,0.28,0,0.413,1.797,3.47,8.707,18.765,36.352,73.564,139.792,254.925,456.284,704.818,997.873,862.714,1600.322,1532.403,2186.755,2279.432,153.21
JPN,1981,1,interm,4,I021,19.584,1.275,2.666,0.4,0,0.31,0.68,0.958,1.002,4.014,4.503,12.985,28.106,40.381,78.227,113.347,143.565,176.609,152.03,210.271,207.839,211.057,232.87,0,0,0
JPN,1981,1,interm,4,I022,48.151,22.831,27.841,31.451,28.038,26.587,20.14,20.268,31.215,31.678,43.946,52.598,55.701,73.034,93.945,133.356,163.214,228.74,236.386,222.285,242.332,113.782,125.316,0,0,0
JPN,1981,1,interm,4,I023,193.215,44.161,40.531,30.258,31.676,36.002,37.143,29.496,41.073,59.159,80.481,150.552,234.073,363.447,595.961,834.843,1230.461,1600.887,1999.947,2282.142,2163.875,2735.493,2801.019,2039.078,2132.081,0
JPN,1981,1,interm,4,I024,20.989,31.969,6.007,3.573,5.222,5.442,6.202,7.776,4.885,5.627,9.396,10.926,12.986,27.59,43.432,72.382,125.181,204.011,279.333,566.314,500.614,855.136,816.361,1192.775,1244.967,0
