country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
LTU,1956,1,interm,1,I000,9269.894,58626.912,2284.104,888.463,1027.821,1830.632,2271.907,2870.398,3318.946,4348.896,5637.192,6945.282,11441.608,16593.995,22311.492,33086.252,53455.389,83336.052,122692.84,193195.021,.,.,.,.,.,.
LTU,1956,1,interm,1,I001,97.141,3364.554,64.583,0.996,1.899,6.006,0.729,0,7.341,9.697,28.259,34.896,17.001,24.615,31.103,46.016,74.216,116.005,171.221,268.326,.,.,.,.,.,.
LTU,1956,1,interm,1,I002,805.369,630.311,296.029,72.428,78.897,205.931,325.066,570.953,633.639,830.311,824.066,1015.331,1677.444,2432.749,1341.338,1989.013,3213.643,5009.969,7376.34,11612.725,.,.,.,.,.,.
LTU,1956,1,interm,1,I003,26.084,661.411,18.75,2.406,2.762,3.64,0,0,14.683,19.393,7.84,9.622,17.001,24.615,17.153,25.326,40.928,64.347,95.123,149.378,.,.,.,.,.,.
LTU,1956,1,interm,1,I004,23.826,52.436,28.968,2.655,2.762,5.824,14.224,40.461,15.569,20.47,8.387,10.264,34.002,52.355,33.162,52.08,84.038,131.412,193.705,304.288,.,.,.,.,.,.
LTU,1956,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LTU,1956,1,interm,1,I006,114.595,1775.938,264.382,61.642,87.875,55.419,18.145,14.069,24.049,27.653,69.098,85.188,56.67,82.049,50.314,74.552,120.6,180.352,266.344,417.704,.,.,.,.,.,.
LTU,1956,1,interm,1,I007,17.135,0,0,0,0,0,0,0,5.696,7.542,13.127,16.165,35.165,50.988,53.745,79.546,128.786,200.29,295.745,464.73,.,.,.,.,.,.
LTU,1956,1,interm,1,I008,5.071,0,0,0,0,0,0,0,0,0,4.011,4.875,12.787,18.559,15.552,23.186,37.108,58.003,84.746,135.546,.,.,.,.,.,.
LTU,1956,1,interm,1,I009,583.87,0,0,0,0,0,5.562,53.61,76.325,100.018,418.596,515.748,1207.225,1750.962,1890.909,2804.095,4530.423,7062.715,10399.516,16373.444,.,.,.,.,.,.
