country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
LVA,1956,1,interm,1,I000,11028.484,41222.003,1966.821,1249.71,1103.845,1692.874,3031.517,3117.251,3135.411,4013.469,5632.664,7246.81,11200.83,15450.982,25430.329,39302.841,55754.094,88053.793,128296.032,229350.217,.,.,.,.,.,.
LVA,1956,1,interm,1,I001,28.956,1359.374,16.019,0,0,1.799,0,0,1.251,1.631,0.387,0.338,4.613,6.229,4.06,6.109,8.618,13.599,20.596,36.654,.,.,.,.,.,.
LVA,1956,1,interm,1,I002,724.994,717.315,114.986,35.297,48.175,125.1,354.962,546.784,572.675,733.81,891.068,1146.276,1159.312,1599.138,991.506,1532.529,2174.184,3433.061,5002.06,8943.685,.,.,.,.,.,.
LVA,1956,1,interm,1,I003,37.188,1187.959,0,26.538,0,0,6.742,0,9.473,12.118,8.317,10.634,38.324,52.69,17.488,27.108,38.782,61.197,89.249,159.947,.,.,.,.,.,.
LVA,1956,1,interm,1,I004,17.998,5.973,4.758,6.956,6.19,18.591,12.956,16.83,9.116,11.651,9.671,12.322,14.194,19.726,29.355,45.434,64.637,101.995,148.291,266.578,.,.,.,.,.,.
LVA,1956,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,I006,97.791,752.553,267.085,128.823,64.861,74.964,34.901,50.731,21.091,22.837,36.169,46.587,79.665,109.793,59.022,91.249,129.752,197.189,286.97,513.162,.,.,.,.,.,.
LVA,1956,1,interm,1,I007,22.665,0,0,0,0,0,1.586,1.453,2.145,2.796,8.317,10.803,37.615,51.912,62.769,96.976,137.413,217.588,317.177,566.478,.,.,.,.,.,.
LVA,1956,1,interm,1,I008,49.236,0,0,0,0,0,0,5.085,3.753,4.894,13.152,16.879,38.324,52.69,160.827,248.549,352.389,556.815,811.479,1449.517,.,.,.,.,.,.
LVA,1956,1,interm,1,I009,689.18,0,0,0,0,0,13.617,33.054,90.62,116.282,497.466,639.896,1157.183,1596.283,1766.91,2730.987,3873.887,6118.163,8913.909,15934.688,.,.,.,.,.,.
LVA,1956,1,interm,1,I010,94.225,0,0,0,0,0,2.908,26.516,4.111,6.292,18.955,24.306,150.636,207.906,268.253,414.63,587.954,928.528,1353.838,2419.194,.,.,.,.,.,.
LVA,1956,1,interm,1,I011,89.638,2.986,2.062,1.031,0.269,0.72,4.891,7.022,10.367,13.283,34.235,44.055,138.748,191.554,249.828,385.996,547.735,865.065,1260.47,2252.582,.,.,.,.,.,.
LVA,1956,1,interm,1,I012,58.809,1.792,1.269,0.515,0.135,0.36,3.834,6.538,7.328,8.389,22.243,28.526,92.795,127.962,162.388,250.84,355.741,562.103,818.344,1462.846,.,.,.,.,.,.
LVA,1956,1,interm,1,I013,401.326,0,0,1.288,1.211,0,13.485,0,28.062,36.12,228.618,294.207,930.431,1283.256,956.218,1477.932,2096.62,3311.423,4824.935,8623.792,.,.,.,.,.,.
LVA,1956,1,interm,1,I014,7.506,0,1.427,0.258,0.135,0,0,1.574,0.894,1.165,0.774,1.013,1.419,2.076,26.232,40.852,57.934,91.417,133.187,236.588,.,.,.,.,.,.
LVA,1956,1,interm,1,I015,1.306,0,0,0,0,0,0,0,0,0,0,0,0,0,4.997,7.636,11.012,17.377,24.715,46.651,.,.,.,.,.,.
LVA,1956,1,interm,1,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,I018,79.475,21.502,6.027,4.766,0,4.558,0,0,9.116,11.651,21.082,27.176,67.423,92.922,252.014,389.432,552.523,872.62,1271.454,2272.576,.,.,.,.,.,.
LVA,1956,1,interm,1,I019,10.719,2.389,0.634,0.515,0,0.48,0,0,2.324,3.029,5.416,6.921,17.033,23.62,28.418,43.907,62.243,98.217,142.798,256.581,.,.,.,.,.,.
