country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
MDA,1965,1,interm,1,I000,7607.003,55707.117,2545.822,720.397,802.098,1158.76,1374.746,2126.311,2704.868,3352.319,4366.01,6174.238,8472.437,13129.291,21920.841,34865.218,55839.256,91580.592,135596.153,268553.263,.,.,.,.,.,.
MDA,1965,1,interm,1,I001,299.447,12019.23,187.534,6.815,0.617,0,0.29,16.73,9.046,0.723,23.441,0,1.812,1.762,0,38.641,0,110.82,0,0,.,.,.,.,.,.
MDA,1965,1,interm,1,I002,288.396,153.03,25.269,0,11.218,8.184,58.959,223.427,325.989,546.582,483.816,518.385,757.503,975.797,1227.481,1082.293,1093.815,444.151,878.889,0,.,.,.,.,.,.
MDA,1965,1,interm,1,I003,14.353,297.542,23.883,4.575,0,0,0,0,0,17.168,10.665,14.887,13.238,0,0,36.589,60.589,0,0,0,.,.,.,.,.,.
MDA,1965,1,interm,1,I004,41.305,173.188,50.601,19.762,21.931,13.694,18.201,20.027,44.349,31.987,47.437,73.652,39.296,86.177,133.752,85.831,28.954,123.036,0,51.847,.,.,.,.,.,.
MDA,1965,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,interm,1,I006,77.411,499.121,153.884,43.272,41.619,26.579,22.848,10.632,20.55,6.325,70.323,91.36,157.465,168.478,206.268,165.849,80.428,137.87,211.644,19.443,.,.,.,.,.,.
MDA,1965,1,interm,1,I007,28.059,0,0,0,0,0,0,8.242,4.128,18.253,32.995,21.939,81.101,84.944,84.948,164.139,312.595,265.269,744.794,930.013,.,.,.,.,.,.
MDA,1965,1,interm,1,I008,25.204,0,0,0,0,0,0,0,0,0,22.552,0,28.009,159.666,122.702,231.847,321.71,554.97,219.722,0,.,.,.,.,.,.
MDA,1965,1,interm,1,I009,216.475,0,0,0,0,0,9.488,7.994,25.644,61.806,130.758,319.525,421.114,910.767,1575.789,2240.158,1720.614,2078.521,1371.649,3314.992,.,.,.,.,.,.
MDA,1965,1,interm,1,I010,46.173,0,0,0,0,7.05,0,10.632,16.335,4.066,34.217,31.811,106.463,180.814,268.655,313.916,531.894,899.645,221.338,453.665,.,.,.,.,.,.
MDA,1965,1,interm,1,I011,38.055,0,0,0,0,0,0,5.522,0,9.126,30.107,36.826,126.808,77.19,221.923,266.384,443.424,860.379,284.347,401.817,.,.,.,.,.,.
MDA,1965,1,interm,1,I012,55.276,0,0.189,0.487,0.168,1.54,0.484,9.478,1.844,14.819,46.104,60.332,193.138,138.166,309.633,355.977,562.993,1126.52,474.988,680.497,.,.,.,.,.,.
MDA,1965,1,interm,1,I013,189.18,0,0,0,0,16.044,9.681,8.159,22.043,26.927,67.434,303.697,542.208,912.882,1746.144,1336.367,1417.134,1281.842,1008.138,1386.918,.,.,.,.,.,.
MDA,1965,1,interm,1,I014,18.017,0,0.882,2.726,0.785,5.672,1.355,16.401,3.688,12.921,1.555,26.64,19.648,80.538,69.754,209.619,73.457,142.233,311.812,129.618,.,.,.,.,.,.
