country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
NOR,1996,1,interm,3,I000,10202.746,4543.105,352.954,152.728,193.589,536.604,811.669,1073.491,1059.574,1308.544,1851.127,3080.242,4901.834,7801.469,13694.712,22629.975,40533.556,65164.091,107465.435,200741.645,169972.016,289867.841,266319.625,419484.241,.,.
NOR,1996,1,interm,3,I001,15.318,0,9.546,0,0,0,0,0,0,0,0,0,7.643,10.708,0,11.941,25.357,81.295,139.207,750.237,438.009,1668.722,1942.738,0,.,.
NOR,1996,1,interm,3,I002,15.678,0,0,0,0,0,0,0,0,0,13.313,6.564,7.643,0,12.236,35.824,38.035,146.3,194.998,281.283,312.69,185.022,216.554,0,.,.
NOR,1996,1,interm,3,I003,34.763,0,9.546,0,0,0,6.531,0,0,6.451,0,6.564,23.003,10.708,0,95.648,126.783,243.886,306.309,984.941,1001.338,926.872,864.133,1272.206,.,.
NOR,1996,1,interm,3,I004,1.431,0,0,0,0,0,0,0,0,0,0,6.564,0,0,0,0,0,0,55.791,0,0,0,0,0,.,.
NOR,1996,1,interm,3,I005,21.697,0,0,0,0,0,0,23.583,36.763,38.703,53.252,32.948,69.008,32.022,24.472,11.941,12.678,0,0,0,0,0,0,0,.,.
NOR,1996,1,interm,3,I006,17.017,0,47.729,6.375,7.744,7.571,6.531,5.881,0,6.451,6.656,0,0,21.416,24.472,0,63.391,97.586,0,375.345,312.69,556.828,647.579,0,.,.
NOR,1996,1,interm,3,I007,46.634,0,0,0,0,0,0,5.881,0,0,6.656,26.384,69.008,64.145,159.419,251.002,152.139,292.6,167.102,328.314,375.35,185.022,216.554,0,.,.
NOR,1996,1,interm,3,I008,43.283,0,0,0,0,0,0,0,0,6.451,0,0,61.365,64.145,85.768,179.354,228.086,243.886,334.205,421.924,500.669,185.022,216.554,0,.,.
NOR,1996,1,interm,3,I009,166.006,0,0,0,0,0,0,5.881,6.147,12.901,13.313,52.768,153.449,235.064,306.484,478.238,747.772,1089.103,1671.293,1969.882,1940.017,2038.767,2157.21,1272.206,.,.
NOR,1996,1,interm,3,I010,347.081,0,0,0,0,7.571,0,5.881,0,12.901,13.313,118.728,222.457,331.333,956.277,1123.772,1698.397,2226.919,3342.587,3892.733,4255.384,2780.617,2804.789,2544.413,.,.
NOR,1996,1,interm,3,I011,132.641,0,0,0,0,0,0,0,12.235,6.451,13.313,65.96,99.727,128.291,380.016,430.356,735.094,1007.807,863.407,984.941,1063.998,741.85,864.133,0,.,.
NOR,1996,1,interm,3,I012,62.741,0,0,0,0,0,0,5.881,0,25.802,13.313,13.192,23.003,42.73,134.829,131.472,392.903,487.613,584.993,563.017,500.669,741.85,647.579,1272.206,.,.
NOR,1996,1,interm,3,I013,548.542,0,0,0,0,0,0,5.881,6.147,6.451,79.877,138.485,421.911,822.877,1532.537,2319.192,3447.506,3592.171,3509.689,2251.164,2566.006,1296.916,1295.159,1272.206,.,.
NOR,1996,1,interm,3,I014,63.009,0,0,0,0,0,0,0,0,25.802,19.969,85.717,99.727,117.583,98.122,155.354,253.442,260.018,473.411,656.627,438.009,1296.916,1078.605,2544.413,.,.
NOR,1996,1,interm,3,I015,3.342,0,0,0,0,0,0,0,0,0,0,0,0,10.708,24.472,0,0,32.582,0,93.61,62.66,185.022,216.554,0,.,.
NOR,1996,1,interm,3,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,interm,3,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,interm,3,I018,551.546,0,0,0,0,0,0,0,0,0,0,26.384,30.719,181.728,551.671,1004.125,2319.509,4746.278,7186.751,12898.295,11828.081,15938.326,17049.453,8893.983,.,.
