country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
POL,1959,1,interm,1,I000,9329.454,82556.918,2416.298,777.764,697.538,1333.139,2033.499,2199.429,2539.062,3177.336,4270.738,6171.2,10151.675,16828.58,27371.204,43074.351,66014.109,104477.237,161555.75,266090.406,.,.,.,.,.,.
POL,1959,1,interm,1,I001,179.279,6133.425,140.109,11.05,2.978,7.547,7.46,4.669,10.881,8.582,2.079,9.956,5.488,12.736,26.833,48.116,32.812,1.716,2.623,321.372,.,.,.,.,.,.
POL,1959,1,interm,1,I002,697.986,421.247,100.913,21.18,13.363,59.88,213.591,415.962,620.655,701.162,883.825,1130.114,1577.849,2214.565,2893.707,3645.412,3352.931,3202.014,2699.917,2366.667,.,.,.,.,.,.
POL,1959,1,interm,1,I003,68.731,2052.24,39.456,6.706,5.911,5.156,2.101,6.206,5.045,6.797,8.963,17.15,19.422,24.763,54.855,63.875,103.923,96.41,208.493,0,.,.,.,.,.,.
POL,1959,1,interm,1,I004,3.989,24.385,2.208,0.046,1.526,0.978,0.238,2.444,0.46,3.672,0.75,1.608,7.434,8.662,16.305,26.666,8.312,26.853,57.478,7.731,.,.,.,.,.,.
POL,1959,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I006,107.059,1920.763,202.064,61.082,37.097,11.488,11.273,17.491,16.092,25.535,18.574,37.16,39.92,57.271,79.755,141.248,220.668,443.687,123.041,569.303,.,.,.,.,.,.
POL,1959,1,interm,1,I007,26.112,0,2.154,0.606,1.571,0,2.798,1.738,4.621,9.91,7.174,29.499,59.381,72.519,134.54,181.266,198.231,361.309,597.723,886.81,.,.,.,.,.,.
POL,1959,1,interm,1,I008,40.053,0,0.75,0,0,0,0,0,2.881,11.696,16.12,28.296,56.215,135.377,216.275,311.059,426.722,636.506,993.947,1330.767,.,.,.,.,.,.
POL,1959,1,interm,1,I009,356.15,0,2.249,3.018,2.353,6.193,2.798,13.881,37.44,79.54,249.009,356.277,658.078,1190.669,1949.131,3092.715,3911.608,4558.817,5301.489,4582.587,.,.,.,.,.,.
POL,1959,1,interm,1,I010,35.206,0,0,0.303,0.521,0,0.936,2.603,6.72,11.986,27.946,36.865,73.535,111.338,152.569,262.104,449.049,320.726,527.351,1330.767,.,.,.,.,.,.
POL,1959,1,interm,1,I011,17.523,0,0,0,0.194,0,0,1.243,3.535,5.134,15.473,23.767,52.427,69.782,72.79,155.329,105.608,250.665,63.597,183.326,.,.,.,.,.,.
POL,1959,1,interm,1,I012,87.802,0.67,4.532,2.075,0.454,1.541,8.342,2.318,9.5,18.303,27.673,56.09,136.133,271.785,475.852,684.206,1095.081,1474.917,1842.343,1387.09,.,.,.,.,.,.
POL,1959,1,interm,1,I013,165.946,0,3.755,1.046,0,4.998,7.61,3.367,16.294,33.805,73.443,169.091,369.245,733.014,1061.577,1391.685,1652.78,1432.82,1026.948,681.397,.,.,.,.,.,.
POL,1959,1,interm,1,I014,5.915,0,0.484,0,0.015,0.514,0,1.73,2.182,2.333,5.112,8.237,7.071,9.87,13.859,25.827,62.311,77.027,323.011,404.2,.,.,.,.,.,.
POL,1959,1,interm,1,I015,0.852,0,0.218,0,0.03,0,0,0,0,0,0,0,2.413,4.057,5.963,2.152,2.988,10.903,52.67,4.417,.,.,.,.,.,.
POL,1959,1,interm,1,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I018,29.716,0,0.75,0,0,2.064,0,0.865,0,0,0,5.144,9.601,39.914,101.464,220.919,458.339,1083.827,1088.796,1774.172,.,.,.,.,.,.
POL,1959,1,interm,1,I019,5.634,2.933,0,0,0,0,0.936,2.603,1.924,1.172,7.174,2.578,8.225,13.879,32.051,18.021,55.303,68.85,189.261,295.419,.,.,.,.,.,.
POL,1959,1,interm,1,I020,27.451,0,1.056,0.354,0,0.948,0,0,0.746,2.098,7.174,6.985,37.598,78.653,140.293,283.59,314.215,500.422,608.651,1089.462,.,.,.,.,.,.
POL,1959,1,interm,1,I021,19.718,0.587,4.594,2.109,0.834,0.948,1.333,0,2.136,3.415,15.677,19.544,31.202,65.966,107.101,191.626,167.972,274.995,159.539,217.009,.,.,.,.,.,.
POL,1959,1,interm,1,I022,38.552,44.608,39.51,29.921,23.339,22.472,19.518,24.335,16.257,19.754,25.356,28.886,55.112,68.027,117.886,192.465,145.645,191.608,68.842,28.161,.,.,.,.,.,.
POL,1959,1,interm,1,I023,245.943,83.545,46.837,37.695,32.548,36.035,45.773,70.939,96.237,140.721,209.663,304.644,510.087,753.076,1038.051,1574.775,1666.796,2469.704,2546.498,4070.158,.,.,.,.,.,.
POL,1959,1,interm,1,I024,25.363,174.325,13.924,5.945,1.615,5.304,4.096,9.354,11.342,12.087,13.922,13.504,43.747,40.349,93.94,115.165,156.727,125.484,345.084,577.586,.,.,.,.,.,.
POL,1959,1,interm,1,I025,32.008,8.771,3.762,1.812,3.149,8.278,6.541,9.573,13.477,17.589,19.767,20.636,45.369,46.999,147.258,230.549,491.314,414.007,522.106,147.986,.,.,.,.,.,.
POL,1959,1,interm,1,I026,15.094,376.527,15.144,2.069,3.037,1.027,0,0,0.957,2.723,7.174,3.167,2.75,13.734,32.051,17.838,9.29,28.771,57.041,0.552,.,.,.,.,.,.
POL,1959,1,interm,1,I027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I028,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.255,0.652,1.01,1.53,1.657,.,.,.,.,.,.
POL,1959,1,interm,1,I029,21.061,2.821,0,0,0,0,0,0,0.7,0,0.511,1.67,2.361,10.498,53.341,133.259,296.831,670.022,1216.208,2686.382,.,.,.,.,.,.
POL,1959,1,interm,1,I030,283.092,4265.51,218.966,72.658,52.195,65.767,86.849,86.205,79.069,81.672,122.962,135.283,194.67,289.705,451.837,718.423,1226.384,1766.367,2553.054,5127.041,.,.,.,.,.,.
POL,1959,1,interm,1,I031,124.121,71.73,8.479,13.211,34.394,27.866,50.787,46.268,75.543,96.002,104.559,134.743,224.276,316.143,420.484,607.891,844.589,1380.627,2083.617,3102.73,.,.,.,.,.,.
POL,1959,1,interm,1,I032,102.378,0,1.881,0.143,5.211,2.904,2.966,1.47,7.917,14.776,35.819,72.638,180.62,229.584,490.736,692.851,1290.27,2058.726,2853.555,3697.433,.,.,.,.,.,.
POL,1959,1,interm,1,I033,883.542,165.219,42.189,7.677,9.656,13.592,25.107,56.303,122.575,266.42,405.284,749.69,1265.338,2168.935,3872.221,6045.203,9948.675,16178.761,25736.413,39179.21,.,.,.,.,.,.
POL,1959,1,interm,1,I034,1155.788,1463.791,63.242,46.693,43.812,93.178,75.902,117.275,144.135,253.474,402.728,703.237,1302.391,2521.611,4425.196,7674.843,13026.94,21759.622,38153.977,62406.888,.,.,.,.,.,.
POL,1959,1,interm,1,I035,406.866,193.096,15.301,1.824,8.576,34.582,48.96,64.255,71.235,76.895,120.883,231.441,374.136,741.983,1442.044,2587.914,4530.965,8829.313,15577.958,30392.836,.,.,.,.,.,.
POL,1959,1,interm,1,I036,250.601,351.416,16.392,3.802,8.1,2.144,4.176,18.944,21.753,21.707,44.765,82.029,147.745,297.466,702.446,1302.493,3156.112,6518.104,11843.663,25930.626,.,.,.,.,.,.
POL,1959,1,interm,1,I037,109.822,1080.448,48.793,6.031,3.134,6.193,12.112,10.412,5.763,18.716,12.542,33.44,57.577,157.951,325.752,513.957,1058.9,1703.171,2650.744,4139.182,.,.,.,.,.,.
POL,1959,1,interm,1,I038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I039,811.88,18691.358,547.556,52.587,20.823,38.415,44.749,40.819,50.66,62.878,116.623,164.156,311.395,572.842,1002.739,1765.051,2999.547,5743.798,9309.403,16962.583,.,.,.,.,.,.
POL,1959,1,interm,1,I040,37.318,942.016,37.064,4.087,2.226,2.637,0,0.722,0.957,3.504,1.789,5.905,6.98,17.035,41.857,32.248,142.005,156.779,322.792,600.778,.,.,.,.,.,.
POL,1959,1,interm,1,I041,368.917,350.969,21.006,2.607,5.122,3.368,4.202,1.856,12.52,20.602,46.588,80.028,291.415,813.02,1572.531,3143.202,5017.336,8398.649,11012.532,20192.315,.,.,.,.,.,.
POL,1959,1,interm,1,I042,135.351,1103.493,55.159,10.907,12.5,20.279,36.097,38.896,40.441,57.119,49.74,99.707,157.54,311.571,411.121,575.278,829.595,1293.909,1988.55,3290.473,.,.,.,.,.,.
POL,1959,1,interm,1,I043,84.792,0,0,0.777,2.658,3.783,9.331,18.239,31.567,42.153,60.799,100.492,173.251,296.758,450.905,565.064,820.849,832.96,1083.332,755.942,.,.,.,.,.,.
POL,1959,1,interm,1,I044,68.82,74.942,13.134,8.992,6.164,3.566,13.745,8.582,30.941,32.778,50.456,104.826,145.305,226.348,274.368,393.32,519.617,667.297,837.25,731.093,.,.,.,.,.,.
POL,1959,1,interm,1,I045,303.199,4308.386,131.222,34.923,33.747,36.677,40.096,33.16,59.672,78.625,140.139,150.26,257.852,496.829,709.573,1214.943,1731.225,2165.13,3783.031,6316.449,.,.,.,.,.,.
POL,1959,1,interm,1,I046,14.995,366.025,2.665,0,0.536,0.84,0.697,0.655,2.679,1.853,0,6.605,4.813,6.44,14.861,28.344,21.024,163.038,310.991,384.321,.,.,.,.,.,.
POL,1959,1,interm,1,I047,29.424,36.452,4.737,3.962,4.817,8.179,8.157,7.348,9.473,12.578,13.445,29.021,36.56,72.277,111.014,147.668,275.264,405.93,508.775,1443.413,.,.,.,.,.,.
POL,1959,1,interm,1,I048,178.481,97.344,24.591,20.128,13.393,26.967,39.081,40.626,65.923,70.4,86.752,133.208,234.655,268.694,575.499,918.512,1687.874,3290.953,6215.885,11433.551,.,.,.,.,.,.
POL,1959,1,interm,1,I049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I050,796.912,31340.434,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I051,148.633,5463.134,47.948,17.481,14.1,11.587,4.661,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,I052,237.505,43.239,96.346,102.927,87.401,278.734,449.817,383.566,302.576,282.915,262.965,245.338,290.844,246.49,245.694,236.276,356.969,494.163,837.687,242.409,.,.,.,.,.,.
POL,1959,1,interm,1,I053,326.422,812.047,346.303,140.193,147.546,316.171,393.963,324.383,253.408,251.644,276.29,290.391,359.748,387.245,415.337,542.411,784.342,1397.587,2435.476,3454.472,.,.,.,.,.,.
POL,1959,1,interm,1,I054,120.135,0,1.643,1.835,10.333,65.55,176.505,172.654,169.985,189.604,164.148,203.612,201.495,238.778,264.701,225.734,208.607,296.599,468.563,827.726,.,.,.,.,.,.
POL,1959,1,interm,1,I055,37.123,46.2,20.944,18.676,18.463,37.99,72.274,57.311,35.626,47.119,35.188,30.113,39.985,27.742,44.699,53.369,54.542,31.598,65.127,289.345,.,.,.,.,.,.
POL,1959,1,interm,1,I056,60.164,42.82,26.124,18.625,22.096,56.808,97.972,78.169,64.523,75.891,73.733,74.172,82.435,75.594,88.187,79.27,96.372,221.086,298.534,245.17,.,.,.,.,.,.
POL,1959,2,interm,1,I000,8040.777,66014.992,2212.523,590.361,433.906,652.182,938.244,1216.055,1536.055,1987.976,2726.588,4018.827,5899.797,8998.586,15903.853,26943.879,46810.197,80068.856,134004.772,226481.926,.,.,.,.,.,.
POL,1959,2,interm,1,I001,126.897,4817.609,104.754,11.029,4.255,8.429,6.876,4.661,4.869,8.102,8.622,9.998,6.09,6.122,13.814,20.635,29.368,21.804,51.401,122.891,.,.,.,.,.,.
POL,1959,2,interm,1,I002,342.438,342.447,102.239,25.646,23.95,83.914,216.918,342.144,388.476,335.333,339.353,418.726,447.771,560.334,742.754,1192.847,1325.543,1604.049,1928.16,2132.602,.,.,.,.,.,.
POL,1959,2,interm,1,I003,53.466,1552.129,41.63,10.327,4.171,9.93,11.256,3.565,11.702,9.46,15.204,19.13,12.709,33.378,29.457,50.42,64.531,73.402,81.738,90.538,.,.,.,.,.,.
POL,1959,2,interm,1,I004,4.211,11.896,1.489,0.671,1.506,0.03,1.795,0.986,2.54,2.14,0.405,2.869,2.487,3.5,13.401,14.339,12.019,66.952,63.65,85.227,.,.,.,.,.,.
POL,1959,2,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,2,interm,1,I006,95.033,1620.8,214.524,57.104,22.598,13.876,7.055,9.895,14.623,16.623,21.25,27.383,44.585,55.657,98.805,147.719,161.376,222.774,272.23,850.095,.,.,.,.,.,.
POL,1959,2,interm,1,I007,13.449,0,0.784,0,0,1.075,0.942,2.621,4.784,6.577,6.076,11.947,12.962,18.805,37.132,53.716,93.733,113.013,394.951,412.131,.,.,.,.,.,.
POL,1959,2,interm,1,I008,17.005,0,0,0,0,0,0.942,0.877,1.761,3.059,7.595,12.471,21.941,23.09,49.187,110.63,134.491,225.97,282.418,412.131,.,.,.,.,.,.
POL,1959,2,interm,1,I009,259.338,0,2.358,0,1.598,2.15,1.876,12.247,39.636,59.115,100.407,208.78,320.785,506.793,1019.18,1473.873,2308.634,2754.961,3957.061,3230.893,.,.,.,.,.,.
