country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
ROU,1980,1,interm,1,I000,11122.845,37117.602,1771.106,830.107,619.931,1002.737,1448.944,1678.559,2155.429,3244.064,5119.738,7407.606,10587.986,15773.135,23898.648,37733.321,60512.806,95774.897,156067.944,261875.158,.,.,.,.,.,.
ROU,1980,1,interm,1,I001,30.267,1399.696,35.433,1.031,1.003,0,0,1.142,1.342,0,1.311,1.341,2.891,1.789,3.417,5.132,3.313,10.61,12.745,32.524,.,.,.,.,.,.
ROU,1980,1,interm,1,I002,57.311,19.711,6.05,0,0,1.361,13.665,18.23,37.57,86.226,102.899,131.59,124.211,130.116,192.568,130.909,106.679,114.11,99.025,31.873,.,.,.,.,.,.
ROU,1980,1,interm,1,I003,5.052,120.087,1.732,1.113,1.568,0.721,1.97,0.685,1.624,1.887,7.041,3.97,1.677,2.934,9.043,7.763,4.473,14.111,7.519,0,.,.,.,.,.,.
ROU,1980,1,interm,1,I004,8.91,74.062,9.782,3.124,2.998,4.124,9.144,4.558,6.682,1.573,5.231,4.037,7.214,12.575,30.961,15.5,26.537,21.273,12.745,0,.,.,.,.,.,.
ROU,1980,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,interm,1,I006,26.413,597.526,43.435,27.35,7.028,6.057,3.986,4.946,5.085,10.552,11.328,13.344,14.977,34.971,9.699,20.554,14.776,36.445,40.528,32.524,.,.,.,.,.,.
ROU,1980,1,interm,1,I007,45.238,0,2.403,2.041,0.993,4.07,2.243,1.097,6.682,20.444,35.427,76.551,99.91,134.23,158.949,162.656,185.827,212.465,254.509,359.062,.,.,.,.,.,.
ROU,1980,1,interm,1,I008,18.72,0,0,0,0,0,0,1.142,0,4.718,9.191,17.448,26.051,73.376,65.582,95.525,145.939,69.018,101.957,0,.,.,.,.,.,.
ROU,1980,1,interm,1,I009,299.989,0,0,0,0,0,2.266,12.599,17.497,50.355,97.117,260.592,395.2,649.865,1081.442,1748.077,2291.451,2305.019,1760.79,1725.06,.,.,.,.,.,.
ROU,1980,1,interm,1,I010,92.254,0,0,0,0,2.777,4.555,4.558,16.155,15.726,47.267,76.551,107.138,211.255,283.313,469.888,659.888,732.885,790.8,814.395,.,.,.,.,.,.
