country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
RUS,1965,1,interm,1,I000,8249.238,40239.012,1710.812,899.409,737.262,1449.526,2476.972,3243.855,4274.379,5085.367,6819.54,8692.707,13014.522,18904.724,30135.975,42977.272,64768.345,92180.875,133926.507,213188.401,.,.,.,.,.,.
RUS,1965,1,interm,1,I001,27.414,776.354,88.62,9.184,2.9,2.628,3.566,4.225,3.749,4.268,5.168,5.245,9.406,12.377,13.998,20.89,17.352,43.492,65.337,107.688,.,.,.,.,.,.
RUS,1965,1,interm,1,I002,385.607,107.396,37.14,14.393,9.079,19.927,73.633,188.35,334.209,484.576,714.331,825.932,1104.713,1398.95,1895.86,1762.781,1668.899,1456.34,1001.278,769.412,.,.,.,.,.,.
RUS,1965,1,interm,1,I003,10.825,342.497,7.155,2.493,3.662,2.756,3.471,1.795,2.925,2.723,2.777,8.039,9.469,12.476,10.118,11.079,12.78,26.259,18.958,47.924,.,.,.,.,.,.
RUS,1965,1,interm,1,I004,11.524,69.812,18.026,5.634,4.188,5.313,8.66,7.006,7.257,6.543,8.967,7.661,15.446,12.419,24.732,41.419,48.754,64.119,59.002,106.748,.,.,.,.,.,.
RUS,1965,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,I006,46.939,490.53,99.29,37.58,21.552,17.487,16.575,18.892,25.108,24.325,33.045,44.204,50.662,71.177,83.518,95.987,75.727,98.681,84.058,100.358,.,.,.,.,.,.
RUS,1965,1,interm,1,I007,25.191,0,0.852,0.613,0.956,0.957,1.264,2.118,5.522,5.791,18.344,44.296,61.201,85.282,158.813,198.004,263.877,335.01,404.643,407.634,.,.,.,.,.,.
RUS,1965,1,interm,1,I008,84.271,0,0,0,0,0,0.797,1.047,4.027,11.998,33.721,87.656,175.115,287.429,573.672,852.385,1197.847,1332.002,1302.243,940.81,.,.,.,.,.,.
RUS,1965,1,interm,1,I009,578.026,0,0,0.152,0.796,1.723,9.656,30.961,95.629,217.925,439.896,825.83,1596.091,2434.853,3917.813,5170.076,6349.277,6421.97,4872.784,3566.939,.,.,.,.,.,.
RUS,1965,1,interm,1,I010,56.674,0,1.391,1.329,1.324,2.088,4.403,10.98,19.958,23.725,45.981,80.441,136.054,202.669,295.709,507.968,617.632,720.709,638.049,572.172,.,.,.,.,.,.
RUS,1965,1,interm,1,I011,57.047,0.234,0.237,0.138,0.079,0.195,1.023,3.183,8.644,20.042,49.472,87.229,158.408,256.549,389.366,492.201,551.929,596.322,514.278,509.402,.,.,.,.,.,.
RUS,1965,1,interm,1,I012,58.986,1.307,1.605,1.108,0.699,1.47,2.857,5.415,10.692,18.967,40.841,71.553,137.677,237.98,399.913,547.759,650.995,709.83,616.018,558.359,.,.,.,.,.,.
RUS,1965,1,interm,1,I013,372.711,0.985,1.015,0.845,1.45,2.047,5.185,11.913,30.409,104.537,253.285,523.816,1145.362,1927.236,3011.258,3676.521,3345.299,2623.255,1701.212,840.828,.,.,.,.,.,.
RUS,1965,1,interm,1,I014,5.814,0,0.427,0.152,0,0.192,0.3,0.51,1.306,2.84,4.337,6.899,10.655,16.85,21.094,35.709,56.197,119.452,143.013,289.61,.,.,.,.,.,.
RUS,1965,1,interm,1,I015,1.396,0,0,0,0,0,0,0.17,0.219,0.569,1.808,1.97,3.553,3.852,6.328,10.502,11.828,12.443,4.917,139.825,.,.,.,.,.,.
RUS,1965,1,interm,1,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,I018,26.995,0,0.006,0.001,0.026,0.052,0.085,0.402,0.775,0.7,2.03,5.851,18.283,48.504,128.452,287.333,473.432,704.029,879.492,954.247,.,.,.,.,.,.
RUS,1965,1,interm,1,I019,5.785,0,0.592,0.148,0.419,1.634,1.978,4.189,5.074,4.248,5.161,5.919,8.554,10.249,14.247,31.927,53.096,109.753,116.585,84.665,.,.,.,.,.,.
RUS,1965,1,interm,1,I020,28.938,0.507,1.142,0.29,0.026,0,0.079,0.531,0.886,3.723,7.831,17.005,39.59,88.673,152.229,302.751,424.635,619.693,624.812,775.238,.,.,.,.,.,.
RUS,1965,1,interm,1,I021,24.628,5.394,12.07,3.073,0.291,0,0.826,2.533,2.597,8.579,17.463,33.268,61.847,106.364,140.216,213.936,232.057,271.228,208.538,203.817,.,.,.,.,.,.
RUS,1965,1,interm,1,I022,47.31,31.79,50.144,33.383,30.403,31.456,25.1,22.102,22.477,28.908,35.694,48.983,83.847,116.703,161.407,211.03,226.36,180.297,116.301,100.828,.,.,.,.,.,.
RUS,1965,1,interm,1,I023,151.711,69.91,56.257,53.305,44.684,64.091,57.119,60.79,84.326,108.388,164.61,240.34,342.294,507.869,686.756,757.47,808.435,869.019,879.729,802.77,.,.,.,.,.,.
RUS,1965,1,interm,1,I024,11.001,95.925,11.522,5.951,6.833,6.962,7.986,5.348,4.634,5.882,8.861,5.652,14.419,18.527,22.726,35.132,36.84,65.611,24.159,45.763,.,.,.,.,.,.
RUS,1965,1,interm,1,I025,8.857,0,0.629,1.204,2.5,3.378,1.725,3.641,5.174,6.537,13.095,10.3,15.586,29.388,35.86,72.903,62.096,79.619,34.512,89.928,.,.,.,.,.,.
RUS,1965,1,interm,1,I026,7.524,70.446,10.662,2.964,2.114,2.926,2.181,3.664,3.7,6.584,5.642,8.117,9.581,16.727,13.362,19.972,28.185,32.18,35.363,40.124,.,.,.,.,.,.
RUS,1965,1,interm,1,I027,18.342,0,0.094,0.067,0,0.661,5.858,13.776,33.056,39.741,43.19,46.082,41.431,34.536,44.747,43.531,49.071,72.037,22.646,34.58,.,.,.,.,.,.
RUS,1965,1,interm,1,I028,0.509,0,0.022,0.01,0.045,0.149,0.65,0.399,0.503,0.572,1.464,0.606,1.199,1.097,1.086,3.648,1.76,1.083,0.52,1.973,.,.,.,.,.,.
