country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
SWE,1997,1,interm,3,I000,10685.325,3995.342,225.887,169.773,105.517,298.811,699.362,654.804,785.484,1252.019,1732.56,2655.468,4415.52,6992.197,12261.366,20416.308,34132.779,57369.598,99168.508,195847.732,164934.229,290741.879,268729.47,429558.103,.,.
SWE,1997,1,interm,3,I001,2.111,21.449,4.916,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,13.775,22.536,35.471,0,147.859,168.869,0,.,.
SWE,1997,1,interm,3,I002,12.527,0,0,0,0,0,0,0,0,0,3.372,0,3.065,0,5.103,21.915,52.171,89.779,146.371,213.17,186.279,295.717,337.739,0,.,.
SWE,1997,1,interm,3,I003,33.797,21.449,9.833,3.267,0,0,0,0,6.04,6.863,3.372,13.023,9.226,12.623,41.023,54.761,81.162,138.095,337.813,781.91,605.177,1330.027,1182.085,2283.467,.,.
SWE,1997,1,interm,3,I004,4.653,0,0,0,0,0,0,0,3.035,0,16.925,13.023,9.226,12.623,15.358,0,0,6.922,0,0,0,0,0,0,.,.
SWE,1997,1,interm,3,I005,8.629,0,0,3.267,0,0,0,3.323,6.04,24.07,13.52,22.775,18.481,21.038,5.103,5.465,5.81,6.922,0,0,0,0,0,0,.,.
SWE,1997,1,interm,3,I006,34.538,21.449,4.916,3.267,0,3.997,0,6.646,0,3.448,0,6.512,9.226,8.415,15.358,27.38,69.6,103.554,427.845,1083.93,651.747,2437.915,2279.735,3425.201,.,.
SWE,1997,1,interm,3,I007,34.851,0,0,0,0,0,0,0,0,10.311,0,29.286,36.963,71.531,128.171,93.126,98.59,96.633,213.867,302.019,232.848,517.155,591.042,0,.,.
SWE,1997,1,interm,3,I008,63.288,0,0,0,0,0,0,0,0,3.448,6.777,13.023,40.028,88.362,169.143,186.198,313.085,331.361,394.041,497.626,512.038,443.576,253.304,1715.16,.,.
SWE,1997,1,interm,3,I009,139.399,0,0,0,0,0,0,0,9.075,13.759,27.073,39.038,64.67,109.4,230.677,279.324,550.818,966.531,1159.699,1652.67,1373.349,2512.195,2195.301,4572.055,.,.
SWE,1997,1,interm,3,I010,276.924,0,0,0,0,0,7.169,3.323,6.04,13.759,30.445,78.108,138.565,185.097,425.435,794.088,1101.636,1560.239,2690.904,3198.754,3142.311,3325.067,3546.255,1715.16,.,.
SWE,1997,1,interm,3,I011,149.313,0,0,0,0,0,0,0,3.035,13.759,6.777,35.798,123.179,210.343,369.053,509.298,556.628,849.133,990.793,1137.308,1187.07,960.731,1097.65,0,.,.
SWE,1997,1,interm,3,I012,160.941,0,0,0,0,0,3.585,0,9.075,13.759,20.297,68.324,73.895,134.646,230.677,454.537,660.97,1028.623,1317.338,1688.141,1605.969,1920.76,1773.127,2856.894,.,.
