country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
UKR,1965,1,interm,1,I000,8030.414,26101.994,1522.459,699.974,615.374,1176.047,1609.114,2232.613,2772.341,3680.254,5014.764,6808.077,10242.201,14804.867,23987.755,36384.658,52767.491,83681.799,120326.744,209837.026,.,.,.,.,.,.
UKR,1965,1,interm,1,I001,27.663,1228.576,27.365,2.395,1.543,0.603,2.177,1.892,2.692,2.243,3.505,4.015,6.055,7.725,11.829,12.455,8.532,28.642,19.14,21.182,.,.,.,.,.,.
UKR,1965,1,interm,1,I002,410.709,76.798,23.012,7.186,6.172,16.299,92.988,225.294,334.939,522.783,704.516,781.58,910.661,1208.091,1488.518,1573.989,1628.874,1289.928,824.312,574.334,.,.,.,.,.,.
UKR,1965,1,interm,1,I003,14.062,468.959,6.841,1.435,4.116,1.206,0,9.467,10.761,11.777,3.505,2.681,8.067,4.408,7.395,4.152,11.385,0,28.756,21.182,.,.,.,.,.,.
UKR,1965,1,interm,1,I004,10.845,71.314,6.841,6.706,5.66,7.848,7.993,4.259,6.054,5.611,7.879,12.046,7.061,14.347,28.092,35.299,51.246,33.447,19.14,63.748,.,.,.,.,.,.
UKR,1965,1,interm,1,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,interm,1,I006,37.134,279.719,77.737,26.349,19.039,17.511,8.714,11.359,16.139,12.901,43.762,46.837,48.409,48.54,75.392,68.533,79.722,76.457,38.372,127.697,.,.,.,.,.,.
UKR,1965,1,interm,1,I007,17.971,0,0.624,1.915,1.543,1.808,0.728,0.948,2.016,6.171,8.749,25.426,41.348,47.438,65.037,105.898,122.464,210.199,201.293,340.324,.,.,.,.,.,.
UKR,1965,1,interm,1,I008,38.344,0,0,0,0,0,0.728,0,1.346,4.487,11.375,34.791,63.536,126.876,177.374,311.476,378.749,396.513,364.214,361.506,.,.,.,.,.,.
UKR,1965,1,interm,1,I009,443.576,0,0.624,0.48,0.513,2.417,7.265,19.406,69.946,155.375,306.309,499.198,1040.761,1575.474,2372.469,3181.211,3260.6,3215.21,2329.248,1914.245,.,.,.,.,.,.
UKR,1965,1,interm,1,I010,56.774,0,0.624,1.435,2.056,3.02,7.265,9.467,12.108,24.119,30.63,82.975,115.979,131.295,251.293,382.075,452.793,549.427,565.507,361.506,.,.,.,.,.,.
UKR,1965,1,interm,1,I011,64.982,0,0.218,0,0.643,0,2.598,4.53,10.649,22.263,50.987,87.941,156.361,201.558,323.841,450.219,497.857,493.169,417.843,325.597,.,.,.,.,.,.
UKR,1965,1,interm,1,I012,56.445,3.427,1.653,2.104,1.588,2.608,7.151,5.819,9.349,16.912,34.445,62.106,117.592,166.001,283.629,412.2,461.101,450.113,373.275,276.778,.,.,.,.,.,.
UKR,1965,1,interm,1,I013,351.467,0,0,0.96,1.03,0.603,5.81,8.047,32.284,74.04,196.042,420.238,904.616,1448.598,2109.348,2730.623,2258.201,1963.534,1217.375,723.213,.,.,.,.,.,.
UKR,1965,1,interm,1,I014,6.913,0,0,0,0.513,0,0.728,0.948,1.346,2.803,7.879,10.712,7.061,8.826,20.697,45.689,39.861,85.973,115.025,318.94,.,.,.,.,.,.
UKR,1965,1,interm,1,I015,1.298,0,0,0,0,0,1.456,0,0,0,0,0,5.039,4.408,2.961,8.303,14.238,9.563,0,42.566,.,.,.,.,.,.
UKR,1965,1,interm,1,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,interm,1,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,interm,1,I018,28.791,0,0,0,0,0,0.728,1.42,1.346,2.243,1.748,1.334,16.133,41.928,81.299,222.185,373.043,539.865,718.904,574.334,.,.,.,.,.,.
UKR,1965,1,interm,1,I019,7.083,0,0.624,0,0,1.206,2.905,6.151,6.054,3.927,2.626,4.015,7.061,8.826,31.038,37.385,54.099,71.652,86.268,63.748,.,.,.,.,.,.
