country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
USA,1979,1,interm,4,I000,9578.453,14754.046,710.346,367.159,398.71,1436.103,1996.128,1933.611,1910.27,2449.724,3677.807,5952.295,9567.288,14451.914,22592.717,33323.115,50604.624,72726.172,110819.927,186043.014,162024.556,249595.163,233187.113,327133.644,320613.06,378681.757
USA,1979,1,interm,4,I001,4.976,49.454,5.464,0.399,0.295,0.112,0.371,0.21,0.762,1.515,1.417,2.776,3.025,4.032,8.49,10.78,18.351,34.683,62.235,112.494,89.487,173.426,155.247,259.335,254.658,299.218
USA,1979,1,interm,4,I002,14.105,0.539,0.636,0,0.193,0.056,0.57,1.325,3.187,5.809,10.011,15.522,19.353,28.18,33.372,53.821,73.611,110.467,136.905,220.816,194.327,290.905,321.677,143.858,159.85,17.43
USA,1979,1,interm,4,I003,51.35,103.539,7.792,1.818,1.476,2.781,3.549,4.399,6.931,9.063,15.483,28.901,46.965,64.667,108.204,176.205,278.652,444.703,685.026,1265.609,1090.706,1728.51,1549.434,2576.39,2434.132,3703.908
USA,1979,1,interm,4,I004,3.793,5.222,0.71,0.233,0.187,0.656,2.492,3.118,2.571,2.413,3.548,5.498,4.974,7.883,9.616,12.008,9.43,12.619,23.331,18.486,20.283,13.674,15.808,3.262,2.94,5.81
USA,1979,1,interm,4,I005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1979,1,interm,4,I006,17.668,94.292,19.048,4.322,3.906,5.388,4.187,5.453,5.319,7.227,9.125,14.702,19.049,27.682,36.382,44.724,66.535,89.468,129.067,174.828,151.715,235.983,236.495,233.239,241.429,168.492
USA,1979,1,interm,4,I007,51.64,0.006,0.32,0.233,0.231,0.68,1.175,2.136,2.673,10.371,23.153,54.267,109.022,146.267,200.823,235.745,278.807,273.755,305.852,391.19,347.958,505.523,488.59,585.217,584.647,586.815
USA,1979,1,interm,4,I008,52.196,0,0,0.118,0.108,0,0.108,0.236,1.015,6.518,16.165,43.451,104.413,150.814,211.203,253.123,295.981,311.963,336.557,356.937,360.813,346.226,354.052,308.593,308.676,307.933
USA,1979,1,interm,4,I009,80.666,0.579,0,0,0.108,0.189,0.506,2.089,6.402,9.409,20.643,47.517,90.961,153.937,241.256,353.199,526.269,693.326,934.137,1260.312,1207.216,1399.946,1444.716,1185.113,1291.295,339.888
USA,1979,1,interm,4,I010,238.765,0.619,0,0.001,0.325,0.663,2.411,7.179,13.289,28.393,58.114,106.381,227.1,406.272,677.451,1062.111,1646.88,2154.913,3064.6,3897.476,3771.318,4228.323,4240.476,4163.717,4358.58,2608.713
USA,1979,1,interm,4,I011,102.793,0.585,0,0,0,0.189,0.493,0.979,3.296,11.353,29.175,61.32,128.455,203.839,358.668,497.005,689.643,867.221,1005.939,1098.907,1099.491,1096.221,1104.816,1053.651,1107.559,624.581
USA,1979,1,interm,4,I012,59.803,2.344,1.488,0.708,0.767,1.14,1.939,3.02,3.774,7.261,16.066,30.293,65.089,110.96,196.218,288.33,384.088,507.576,646.032,754.565,739.712,793.238,786.797,822.696,883.402,339.888
USA,1979,1,interm,4,I013,697.195,0.619,0.084,0.281,0.23,0.499,1.44,4.388,15.018,59.211,210.162,525.118,1074.518,1739.559,2754.636,3704.989,4582.865,4878.066,4863.144,3923.791,4267.568,3007.445,3130.967,2415.569,2404.366,2504.132
USA,1979,1,interm,4,I014,33.728,1.675,0.031,0.007,0.01,0.883,3.667,8.275,16.339,23.524,32.067,47.809,62.707,75.635,92.004,107.746,149.456,172.729,239.905,380.439,343.695,477.549,409.275,801.167,758.094,1141.675
USA,1979,1,interm,4,I015,5.494,0.062,0,0,0,0,0.069,0.229,0.253,0.806,1.314,2.654,5.292,9.659,16.888,23.206,34.941,43.745,79.338,96.836,82.855,133.83,127.014,166.04,165.362,171.397
USA,1979,1,interm,4,I016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1979,1,interm,4,I017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1979,1,interm,4,I018,206.353,0,0,0.114,0.106,0.461,0.152,0,0.001,0.12,1.111,10.502,41.731,129.758,340.462,753.912,1516.439,2587.663,4182.102,6174.938,5917.935,6850.686,6845.37,6864.392,7138.135,4679.997
