country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CAN,2000,1,long,1,L000,7353.939,5680.066,228.566,143.758,180.155,660.573,903.933,817.42,982.517,1286.785,1870.784,2784.842,4408.534,7435.481,12389.873,20162.779,32821.998,53551.213,91625.545,177487.842,.,.,.,.,.,.
CAN,2000,1,long,1,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L003,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.199,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L006,5.716,0,2.823,0,0,0,0,0,0,0.777,0,0,2.006,2.619,0,12.84,19.727,36.015,90.413,299.686,.,.,.,.,.,.
CAN,2000,1,long,1,L007,0.398,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645,0,0,3.014,0,34.259,.,.,.,.,.,.
CAN,2000,1,long,1,L008,2.798,0,0,0,0,0,0,1.008,0.912,1.553,0,0,2.006,0,3.29,9.167,8.753,23.99,50.847,68.519,.,.,.,.,.,.
CAN,2000,1,long,1,L009,0.199,0,0,0,0,0,0,0,0,0,0,0,0,1.303,1.645,0,0,3.014,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L010,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645,5.511,2.199,3.014,0,8.565,.,.,.,.,.,.
CAN,2000,1,long,1,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L018,0.609,5.934,1.412,0,0,2.858,0,0,0,0.777,0,0.895,0,0,1.645,0,0,3.014,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L019,43.559,47.353,4.235,0.978,0,0,0.991,3.013,1.833,4.659,7.185,8.967,30.082,34.03,59.254,99.086,197.163,357.048,638.449,1233.002,.,.,.,.,.,.
CAN,2000,1,long,1,L020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L021,3.72,0,0,0,0,0,0,1.008,0,0.777,0,0,2.006,1.303,1.645,7.348,30.679,21.006,73.464,102.778,.,.,.,.,.,.
CAN,2000,1,long,1,L022,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CAN,2000,1,long,1,L029,0.268,5.934,0,0.978,0,0,0,0,0,0,0,0,0,1.303,0,1.837,0,0,0,0,.,.,.,.,.,.
