country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CZE,1994,1,long,1,L000,11682.721,8301.098,522.713,275.383,291.556,825.857,1219.482,1304.125,1532.594,2273.529,3769.936,6513.441,10525.486,16647.013,26085.947,39545.564,62023.011,93791.948,141494.604,242194.486,.,.,.,.,.,.
CZE,1994,1,long,1,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L003,1.001,0,0,0,0,0,0,0,0,0,0,2.539,0,4.373,0,0,6.271,16.036,17.143,0,.,.,.,.,.,.
CZE,1994,1,long,1,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L006,0.799,17.08,0,0,0,2.207,0,0,0,0,0,0,0,0,0,4.916,6.271,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L007,0.805,0,3.94,0,0,0,0,2.911,0,0,0,2.539,0,0,0,0,6.271,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L008,12.227,0,0,0,0,0,0,0,0,2.73,14.82,25.39,0,21.951,43.319,44.393,18.875,48.267,206.396,83.473,.,.,.,.,.,.
CZE,1994,1,long,1,L009,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.036,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L010,1.806,0,0,0,0,0,2.508,0,0,0,0,0,0,0,4.353,0,6.271,32.231,17.143,125.209,.,.,.,.,.,.
CZE,1994,1,long,1,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L018,2.41,34.161,11.781,0,0,8.805,0,2.911,0,0,0,0,3.307,4.373,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L019,7.818,17.08,0,0,2.725,0,2.508,0,0,5.461,7.422,10.156,0,21.951,17.327,9.881,6.271,48.267,154.797,125.209,.,.,.,.,.,.
CZE,1994,1,long,1,L020,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.271,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L021,1.204,0,0,0,0,2.207,0,0,0,0,2.474,0,0,4.373,4.353,4.916,0,0,0,41.736,.,.,.,.,.,.
CZE,1994,1,long,1,L022,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.271,0,17.143,0,.,.,.,.,.,.
CZE,1994,1,long,1,L023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L029,1.607,0,0,0,0,0,0,0,6.041,0,0,0,3.307,4.373,0,19.714,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L032,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.271,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L033,2.807,0,0,0,0,0,0,0,3.035,2.73,0,5.078,3.307,8.789,4.353,0,25.145,16.036,17.143,0,.,.,.,.,.,.
CZE,1994,1,long,1,L034,2.001,0,0,0,2.725,0,0,0,0,2.73,0,2.539,0,4.373,0,0,18.875,0,51.599,0,.,.,.,.,.,.
CZE,1994,1,long,1,L035,1.212,0,0,0,0,0,0,2.911,6.041,0,4.948,0,3.307,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L036,1.603,0,0,0,2.725,0,0,0,0,0,2.474,2.539,0,4.373,4.353,0,6.271,0,34.457,0,.,.,.,.,.,.
CZE,1994,1,long,1,L037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L044,0.801,0,0,0,2.725,0,0,0,0,2.73,2.474,0,0,0,0,4.916,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L045,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4.373,0,0,0,16.036,17.143,0,.,.,.,.,.,.
CZE,1994,1,long,1,L046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,long,1,L047,98.479,0,0,0,2.725,0,0,2.911,6.041,24.574,111.163,197.993,260.665,302.812,259.997,226.979,270.328,370.101,344.051,625.218,.,.,.,.,.,.
CZE,1994,1,long,1,L048,61.337,0,0,0,0,0,0,0,0,13.652,44.46,81.223,135.276,179.938,164.654,212.181,188.621,305.798,412.793,625.218,.,.,.,.,.,.
CZE,1994,1,long,1,L049,227.878,0,0,0,0,0,2.508,0,6.041,19.113,64.229,121.847,155.083,399.406,506.978,981.855,1502.511,2204.728,2408.357,3502.13,.,.,.,.,.,.
CZE,1994,1,long,1,L050,6.413,0,0,0,0,0,0,0,0,0,0,10.156,13.194,13.162,13.017,0,31.416,64.303,103.198,125.209,.,.,.,.,.,.
CZE,1994,1,long,1,L051,259.109,0,3.94,0,0,0,0,5.85,15.118,13.652,51.883,126.925,191.358,337.925,684.648,1164.392,1804.254,2381.761,2735.265,3627.339,.,.,.,.,.,.
CZE,1994,1,long,1,L052,227.08,0,0,0,0,0,0,5.85,0,21.843,34.588,109.152,273.859,430.102,636.976,991.736,1276.14,2269.191,2374.072,2334.753,.,.,.,.,.,.
CZE,1994,1,long,1,L053,102.342,0,0,0,2.725,0,5.016,0,9.077,8.191,29.64,55.833,115.469,219.424,346.678,513.148,628.633,691.934,584.904,917.372,.,.,.,.,.,.
CZE,1994,1,long,1,L054,146.998,0,0,0,0,0,0,0,9.077,21.843,44.46,73.606,207.858,342.342,450.642,656.209,936.71,1062.195,911.812,1250.849,.,.,.,.,.,.
CZE,1994,1,long,1,L055,82.111,0,0,0,0,0,0,0,15.118,5.461,9.872,33.007,66.001,92.177,259.997,335.528,528.052,740.361,911.812,1417.381,.,.,.,.,.,.
CZE,1994,1,long,1,L056,59.118,0,0,0,0,0,0,0,3.035,10.922,27.166,81.223,125.389,193.1,194.998,266.456,201.162,257.531,240.853,166.945,.,.,.,.,.,.
CZE,1994,1,long,1,L057,903.869,0,0,0,0,0,5.016,2.911,27.2,65.503,197.634,647.272,1405.603,2405.093,3657.248,4208.673,5085.812,4554.418,4885.627,3960.816,.,.,.,.,.,.
