country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
DEUTNP,1998,1,long,3,L000,9957.679,5116.477,286.475,132.446,173.923,659.978,924.599,844.562,1026.605,1547.029,2633.681,4039.118,6253.002,9840.528,15730.498,26289.391,39904.124,65006.162,112418.907,206383.879,177058.129,298705.373,281488.361,415992.776,.,.
DEUTNP,1998,1,long,3,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L002,0.028,0,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L003,0.596,0,0,0,0,0,0,0.362,0,0,0,0,0,0.36,0.827,2.784,0.762,3.534,10.352,17.645,3.837,61.823,42.24,198.004,.,.
DEUTNP,1998,1,long,3,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L005,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L006,1.172,7.547,0,0,0,0,0.474,0,0,0.307,1.057,0.762,0,1.795,0.827,2.227,6.824,3.534,12.953,20.557,11.55,49.387,42.24,99.002,.,.
DEUTNP,1998,1,long,3,L007,1.304,7.547,0,0,0,0,0,0.362,0,0.925,0,1.142,0.461,0.36,1.65,4.454,2.277,4.708,10.352,44.083,26.899,98.893,70.491,297.006,.,.
DEUTNP,1998,1,long,3,L008,7.89,0,0,0,0,0,0.474,0,0.292,1.85,3.876,7.605,8.74,8.261,14.033,18.373,31.088,56.558,67.366,117.546,96.083,185.351,197.347,99.002,.,.
DEUTNP,1998,1,long,3,L009,0.238,0,0,0,0,0,0,0,0.292,0,0.354,1.142,0,0.717,0,0,0,2.36,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L010,0.832,0,0,0,0,0.472,0,0,0.292,0,0,0.381,0.461,0.717,2.064,3.34,2.277,4.708,10.352,11.763,11.55,12.317,14.125,0,.,.
DEUTNP,1998,1,long,3,L011,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.174,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L012,0.054,0,0,0,0,0,0,0.362,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L014,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L015,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.174,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
DEUTNP,1998,1,long,3,L018,1.017,17.619,8.681,0,0,2.83,0.474,0,0,0.307,0,0,0,1.078,0.414,0,0.762,2.36,2.601,5.882,7.675,0,0,0,.,.
DEUTNP,1998,1,long,3,L019,43.991,12.571,4.674,0.458,0.883,1.417,1.896,3.997,5.258,8.013,13.387,22.439,34.047,49.572,81.315,127.512,198.651,292.241,427.451,602.378,561.188,729.087,747.285,593.086,.,.
DEUTNP,1998,1,long,3,L020,0.778,0,0,0,0,0,0,0,0,0.307,0,0,0.461,0.36,0.827,1.67,5.308,2.36,12.953,23.498,23.061,24.753,28.251,0,.,.
