country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
ESP,1980,1,long,4,L000,8240.596,13622.712,705.624,412.432,360.581,764.094,1104.618,1137.609,1313.767,1698.19,2784.632,4239.944,7041.707,11155.349,17294.875,26830.664,45172.765,72827.844,117731.378,207420.865,184875.528,279662.027,268260.161,345707.961,334984.343,467146.067
ESP,1980,1,long,4,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L002,0.556,0,0,0,0,0,0.706,0,0.825,0,0,0.868,1.862,0,0,3.208,0,3.095,13.002,0,0,0,0,0,0,0
ESP,1980,1,long,4,L003,0.388,3.347,0,0,0,0,0,0,0,1.836,0,0,0,0,0,0,6.04,0,6.501,0,0,0,0,0,0,0
ESP,1980,1,long,4,L004,0.055,3.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L005,0.223,0,1.555,0,0,0,0,0,0,0,0,0.868,0,0,0,0,0,0,6.501,0,0,0,0,0,0,0
ESP,1980,1,long,4,L006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L007,9.153,157.37,6.226,1.194,0.596,0.621,0,1.621,0,0.922,3.985,2.596,1.862,4.177,8.608,19.234,26.16,46.485,149.274,276.976,249.65,364.001,421.174,0,0,0
ESP,1980,1,long,4,L008,53.368,0,0,0,0.567,0,0.672,4.61,14.052,27.148,37.838,55.042,84.161,138.774,160.347,202.118,267.321,382.589,338.93,514.621,526.107,464.396,537.013,0,0,0
ESP,1980,1,long,4,L009,1.331,3.347,0.777,1.795,0.596,0,0,0.81,0,0.922,2.989,2.596,2.789,1.042,0,1.596,2.02,9.285,0,13.791,0,60.667,0,437.61,476.253,0
ESP,1980,1,long,4,L010,3.315,3.347,0.777,0,0.596,0,0,0.81,0,1.836,1.993,8.657,3.725,4.177,14.341,17.622,14.08,12.41,13.002,0,0,0,0,0,0,0
ESP,1980,1,long,4,L011,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.095,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L012,0.333,0,0,0,0,0,0,0,0,0,0,0,0.927,1.042,0,1.596,2.02,3.095,6.501,0,0,0,0,0,0,0
ESP,1980,1,long,4,L013,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,2.02,0,6.501,0,0,0,0,0,0,0
ESP,1980,1,long,4,L014,1.216,6.694,0.777,0,0,0,0,0,0,0,3.985,1.728,2.789,1.042,4.304,1.596,2.02,12.41,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L016,0.055,3.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L018,14.375,214.234,86.386,19.123,7.177,1.857,2.111,1.621,0,1.836,4.981,6.061,2.789,1.042,2.874,8.013,10.06,9.285,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L019,23.869,301.287,16.346,2.389,1.192,2.478,2.817,4.846,7.414,2.758,9.953,8.657,13.963,32.388,38.735,62.489,82.48,167.339,240.102,318.606,285.338,424.667,351.293,878.866,0,10966.292
ESP,1980,1,long,4,L020,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.596,0,0,0,13.791,0,60.667,70.51,0,0,0
ESP,1980,1,long,4,L021,3.674,0,1.555,0,0,0,0,2.423,0.825,0,0.996,2.298,5.587,5.219,7.178,7.46,31.507,24.79,45.445,69.212,71.376,60.667,70.51,0,0,0
ESP,1980,1,long,4,L022,3.722,0,0,0,0,1.242,0.706,0,0,0.922,1.993,1.728,0.927,7.313,11.482,19.234,22.14,37.2,25.942,55.421,53.448,60.667,0,437.61,476.253,0
ESP,1980,1,long,4,L023,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.596,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L025,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.596,2.02,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L026,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1.042,0,1.596,0,0,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L027,0.166,0,0.777,0,0,0,0,0,0,0,0.996,0,0,0,0,0,0,3.095,0,0,0,0,0,0,0,0
ESP,1980,1,long,4,L028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
