country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
FRATNP,1979,1,long,4,L000,10834.41,11807.291,649.692,327.933,351.016,1195.069,1799.73,1518.932,1676.674,2284.866,3744.504,6383.039,9972.176,14509.934,20333.182,31249.135,49459.69,80029.147,130989.506,240215.048,205674.236,349742.647,324801.729,504242.883,478983.015,900152.979
FRATNP,1979,1,long,4,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L002,0.645,0,0,0,0,0.483,0,0.51,0,0,0,0.647,0.673,0.722,0,2.938,2.428,1.759,15.028,8.203,10.594,0,0,0,0,0
FRATNP,1979,1,long,4,L003,0.726,3.458,0.418,0,0,0,0,0,0,0,0,0,0.385,0.722,2.905,3.637,2.592,4.633,9.059,14.02,5.983,40.435,46.24,0,0,0
FRATNP,1979,1,long,4,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L005,0.401,1.729,0.971,0,0,0,0,0,0.501,0,0.199,0,0,0.208,0.769,1.87,2.311,1.674,1.066,7.01,9.024,0,0,0,0,0
FRATNP,1979,1,long,4,L006,1.546,15.505,0.883,0,0,0,0,0,0.612,0.715,0.494,0.073,0.365,0.52,3.114,6.376,4.798,9.959,12.825,45.638,48.456,34.836,35.041,31.329,30.948,0
FRATNP,1979,1,long,4,L007,18.261,106.807,0.647,0,0,0,0,0.491,1.994,2.369,5.397,12.425,15.008,18.437,27.62,47.835,82.066,140.918,227.653,451.982,400.009,613.988,602.562,671.342,707.033,0
FRATNP,1979,1,long,4,L008,39.805,0,0,0,0,0,1.553,2.544,6.324,13.619,20.472,29.826,54.582,64.457,84.227,148.058,176.95,285.809,409.477,624.691,529.879,926.27,938.523,814.562,859.391,0
FRATNP,1979,1,long,4,L009,1.212,0,1.456,0,0,0.483,1.033,0,0.525,1.436,0.686,2.595,1.346,0.722,1.355,3.92,4.856,7.068,3.766,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L010,4.005,0,0.728,0,0,0,0,2.039,1.055,1.436,1.57,3.889,3.372,6.516,8.156,11.77,18.304,30.182,45.083,49.292,63.562,0,0,0,0,0
FRATNP,1979,1,long,4,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L012,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L014,1.803,0,0,0,0,0,0,0,0,0,0.686,0.647,1.346,0.722,1.355,9.805,6.059,26.479,22.524,24.683,21.187,35.769,40.821,0,0,0
FRATNP,1979,1,long,4,L015,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L016,0.292,20.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L018,3.044,58.563,20.425,0,1.926,0.967,3.105,1.019,0,0,0.686,1.948,0,1.45,1.355,2.938,1.214,0,3.766,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L019,63.742,74.744,4.949,1.695,2.3,2.166,7.616,4.863,6.719,8.583,19.51,27.854,41.664,58.233,100.486,163.597,288.89,546.34,998.361,1791.373,1459.963,2856.571,2542.105,4853.804,4894.481,3843.14
FRATNP,1979,1,long,4,L020,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982,1.214,1.759,3.766,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L021,3.776,17.234,0,0,0,0.483,0.519,0.51,1.055,0,2.064,2.595,2.019,7.244,9.511,10.277,14.557,30.808,27.959,68.979,35.901,178.225,122.463,543.787,573.721,0
FRATNP,1979,1,long,4,L022,2.401,0,0,0,0,0.483,0,0.51,0,0.715,0,1.294,2.019,3.622,4.078,13.725,16.974,17.653,11.262,24.683,31.781,0,0,0,0,0
FRATNP,1979,1,long,4,L023,0.12,0,0,0.482,0,0,0,0,0,0,0,0,0,0.722,0,0,0,0,3.766,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L027,0.081,0,0,0,0,0,0,0,0,0.715,0,0,0.673,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L028,0.041,0,0,0,0,0,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L029,0.727,0,0.728,0.482,0,1.45,0,0,0.525,0.715,0,1.294,0.673,0.722,0,1.965,2.428,3.534,0,8.203,0,35.769,40.821,0,0,0
FRATNP,1979,1,long,4,L030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L031,0.473,10.346,3.648,0.96,0,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L032,0.444,0,0,0,0,0.483,0,0,0,0.715,0,0,0.673,1.45,0,0,1.214,3.534,7.496,8.203,0,35.769,40.821,0,0,0
FRATNP,1979,1,long,4,L033,0.59,0,0,0,0,0,0,0.877,0.38,0,0,1.587,0,0.722,0,0.708,5.265,3.838,2.736,5.966,7.651,0,0,0,0,0
FRATNP,1979,1,long,4,L034,7.216,10.346,1.456,0.482,0.484,1.933,3.105,1.157,1.681,0,4.775,4.249,7.994,16.536,6.657,26.44,35.605,52.333,26.929,83.67,77.098,103.576,118.489,0,0,0
FRATNP,1979,1,long,4,L035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L036,4.682,27.553,2.92,2.885,0.963,2.905,1.553,1.019,1.055,1.436,0.686,0.647,2.693,5.794,9.511,6.867,15.771,19.411,45.083,123.268,105.937,178.225,163.284,270.775,285.67,0
FRATNP,1979,1,long,4,L037,0.289,3.458,0,0,0,0,0,0,0,0,0,0.647,2.019,0,0,0,2.428,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L040,0.041,0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L041,0.563,0,0,0.96,0,0,0,0,0,0.715,0,0.647,2.019,1.45,1.355,0.982,1.214,1.759,0,8.203,0,35.769,40.821,0,0,0
FRATNP,1979,1,long,4,L042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRATNP,1979,1,long,4,L043,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0.722,1.355,0,1.214,1.759,0,8.203,10.594,0,0,0,0,0
FRATNP,1979,1,long,4,L044,23.492,42.41,2.057,1.19,0.717,0.579,2.237,2.388,2.625,3.858,6.723,15.368,16.425,31.066,44.882,59.435,93.647,176.629,327.198,668.241,547.143,1056.906,964.172,1638.075,1680.692,783.553
FRATNP,1979,1,long,4,L045,10.491,0,0,0.482,0,0,0,0.51,0.525,2.151,2.064,7.778,9.437,21.726,32.609,42.158,67.918,61.785,93.932,115.065,74.156,249.452,285.748,0,0,0
FRATNP,1979,1,long,4,L046,0.691,0,0,0,0.484,0.483,1.553,0.51,0.525,0,0,0,0,0.722,1.355,1.965,2.428,3.534,3.766,8.203,10.594,0,0,0,0,0
FRATNP,1979,1,long,4,L047,205.509,3.485,0,0,0,1.952,2.086,2.567,6.372,33.949,128.797,357.181,543.048,613.895,689.475,684.928,787.463,870.126,803.002,853.479,844.059,861.886,822.563,1094.288,866.533,4925.189
FRATNP,1979,1,long,4,L048,194.432,0,0,0,0,0,0,0,2.654,13.004,81.226,205.207,366.09,548.911,588.78,799.481,915.558,1076.413,1279.766,1209.486,1068.095,1651.61,1521.578,2463.826,2021.116,9850.379
FRATNP,1979,1,long,4,L049,212.212,0,0,0,0,0,1.581,4.105,6.387,22.427,39.706,84.647,151.193,278.182,537.254,764.19,1267.696,1950.36,2612.927,3462.237,3211.839,4208.963,4243.585,3840.077,3185.221,14775.568
FRATNP,1979,1,long,4,L050,5.1,0,0,0,0,0,0,0.514,1.594,0.721,1.391,4.573,7.469,6.571,12.325,14.821,30.562,33.801,60.572,66.295,21.383,215.549,246.733,0,0,0
FRATNP,1979,1,long,4,L051,179.652,0,0,0,0.484,0.461,3.039,1.483,7.672,7.756,28.887,55.841,121.395,238.039,366.416,655.239,1085.644,1725.406,2341.506,3071.628,2934.933,3446.609,3507,2931.528,2804.328,4925.189
FRATNP,1979,1,long,4,L052,112.83,3.485,0,0,0,0.488,0.519,2.053,6.372,5.777,15.966,37.25,94.406,150.363,253.306,421.977,706.529,971.443,1419.881,1897.042,1815.733,2118.478,1932.679,3285.101,2887.648,9850.379
FRATNP,1979,1,long,4,L053,106.906,2.998,2.225,0.469,0.47,0.502,2.586,3.008,8.486,6.565,19.908,44.161,131.076,215.279,345.558,479.843,638.646,758.274,846.024,950.646,1020.032,691.126,666.865,830.227,876.055,0
FRATNP,1979,1,long,4,L054,101.864,0,0,0,0,0.939,0.5,1.975,4.104,12.541,30.714,67.454,106.958,190.999,289.602,424.48,594.753,708.072,928.801,1274.14,1135.875,1704.176,1589.493,2410.118,2542.464,0
FRATNP,1979,1,long,4,L055,99.772,0,0,0.482,0,0,1.335,2.549,3.8,10.191,16.959,31.963,81.885,120.137,224.41,357.932,561.868,863.16,1307.476,2158.268,2018.876,2567.616,2534.88,2701.033,2566.27,4850.565
FRATNP,1979,1,long,4,L056,155.504,3.485,0,0,0,0.488,0.519,0,1.06,16.61,69.766,222.504,352.82,472.248,518.207,619.551,705.046,677.789,639.581,737.071,747.343,682.106,699.016,548.263,578.482,0
FRATNP,1979,1,long,4,L057,583.209,0,0.297,0,0.192,0.465,3.468,4.9,18.692,68.096,178.194,455.065,864.435,1307.646,1970.96,2760.465,3248.738,3664.268,3775.775,3035.013,3108.453,2704.784,2720.201,2510.82,2649.59,0
FRATNP,1979,1,long,4,L058,44.619,0,0.465,0.482,0,2.234,1.321,1.722,3.824,9.305,22.029,47.184,97.63,124.057,129.969,168.585,171.417,215.891,291.387,415.889,382.941,515.078,512.25,516.933,545.154,0
FRATNP,1979,1,long,4,L059,23.208,0,0.735,1.451,6.312,9.265,10.948,4.105,5.842,2.892,8.332,19.605,30.567,49.635,49.298,78.072,101.456,113.864,230.957,124.237,138.895,71.85,82.365,0,0,0
FRATNP,1979,1,long,4,L060,12.646,0,0.735,0,0,0.488,1.562,5.644,7.966,13.725,13.883,14.562,18.341,27.007,40.088,32.447,48.89,44.487,70.271,74.572,74.744,71.85,82.365,0,0,0
