country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
GBRTENW,2001,1,long,3,L000,9878.1,5946.191,248.1,109.083,160,533.319,802.596,844.588,1074.283,1303.799,1852.079,3027.788,4698.233,7643.085,12773.914,21063.497,36132.925,61198.165,98708.144,191847.107,163338.553,272538.142,253740.3,388160.313,.,.
GBRTENW,2001,1,long,3,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L003,0.393,0,0.788,0,0,0,0,0,0,0.488,0,0.608,0.566,0,0,0,3.16,1.36,2.372,3.783,0,14.908,17.17,0,.,.
GBRTENW,2001,1,long,3,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L006,9.314,0,0.788,0,0,0,0,0,0,0,0.546,0,0,0.667,1.587,2.712,27.412,58.441,120.537,399.386,310.265,655.953,564.011,1243.388,.,.
GBRTENW,2001,1,long,3,L007,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,4.081,14.186,15.059,9.993,29.816,17.17,112.582,.,.
GBRTENW,2001,1,long,3,L008,6.425,0,0,0,0,0,1.281,2.143,0.492,2.43,4.345,3.638,2.827,4.011,6.364,16.29,25.31,43.49,80.35,41.43,35.048,59.632,68.355,0,.,.
GBRTENW,2001,1,long,3,L009,0.309,0,0,0,0,0,0,0.534,1.972,0,0,0,0,0,0,0,2.114,1.36,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L010,1.49,0,0,0,0,0,0.64,0.534,0,0.971,0,2.427,0.566,2.002,0,1.808,7.376,8.149,18.907,11.312,15.014,0,0,0,.,.
GBRTENW,2001,1,long,3,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L015,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.783,5.021,0,0,0,.,.
GBRTENW,2001,1,long,3,L016,0.16,13.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,long,3,L018,3.864,70.512,14.176,2.311,2.021,2.902,7.05,1.609,1.48,3.401,2.172,3.036,0.566,2.002,3.98,2.712,0,1.36,0,3.783,5.021,0,0,0,.,.
