country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
JPN,1981,1,long,4,L000,6751.677,7770.347,674.938,325.382,236.772,730.529,838.199,849.291,1020.638,1539.202,2431.024,4191.104,6367.983,9202.012,14505.803,24209.781,42079.629,72670.891,118515.733,208212.588,187215.699,299009.681,286597.275,406182.551,401528.843,485215.26
JPN,1981,1,long,4,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L002,0.053,0,0,0,0,0,0,0.465,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L003,0.018,1.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L005,0.071,0,0.297,0,0,0,0,0.232,0,0,0,0,0,0,0,0,0.742,1.208,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L006,0.201,1.275,0.166,0.2,0,0.103,0,0,0,0,0,0.091,0,0,0.827,0.69,0.588,3.635,1.899,3.599,2.863,7.075,7.565,0,0,0
JPN,1981,1,long,4,L007,10.305,36.79,6.647,0.602,0.212,0.402,0.265,0.232,0.184,0.7,1.717,3.382,2.785,6.774,7.944,18.197,35.763,113.737,265.748,938.302,731.63,1890.084,1873.815,1985.119,2074.945,0
JPN,1981,1,long,4,L008,69.966,1.59,0,0,0,0.97,1.79,2.914,5.375,10.906,25.446,50.139,72.896,127.843,200.41,327.048,527.323,745.985,1063.263,1218.22,1156.58,1452.936,1548.191,516.869,538.283,0
JPN,1981,1,long,4,L009,0.477,0,0.591,0.2,0,0,0.265,0.465,0.551,0,0,0,1.391,1.131,1.032,1.146,1.484,3.635,2.419,0,0,0,0,0,0,0
JPN,1981,1,long,4,L010,2.007,0,0,0,0,0.758,0,0.232,0.184,0.931,1.717,2.479,2.229,5.269,5.161,8.009,11.125,16.943,21.699,19.599,23.449,0,0,0,0,0
JPN,1981,1,long,4,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L014,0.569,0,0.306,0.208,0.219,0.262,0.272,0.481,0.38,0.241,0.253,0.512,0.575,1.165,2.131,0.593,2.3,2.498,4.973,6.754,8.044,0,0,0,0,0
JPN,1981,1,long,4,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L016,0.087,6.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L017,0.018,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L018,0.053,2.537,0,0,0,0.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L019,17.394,55.898,5.574,1.761,1.065,1.906,2.994,3.216,2.534,2.924,3.697,8.407,12.582,19.371,38.862,58.894,110.793,203.507,296.579,451.379,421.746,571.27,577.241,499.83,520.24,0
JPN,1981,1,long,4,L020,0.054,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0.57,0,0,2.419,0,0,0,0,0,0,0
JPN,1981,1,long,4,L021,1.362,0,0.329,0,0,0.005,0,0.005,0.191,0.234,0.997,0.421,1.267,2.254,4.159,4.726,7.421,19.359,25.587,23.862,24.54,19.455,21.379,0,0,0
JPN,1981,1,long,4,L022,1.569,0,0,0,0,0,0.265,0,0,0,0,1.488,1.95,6.021,6.193,9.155,12.609,13.308,2.419,13.066,15.61,0,0,0,0,0
JPN,1981,1,long,4,L023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L025,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L029,0.798,0,2.072,1.201,0.425,0.505,0.265,0.7,0.367,0.466,0.737,0.745,1.67,0.753,1.032,0.57,0.742,1.208,0,6.533,7.839,0,0,0,0,0
JPN,1981,1,long,4,L030,0.018,0,0,0,0,0,0,0,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,1981,1,long,4,L031,0.458,6.348,5.329,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0,0,0
