country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
MDA,1965,1,long,1,L000,7607.003,55707.117,2545.822,720.397,802.098,1158.76,1374.746,2126.311,2704.868,3352.319,4366.01,6174.238,8472.437,13129.291,21920.841,34865.218,55839.256,91580.592,135596.153,268553.263,.,.,.,.,.,.
MDA,1965,1,long,1,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L002,2.609,0,0,4.868,0,0,0,8.242,0,0,22.552,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L003,11.414,464.2,5.86,0.681,0.224,0,0.097,0.082,0.088,0.271,0.333,0,0.697,0.705,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L004,1.8,45.142,7.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L005,17.953,787.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L006,105.444,4579.822,8.381,0,0,0,0,0.412,0.439,0,0,0,0,0,0,2.052,0,6.108,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L007,160.228,6142.487,165.857,1.266,0.393,0,0.194,7.994,8.519,0.452,0.555,0,1.254,1.234,0,36.589,0,104.711,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L008,241.646,57.351,22.686,0,0,0,44.05,193.016,276.634,465.891,413.938,465.105,679.606,859.484,1007.86,874.383,862.184,185.863,736.716,0,.,.,.,.,.,.
MDA,1965,1,long,1,L009,2.991,38.328,0,0,11.218,0,0,0,0,0,0,0,0,0,0,0,0,110.82,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L010,39.686,57.351,2.584,0,0,8.184,9.488,25.878,44.525,65.781,57.658,53.28,77.896,106.62,219.62,186.708,231.095,86.387,142.173,0,.,.,.,.,.,.
MDA,1965,1,long,1,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L014,5.238,0,12.603,9.735,0,8.184,0,0,0,0,0,0,14.074,17.799,24.632,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L015,1.942,0,6.302,0,11.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L016,2.395,76.373,6.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L017,0.647,0,0,0,5.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L018,24.634,114.701,71.207,13.045,11.779,7.617,8.713,7.005,7.816,2.349,20.441,30.401,60.896,46.349,23.712,11.285,16.086,27.05,211.644,19.443,.,.,.,.,.,.
MDA,1965,1,long,1,L019,14.353,297.542,23.883,4.575,0,0,0,0,0,17.168,10.665,14.887,13.238,0,0,36.589,60.589,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L021,1.994,87.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L022,9.575,0,0,0,0,0,0,0,0,0,22.552,47.169,28.009,35.423,24.632,115.923,0,110.82,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L023,0.013,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L024,0.052,2.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L027,0.647,0,6.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L028,0.654,0,0,0,0,0,0,0,0,0,0,0,14.074,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L029,10.941,101.357,19.535,10.757,7.46,10.777,4.357,3.626,3.864,4.066,4.999,13.947,12.402,15.685,10.82,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L031,3.043,76.373,12.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,long,1,L033,13.77,57.635,16.888,6.571,7.292,4.538,6.099,6.676,14.754,10.662,15.775,24.603,13.099,28.726,44.661,28.724,9.651,41.012,0,16.202,.,.,.,.,.,.
