country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
NOR,1996,1,long,3,L000,10202.746,4543.105,352.954,152.728,193.589,536.604,811.669,1073.491,1059.574,1308.544,1851.127,3080.242,4901.834,7801.469,13694.712,22629.975,40533.556,65164.091,107465.435,200741.645,169972.016,289867.841,266319.625,419484.241,.,.
NOR,1996,1,long,3,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L006,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.678,16.291,27.896,140.641,125.319,185.022,216.554,0,.,.
NOR,1996,1,long,3,L007,12.462,0,9.546,0,0,0,0,0,0,0,0,0,7.643,10.708,0,11.941,12.678,65.004,111.311,609.596,312.69,1481.938,1726.184,0,.,.
NOR,1996,1,long,3,L008,4.292,0,0,0,0,0,0,0,0,0,0,6.564,7.643,0,0,0,12.678,16.291,55.791,140.641,125.319,185.022,216.554,0,.,.
NOR,1996,1,long,3,L009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L010,0.969,0,0,0,0,0,0,0,0,0,13.313,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L018,3.148,0,38.183,0,0,7.571,0,5.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L019,34.763,0,9.546,0,0,0,6.531,0,0,6.451,0,6.564,23.003,10.708,0,95.648,126.783,243.886,306.309,984.941,1001.338,926.872,864.133,1272.206,.,.
NOR,1996,1,long,3,L020,2.4,0,0,0,0,0,0,0,0,0,0,0,0,10.708,12.236,0,0,0,0,140.641,125.319,185.022,216.554,0,.,.
NOR,1996,1,long,3,L021,0.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.357,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L029,0.485,0,0,0,0,0,0,0,0,0,6.656,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L034,1.431,0,0,0,0,0,0,0,0,0,0,6.564,0,0,0,0,0,0,55.791,0,0,0,0,0,.,.
NOR,1996,1,long,3,L035,21.697,0,0,0,0,0,0,23.583,36.763,38.703,53.252,32.948,69.008,32.022,24.472,11.941,12.678,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L036,2.446,0,9.546,0,7.744,0,6.531,0,0,0,0,0,0,0,0,0,0,32.582,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L044,5.686,0,0,6.375,0,0,0,0,0,6.451,0,0,0,10.708,0,0,12.678,48.713,0,234.704,187.979,370.044,431.026,0,.,.
NOR,1996,1,long,3,L045,10.412,0,0,0,0,0,0,0,0,0,0,0,0,0,12.236,35.824,25.357,130.009,139.207,140.641,187.979,0,0,0,.,.
NOR,1996,1,long,3,L046,1.902,0,0,0,0,0,0,0,0,0,0,0,0,0,12.236,0,25.357,16.291,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L047,46.634,0,0,0,0,0,0,5.881,0,0,6.656,26.384,69.008,64.145,159.419,251.002,152.139,292.6,167.102,328.314,375.35,185.022,216.554,0,.,.
NOR,1996,1,long,3,L048,43.283,0,0,0,0,0,0,0,0,6.451,0,0,61.365,64.145,85.768,179.354,228.086,243.886,334.205,421.924,500.669,185.022,216.554,0,.,.
NOR,1996,1,long,3,L049,166.006,0,0,0,0,0,0,5.881,6.147,12.901,13.313,52.768,153.449,235.064,306.484,478.238,747.772,1089.103,1671.293,1969.882,1940.017,2038.767,2157.21,1272.206,.,.
NOR,1996,1,long,3,L050,7.135,0,0,0,0,0,0,0,0,6.451,0,0,7.643,0,24.472,0,63.391,65.004,27.896,47.031,0,185.022,216.554,0,.,.
NOR,1996,1,long,3,L051,201.083,0,0,0,0,7.571,0,5.881,0,6.451,0,65.96,138.089,192.334,502.728,621.651,1001.338,1365.411,1866.291,2391.806,2690.717,1481.938,1295.159,2544.413,.,.
NOR,1996,1,long,3,L052,145.998,0,0,0,0,0,0,0,0,6.451,13.313,52.768,84.367,138.897,453.667,502.121,697.059,861.508,1476.296,1500.927,1564.667,1296.916,1511.713,0,.,.
NOR,1996,1,long,3,L053,24.286,0,0,0,0,0,0,0,0,19.352,6.656,0,15.36,32.022,61.297,47.765,152.139,146.3,222.893,187.672,187.979,185.022,0,1272.206,.,.
NOR,1996,1,long,3,L054,132.641,0,0,0,0,0,0,0,12.235,6.451,13.313,65.96,99.727,128.291,380.016,430.356,735.094,1007.807,863.407,984.941,1063.998,741.85,864.133,0,.,.
NOR,1996,1,long,3,L055,31.32,0,0,0,0,0,0,5.881,0,0,6.656,13.192,0,10.708,49.061,83.706,177.496,276.309,334.205,328.314,312.69,370.044,431.026,0,.,.
NOR,1996,1,long,3,L056,20.908,0,0,0,0,0,0,5.881,0,0,0,0,7.643,32.022,61.297,59.824,164.818,146.3,139.207,93.61,125.319,0,0,0,.,.
NOR,1996,1,long,3,L057,527.634,0,0,0,0,0,0,0,6.147,6.451,79.877,138.485,414.267,790.855,1471.24,2259.368,3282.689,3445.871,3370.482,2157.554,2440.686,1296.916,1295.159,1272.206,.,.
NOR,1996,1,long,3,L058,6.702,0,0,0,0,0,0,5.881,0,0,0,13.192,15.36,10.708,36.825,0,25.357,32.582,0,47.031,0,185.022,216.554,0,.,.
NOR,1996,1,long,3,L059,8.123,0,0,0,7.744,7.571,19.658,5.881,12.235,6.451,0,6.564,7.643,10.708,0,0,12.678,48.713,0,47.031,0,185.022,0,1272.206,.,.
NOR,1996,1,long,3,L060,54.438,0,0,0,0,0,0,0,0,25.802,19.969,79.152,99.727,106.875,85.768,119.53,228.086,243.886,362.1,421.924,438.009,370.044,431.026,0,.,.
NOR,1996,1,long,3,L061,8.575,0,0,0,0,0,0,0,0,0,0,6.564,0,10.708,12.236,35.824,25.357,16.291,111.311,234.704,0,926.872,647.579,2544.413,.,.
NOR,1996,1,long,3,L062,32.774,0,0,0,0,7.571,0,0,0,6.451,0,6.564,7.643,85.459,49.061,95.648,215.531,325.022,111.311,187.672,187.979,185.022,216.554,0,.,.
NOR,1996,1,long,3,L063,3.342,0,0,0,0,0,0,0,0,0,0,0,0,10.708,24.472,0,0,32.582,0,93.61,62.66,185.022,216.554,0,.,.
NOR,1996,1,long,3,L064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
NOR,1996,1,long,3,L068,551.546,0,0,0,0,0,0,0,0,0,0,26.384,30.719,181.728,551.671,1004.125,2319.509,4746.278,7186.751,12898.295,11828.081,15938.326,17049.453,8893.983,.,.
NOR,1996,1,long,3,L069,7.634,0,0,0,0,0,6.531,11.82,0,0,13.313,0,23.003,0,24.472,0,12.678,65.004,27.896,0,0,0,0,0,.,.
NOR,1996,1,long,3,L070,69.923,0,0,0,0,0,0,0,6.147,6.451,6.656,32.948,76.724,96.167,147.065,239.061,367.547,455.19,584.993,468.955,563.329,185.022,0,1272.206,.,.
NOR,1996,1,long,3,L071,119.64,0,0,0,0,0,0,0,0,0,6.656,6.564,7.643,74.853,98.122,322.767,494.33,926.512,1476.296,2720.119,2440.686,3520.705,2804.789,7621.777,.,.
NOR,1996,1,long,3,L072,9.969,0,0,0,0,0,0,0,0,0,0,0,7.643,0,12.236,11.941,76.07,81.295,111.311,140.641,187.979,0,0,0,.,.
NOR,1996,1,long,3,L073,57.941,0,38.183,19.124,7.744,15.143,6.531,35.402,6.147,19.352,26.626,72.525,92.084,85.459,134.829,143.413,240.764,276.309,83.687,140.641,187.979,0,0,0,.,.
NOR,1996,1,long,3,L074,167.746,0,9.546,6.375,0,0,0,0,6.147,0,33.282,39.576,92.084,192.334,331.073,549.886,735.094,1430.416,1253.402,2110.523,2002.677,2408.811,1942.738,5088.825,.,.
NOR,1996,1,long,3,L075,7.154,0,0,0,0,0,6.531,0,0,0,0,6.564,7.643,32.022,0,0,38.035,48.713,55.791,47.031,62.66,0,0,0,.,.
NOR,1996,1,long,3,L076,91.929,0,0,0,0,7.571,6.531,5.881,6.147,19.352,26.626,79.152,138.089,117.583,159.419,286.943,430.938,552.617,529.202,797.269,750.7,926.872,864.133,1272.206,.,.
NOR,1996,1,long,3,L077,58.024,0,0,0,0,0,0,0,0,0,6.656,13.192,15.36,53.438,122.594,239.061,291.477,227.595,612.889,1078.551,1063.998,1111.894,864.133,2544.413,.,.
NOR,1996,1,long,3,L078,73.094,0,9.546,25.432,0,22.64,6.531,0,12.235,6.451,13.313,19.756,30.719,74.853,85.768,286.943,380.225,503.904,529.202,703.658,813.359,370.044,431.026,0,.,.
NOR,1996,1,long,3,L079,4.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.391,16.291,83.687,0,0,0,0,0,.,.
