country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
ROU,1980,1,long,1,L000,11122.845,37117.602,1771.106,830.107,619.931,1002.737,1448.944,1678.559,2155.429,3244.064,5119.738,7407.606,10587.986,15773.135,23898.648,37733.321,60512.806,95774.897,156067.944,261875.158,.,.,.,.,.,.
ROU,1980,1,long,1,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L003,1.926,88.698,0,0,0,0,0,0,0,0,1.311,1.341,0,1.789,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L004,2.658,98.553,4.891,1.031,0,0,0,0,0,0,0,0,1.431,0,0,2.553,0,10.61,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L005,0.093,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L006,4.287,221.99,0.561,0,0,0,0,0,0.201,0,0,0,0,0,3.417,0.258,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L007,21.304,990.456,29.981,0,1.003,0,0,1.142,1.141,0,0,0,0,0,0,2.321,3.313,0,12.745,32.524,.,.,.,.,.,.
ROU,1980,1,long,1,L008,53.454,9.855,1.171,0,0,1.361,5.694,17.111,37.57,83.033,101.562,120.875,116.968,128.292,189.048,123.146,96.806,92.89,99.025,31.873,.,.,.,.,.,.
ROU,1980,1,long,1,L009,1.378,9.855,4.879,0,0,0,2.289,0,0,1.588,0,5.351,1.46,0,0,2.605,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L010,2.478,0,0,0,0,0,5.682,1.119,0,1.604,1.337,5.351,5.783,1.825,3.521,5.158,9.873,21.22,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L014,0.826,9.855,1.22,2.072,0,0,0,0,0,1.573,0,0,1.446,1.789,0,0,0,5.305,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L016,1.193,44.349,4.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L017,0.092,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L018,3.617,44.349,16.82,7.928,2.73,1.048,0.353,0.148,0,0,1.324,0,1.446,0,0,5.132,3.346,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L019,5.052,120.087,1.732,1.113,1.568,0.721,1.97,0.685,1.624,1.887,7.041,3.97,1.677,2.934,9.043,7.763,4.473,14.111,7.519,0,.,.,.,.,.,.
ROU,1980,1,long,1,L020,0.275,0,0,0,0,0,0,0,0,0,0,0,0,3.578,0,0,0,5.305,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L021,2.992,68.149,0.805,0.443,0.476,0.218,1.685,1.325,0.416,0.503,4.733,2.615,1.966,6.386,2.865,2.527,1.524,4.562,2.039,0,.,.,.,.,.,.
ROU,1980,1,long,1,L022,1.179,0,0,0,0,0,0,0,1.315,3.129,0,1.314,2.877,5.313,3.383,0,6.593,5.199,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L025,0.092,0,0,0,0,0,0,1.142,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L027,0.458,14.783,2.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L028,0.273,0,0,1.031,0,1.361,0,0,0,1.557,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L029,1.732,36.612,3.928,5.361,0.576,0.626,0.182,0.354,0.228,0.267,0.551,0,0,1.377,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L031,0.549,14.734,2.427,1.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L032,2.204,19.711,2.439,1.041,1.995,1.375,1.139,1.142,1.342,0,0,1.341,1.446,3.578,6.903,5.158,6.626,5.305,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L033,1.743,29.566,4.891,0,0,0,1.139,0,0,0,1.311,0,1.446,0,10.355,5.158,0,5.305,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L034,4.962,24.786,2.452,2.082,1.003,2.763,6.867,3.415,5.34,1.573,3.92,2.696,4.323,8.998,13.703,5.184,19.911,10.663,12.745,0,.,.,.,.,.,.
ROU,1980,1,long,1,L035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L036,6.118,160.345,9.672,9.474,2.243,1.443,0.615,0.834,0.416,1.95,0.787,1.368,4.337,2.218,0,7.737,0,5.411,12.999,0,.,.,.,.,.,.
ROU,1980,1,long,1,L037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L041,3.122,4.928,0,0,1.003,1.375,1.139,1.142,2.697,1.573,3.933,8.033,2.906,14.31,3.452,2.579,3.313,10.663,12.745,32.524,.,.,.,.,.,.
ROU,1980,1,long,1,L042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L044,3.893,199.372,0,0,0,0,0,0,0,0,0,0,0,0,0,2.579,0,0,12.745,0,.,.,.,.,.,.
ROU,1980,1,long,1,L045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
ROU,1980,1,long,1,L047,45.238,0,2.403,2.041,0.993,4.07,2.243,1.097,6.682,20.444,35.427,76.551,99.91,134.23,158.949,162.656,185.827,212.465,254.509,359.062,.,.,.,.,.,.
