country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
SWE,1997,1,long,3,L000,10685.325,3995.342,225.887,169.773,105.517,298.811,699.362,654.804,785.484,1252.019,1732.56,2655.468,4415.52,6992.197,12261.366,20416.308,34132.779,57369.598,99168.508,195847.732,164934.229,290741.879,268729.47,429558.103,.,.
SWE,1997,1,long,3,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L006,1.858,21.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,13.775,22.536,35.471,0,147.859,168.869,0,.,.
SWE,1997,1,long,3,L007,0.254,0,4.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L008,4.422,0,0,0,0,0,0,0,0,0,3.372,0,0,0,0,5.465,0,27.619,67.607,124.32,69.854,295.717,337.739,0,.,.
SWE,1997,1,long,3,L009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L010,0.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.465,5.81,6.922,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L018,0.718,0,4.916,3.267,0,0,0,0,0,0,0,0,3.065,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L019,33.797,21.449,9.833,3.267,0,0,0,0,6.04,6.863,3.372,13.023,9.226,12.623,41.023,54.761,81.162,138.095,337.813,781.91,605.177,1330.027,1182.085,2283.467,.,.
SWE,1997,1,long,3,L020,2.317,0,0,0,0,0,0,3.323,0,0,0,0,0,4.208,0,0,11.619,6.922,45.072,17.735,23.285,0,0,0,.,.
SWE,1997,1,long,3,L021,4.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.465,11.619,20.697,56.339,159.964,93.139,369.296,422.173,0,.,.
SWE,1997,1,long,3,L022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L029,0.233,0,0,0,0,0,0,3.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L033,0.464,0,0,0,0,0,0,0,0,0,3.372,0,0,0,5.103,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L034,4.189,0,0,0,0,0,0,0,3.035,0,13.52,13.023,9.226,12.623,10.256,0,0,6.922,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L035,8.629,0,0,3.267,0,0,0,3.323,6.04,24.07,13.52,22.775,18.481,21.038,5.103,5.465,5.81,6.922,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L036,7,21.449,0,0,0,0,0,0,0,0,0,3.24,0,0,0,16.45,5.81,20.697,90.031,231.078,162.994,443.576,337.739,1141.734,.,.
SWE,1997,1,long,3,L037,0.231,0,0,0,0,0,0,0,0,0,0,0,3.065,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L044,15.887,0,0,0,0,0,0,0,0,0,0,0,0,4.208,5.103,5.465,23.181,48.316,202.71,639.682,372.329,1477.885,1435.389,1715.16,.,.
SWE,1997,1,long,3,L045,7.412,0,0,0,0,0,0,0,0,0,0,0,3.065,0,5.103,10.931,46.362,55.238,78.764,88.85,116.424,0,0,0,.,.
SWE,1997,1,long,3,L046,3.489,0,0,0,0,3.997,0,0,0,3.448,0,3.24,3.065,0,10.256,0,17.371,6.922,33.804,35.471,0,147.859,84.435,573.427,.,.
SWE,1997,1,long,3,L047,34.851,0,0,0,0,0,0,0,0,10.311,0,29.286,36.963,71.531,128.171,93.126,98.59,96.633,213.867,302.019,232.848,517.155,591.042,0,.,.
SWE,1997,1,long,3,L048,63.288,0,0,0,0,0,0,0,0,3.448,6.777,13.023,40.028,88.362,169.143,186.198,313.085,331.361,394.041,497.626,512.038,443.576,253.304,1715.16,.,.
SWE,1997,1,long,3,L049,139.399,0,0,0,0,0,0,0,9.075,13.759,27.073,39.038,64.67,109.4,230.677,279.324,550.818,966.531,1159.699,1652.67,1373.349,2512.195,2195.301,4572.055,.,.
SWE,1997,1,long,3,L050,11.829,0,0,0,0,0,0,0,0,3.448,0,9.752,12.321,4.208,15.358,38.311,40.61,75.935,90.031,106.585,93.139,147.859,168.869,0,.,.
SWE,1997,1,long,3,L051,181.14,0,0,0,0,0,3.585,3.323,6.04,10.311,23.702,42.31,86.216,96.777,235.78,487.383,724.761,1001.004,1947.782,2221.238,2257.716,2068.619,2279.735,573.427,.,.
SWE,1997,1,long,3,L052,95.784,0,0,0,0,0,3.585,0,0,3.448,6.777,35.798,52.349,88.362,189.655,306.705,376.876,559.167,743.122,977.345,884.595,1255.747,1266.52,1141.734,.,.
SWE,1997,1,long,3,L053,87.143,0,0,0,0,0,3.585,0,9.075,6.863,16.925,42.31,27.707,67.323,143.529,230.028,388.437,566.089,754.39,728.532,698.317,812.872,844.346,573.427,.,.
SWE,1997,1,long,3,L054,149.313,0,0,0,0,0,0,0,3.035,13.759,6.777,35.798,123.179,210.343,369.053,509.298,556.628,849.133,990.793,1137.308,1187.07,960.731,1097.65,0,.,.
SWE,1997,1,long,3,L055,61.968,0,0,0,0,0,0,0,0,3.448,3.372,16.263,33.867,63.115,71.739,186.198,231.923,386.599,472.916,853.024,814.741,960.731,759.912,2283.467,.,.
SWE,1997,1,long,3,L056,11.584,0,0,0,0,0,0,0,0,0,0,0,18.481,16.831,15.358,43.83,40.61,69.013,90.031,71.114,46.57,147.859,168.869,0,.,.
SWE,1997,1,long,3,L057,420.882,0,0,0,0,0,0,0,0,6.863,20.297,130.169,298.677,466.972,1030.319,1686.767,2209.025,2395.597,2229.255,2239.145,2443.994,1551.464,1688.693,573.427,.,.
SWE,1997,1,long,3,L058,12.284,0,0,0,0,0,0,3.323,0,0,6.777,3.24,12.321,0,25.614,38.311,52.171,75.935,78.764,106.585,139.709,0,0,0,.,.
SWE,1997,1,long,3,L059,5.344,0,0,0,0,0,10.754,0,0,0,0,6.512,6.16,0,15.358,0,11.619,34.541,33.804,53.379,46.57,73.579,84.435,0,.,.
SWE,1997,1,long,3,L060,51.498,0,0,0,0,0,0,6.646,18.12,3.448,57.518,35.798,89.282,46.285,92.251,93.126,197.123,234.728,258.938,337.663,279.418,517.155,422.173,1141.734,.,.
SWE,1997,1,long,3,L061,6.039,0,0,0,0,0,0,0,0,0,6.777,0,6.16,0,0,0,5.81,55.238,67.607,124.32,116.424,147.859,84.435,573.427,.,.
SWE,1997,1,long,3,L062,40.104,42.687,4.916,6.535,0,0,3.585,6.646,0,6.863,10.148,13.023,33.867,54.7,56.381,120.507,226.114,234.728,180.175,177.699,162.994,221.438,253.304,0,.,.
SWE,1997,1,long,3,L063,2.322,0,0,0,0,0,0,0,3.035,0,0,0,0,0,5.103,5.465,0,13.775,33.804,35.471,46.57,0,0,0,.,.
SWE,1997,1,long,3,L064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
SWE,1997,1,long,3,L068,568.205,0,0,0,0,0,0,0,0,0,10.148,3.24,67.735,126.231,497.224,1095.273,2087.253,3983.455,6485.168,10342.358,9543.129,12708.132,13001.31,10280.723,.,.
SWE,1997,1,long,3,L069,7.901,0,0,0,0,3.997,7.169,3.323,6.04,0,10.148,13.023,6.16,8.415,5.103,21.915,34.8,6.922,33.804,35.471,0,147.859,168.869,0,.,.
SWE,1997,1,long,3,L070,85.725,0,0,0,0,0,0,0,3.035,3.448,6.777,32.558,49.254,96.777,169.143,328.566,382.685,593.708,461.648,550.833,558.608,517.155,506.608,573.427,.,.
SWE,1997,1,long,3,L071,97.52,0,0,0,0,0,0,0,0,0,6.777,13.023,24.642,54.7,117.915,284.789,365.256,503.997,1002.06,1652.67,1652.538,1625.744,1519.823,2283.467,.,.
SWE,1997,1,long,3,L072,8.803,0,0,0,0,0,0,0,0,0,3.372,0,3.065,8.415,0,21.915,34.8,69.013,101.299,88.85,69.854,147.859,168.869,0,.,.
SWE,1997,1,long,3,L073,76.147,42.687,14.749,13.069,7.537,15.95,10.754,19.937,12.08,27.518,50.775,48.821,123.179,117.815,148.632,290.255,342.076,214.031,157.639,142.228,186.279,0,0,0,.,.
SWE,1997,1,long,3,L074,137.443,0,9.833,3.267,0,0,3.585,0,3.035,3.448,13.52,22.775,46.188,130.439,199.91,279.324,504.399,876.752,1260.999,2008.068,1722.393,2881.491,2955.212,2283.467,.,.
SWE,1997,1,long,3,L075,4.646,0,0,0,0,0,0,3.323,6.04,0,6.777,0,3.065,12.623,10.256,5.465,11.619,13.775,22.536,35.471,0,147.859,168.869,0,.,.
SWE,1997,1,long,3,L076,97.849,0,4.916,3.267,0,0,7.169,6.646,6.04,10.311,16.925,35.798,98.537,109.4,148.632,235.494,365.256,621.327,788.082,746.439,768.171,665.013,506.608,1715.16,.,.
SWE,1997,1,long,3,L077,60.495,0,0,0,0,0,0,0,0,0,13.52,13.023,21.547,42.077,133.274,197.129,313.085,324.507,461.648,568.568,651.747,295.717,337.739,0,.,.
SWE,1997,1,long,3,L078,87.75,0,4.916,9.802,3.768,15.95,7.169,19.937,12.08,13.759,27.073,55.333,64.67,67.323,117.915,158.818,336.266,462.534,720.587,888.495,838.026,1034.31,1013.216,1141.734,.,.
SWE,1997,1,long,3,L079,4.886,0,0,0,0,0,0,0,0,0,0,0,0,4.208,0,16.45,11.619,34.541,33.804,124.32,93.139,221.438,253.304,0,.,.
SWE,1997,1,long,3,L080,69.524,21.449,0,3.267,0,0,0,3.323,0,6.863,3.372,0,12.321,29.454,46.125,109.522,86.971,503.997,844.422,1599.291,1396.633,2216.478,1941.997,3998.628,.,.
SWE,1997,1,long,3,L081,12.408,0,0,0,0,0,0,0,0,6.863,0,3.24,0,0,5.103,5.465,17.371,27.619,112.567,550.833,349.044,1182.168,1097.65,1715.16,.,.
