country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
UKR,1965,1,long,1,L000,8030.414,26101.994,1522.459,699.974,615.374,1176.047,1609.114,2232.613,2772.341,3680.254,5014.764,6808.077,10242.201,14804.867,23987.755,36384.658,52767.491,83681.799,120326.744,209837.026,.,.,.,.,.,.
UKR,1965,1,long,1,L001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L002,0.846,0,0,0.96,0.513,0.603,0.728,0.948,1.346,0.559,0,1.334,2.022,1.102,0,2.086,0,9.563,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L003,0.201,2.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.853,0,9.616,21.182,.,.,.,.,.,.
UKR,1965,1,long,1,L004,1.435,43.869,4.353,0,0.513,0,0,0,0,0.559,0,0,0,1.102,1.473,2.086,0,4.758,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L005,0.845,10.967,1.865,0.48,0.513,0,0,0.472,0,0.559,0.878,0,1.006,1.102,2.961,0,0,4.758,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L006,1.669,87.765,1.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L007,22.665,1083.233,19.901,0.96,0,0,1.456,0.472,1.346,0.559,2.626,2.681,3.027,4.408,7.395,8.303,5.706,9.563,9.616,0,.,.,.,.,.,.
UKR,1965,1,long,1,L008,286.247,10.967,2.9,1.595,0,6.834,57.995,143.351,216.642,344.779,477.129,548.399,663.955,898.903,1123.751,1176.432,1174.822,874.335,491.721,278.997,.,.,.,.,.,.
UKR,1965,1,long,1,L009,4.633,21.934,13.059,2.875,2.573,3.02,2.177,3.311,1.346,3.927,7.879,5.349,6.055,6.623,1.473,2.086,2.853,4.758,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L010,116.798,35.643,6.424,2.715,3.604,5.24,31.36,77.689,114.265,170.714,215.134,219.801,233.601,295.943,355.885,383.016,442.667,396.467,332.591,295.337,.,.,.,.,.,.
UKR,1965,1,long,1,L011,0.149,0,0,0,0,0,0,0,0,1.125,0,0,0,0,0,2.086,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L012,0.049,0,0,0,0,0,0,0,0,0,0,0,0,1.102,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L014,3.79,0,2.488,7.186,5.66,2.417,0.728,0.948,0.67,1.684,7.001,0,4.033,5.521,7.395,14.541,14.238,0,0,21.182,.,.,.,.,.,.
UKR,1965,1,long,1,L015,0.25,0,1.865,0.48,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L016,1.58,63.062,4.977,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L017,0.301,0,1.865,0.96,0,0,0,0,0,0,0,0,0,0,0,0,2.853,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L018,3.082,41.127,6.841,2.395,1.543,1.808,0.728,0.948,1.346,1.125,2.626,6.697,2.022,3.306,2.961,2.086,2.853,0,0,21.182,.,.,.,.,.,.
UKR,1965,1,long,1,L019,14.062,468.959,6.841,1.435,4.116,1.206,0,9.467,10.761,11.777,3.505,2.681,8.067,4.408,7.395,4.152,11.385,0,28.756,21.182,.,.,.,.,.,.
UKR,1965,1,long,1,L020,0.297,2.742,0,0,0,0,0,0,0,0,0,0,0,1.102,4.434,0,2.853,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L021,3.436,27.199,2.531,0.809,0.307,1.743,0,0.724,3.667,1.728,6.08,5.178,6.951,9.317,5.703,7.956,6.602,18.286,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L022,6.372,5.484,1.241,0.96,0.513,0.603,0.728,0.472,0.67,1.684,11.375,20.077,20.166,14.347,26.604,26.996,34.183,23.884,19.14,63.748,.,.,.,.,.,.
UKR,1965,1,long,1,L023,0.112,0.96,0.218,0.056,0.03,0.036,0,0.028,0.153,0.033,0.155,0.159,0.12,0.131,0.263,0.245,0.168,0.56,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L025,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.086,0,0,0,21.182,.,.,.,.,.,.
UKR,1965,1,long,1,L026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L027,0.1,0,0,0,0.513,0,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L028,0.199,0,0,0,0.513,0.603,0,0,0.67,0,0,0,0,0,1.473,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L029,2.287,21.934,4.977,1.435,1.03,2.417,1.456,2.84,1.346,1.684,4.374,4.015,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L030,0.348,1.371,0.714,0.264,0.307,0.275,0.178,0.191,0.272,0.138,0.353,0.264,0.458,0.502,0.817,0.307,0.14,0.933,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L031,3.993,63.062,28.607,4.311,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L032,0.738,0,1.368,1.341,1.131,1.57,0.4,0.229,0.153,0,0,0,0,0,0.015,0.45,3.161,4.338,4.161,20.98,.,.,.,.,.,.
UKR,1965,1,long,1,L033,2.429,0,2.737,2.682,2.262,3.139,3.197,1.004,0.875,0.504,0.517,0.819,0.637,1.855,5.003,8.201,14.686,11.242,7.212,25.62,.,.,.,.,.,.
UKR,1965,1,long,1,L034,7.678,71.314,2.737,2.682,2.262,3.139,4.389,3.026,5.019,5.102,7.354,11.227,6.413,12.492,23.074,26.669,33.399,17.866,7.767,17.147,.,.,.,.,.,.
UKR,1965,1,long,1,L035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L036,6.625,26.047,13.592,5.007,5.866,5.162,3.447,3.596,5.112,2.664,6.648,5.085,8.624,9.437,15.446,5.91,2.713,18.146,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L039,0.213,4.168,1.09,0.188,0.101,0.119,0,0,0.007,0,0.009,0,0,0,0.102,0.102,0.056,0.233,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L040,0.125,0,0.624,0.24,0,0,0,0,0.338,0.283,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L041,0.996,0,0,0,0.513,0.603,0,0.472,0,0,2.626,2.681,3.027,0,2.961,4.152,8.532,4.758,9.616,0,.,.,.,.,.,.
UKR,1965,1,long,1,L042,0.05,0,0.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L043,0.325,0,0.624,0.24,0,0,0,0,0.338,0.283,0,0,0,0,2.961,0,2.853,0,9.616,0,.,.,.,.,.,.
UKR,1965,1,long,1,L044,1.405,19.796,3.003,0.861,0.075,0.519,0,0.191,0.882,0.482,1.645,1.36,2.002,2.684,1.342,2.107,1.706,4.851,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L045,3.031,8.225,0.624,0,0,1.206,1.456,0.948,2.692,3.368,4.374,8.031,7.061,6.623,7.395,12.455,8.532,14.321,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L046,0.947,2.742,1.865,0.48,1.03,1.206,0.728,0.472,0.67,0,0.878,1.334,1.006,1.102,2.961,0,0,4.758,0,0,.,.,.,.,.,.
UKR,1965,1,long,1,L047,17.971,0,0.624,1.915,1.543,1.808,0.728,0.948,2.016,6.171,8.749,25.426,41.348,47.438,65.037,105.898,122.464,210.199,201.293,340.324,.,.,.,.,.,.
UKR,1965,1,long,1,L048,38.344,0,0,0,0,0,0.728,0,1.346,4.487,11.375,34.791,63.536,126.876,177.374,311.476,378.749,396.513,364.214,361.506,.,.,.,.,.,.
UKR,1965,1,long,1,L049,443.576,0,0.624,0.48,0.513,2.417,7.265,19.406,69.946,155.375,306.309,499.198,1040.761,1575.474,2372.469,3181.211,3260.6,3215.21,2329.248,1914.245,.,.,.,.,.,.
UKR,1965,1,long,1,L050,6.231,0,0,0.48,0.513,0.603,1.456,0.948,1.346,2.803,3.505,6.697,11.094,16.551,26.604,41.537,51.246,57.331,57.512,42.566,.,.,.,.,.,.
UKR,1965,1,long,1,L051,28.256,0,0.624,0.96,1.543,1.808,4.361,3.311,4.708,14.585,14.002,40.153,59.503,73.918,127.127,182.734,222.131,253.209,258.805,170.061,.,.,.,.,.,.
UKR,1965,1,long,1,L052,28.518,0,0,0.48,0.513,1.206,2.905,6.151,7.4,9.533,16.628,42.822,56.476,57.367,124.166,199.341,230.662,296.219,306.701,191.445,.,.,.,.,.,.
UKR,1965,1,long,1,L053,35.784,3.427,1.653,1.624,0.643,1.403,3.747,3.171,5.344,9.91,22.785,41.937,80.775,111.231,185.075,256.728,274.635,260.906,218.491,195.883,.,.,.,.,.,.
UKR,1965,1,long,1,L054,64.982,0,0.218,0,0.643,0,2.598,4.53,10.649,22.263,50.987,87.941,156.361,201.558,323.841,450.219,497.857,493.169,417.843,325.597,.,.,.,.,.,.
UKR,1965,1,long,1,L055,14.43,0,0,0,0.427,0.603,1.948,1.705,2.659,4.199,8.155,13.486,25.733,38.219,71.95,113.956,135.192,131.876,97.272,38.329,.,.,.,.,.,.
UKR,1965,1,long,1,L056,24.72,0,0,0.96,0.513,0,0,0.472,3.362,12.901,25.377,41.488,74.63,112.529,104.957,139.132,170.857,90.778,86.268,63.748,.,.,.,.,.,.
UKR,1965,1,long,1,L057,326.747,0,0,0,0.513,0.603,5.81,7.571,28.923,61.139,170.657,378.75,829.986,1336.069,2004.405,2591.492,2087.345,1872.756,1131.106,659.263,.,.,.,.,.,.
UKR,1965,1,long,1,L058,8.811,5.484,1.241,0,0.513,0.603,1.456,1.42,2.692,2.243,5.253,14.727,20.166,25.377,47.301,56.058,54.099,62.089,57.512,21.182,.,.,.,.,.,.
