country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CAN,2000,1,short,1,S000,7353.939,5680.066,228.566,143.758,180.155,660.573,903.933,817.42,982.517,1286.785,1870.784,2784.842,4408.534,7435.481,12389.873,20162.779,32821.998,53551.213,91625.545,177487.842,.,.,.,.,.,.
CAN,2000,1,short,1,S001,115.846,71.03,8.47,3.91,0.977,5.715,3.972,18.05,50.407,83.819,110.986,121.899,128.362,123.026,134.974,242.223,385.572,594.085,1011.327,2149.104,.,.,.,.,.,.
CAN,2000,1,short,1,S002,2267.424,47.353,25.398,35.202,26.293,41.88,79.467,73.216,109.068,182.391,412.011,772.648,1696.877,3143.903,5544.057,8342.764,13011.982,17811.515,24544.882,32957.364,.,.,.,.,.,.
CAN,2000,1,short,1,S003,22.058,11.867,5.647,0.978,0,1.902,0.991,4.011,4.579,3.883,3.992,9.862,14.043,15.699,29.627,45.869,89.817,129.022,276.852,762.019,.,.,.,.,.,.
CAN,2000,1,short,1,S004,271.951,59.22,7.059,7.82,5.841,7.617,9.936,20.055,26.581,33.375,58.285,82.459,148.413,321.955,502.028,800.091,1402.109,2031.288,3536.894,6044.932,.,.,.,.,.,.
CAN,2000,1,short,1,S005,151.617,0,0,0,0,0.956,2.982,6.017,16.501,27.94,35.931,51.987,60.174,82.456,123.443,247.733,396.525,1026.147,2243.047,7355.018,.,.,.,.,.,.
CAN,2000,1,short,1,S006,259.256,213.089,25.398,9.776,6.817,20.94,32.779,16.044,29.326,36.474,49.5,67.219,109.304,160.977,294.624,478.952,924.52,2082.282,4305.323,8459.547,.,.,.,.,.,.
CAN,2000,1,short,1,S007,1941.77,47.353,12.692,3.91,3.897,13.323,20.862,39.113,56.828,141.251,303.41,579.899,1072.012,1938.308,3196.496,5426.254,8804.783,15083.08,26899.725,56416.881,.,.,.,.,.,.
CAN,2000,1,short,1,S008,428.594,5.934,0,0.978,0.977,2.858,4.963,7.024,10.08,24.057,37.523,89.628,112.313,234.274,447.71,853.308,1796.457,3702.514,7452.391,15806,.,.,.,.,.,.
CAN,2000,1,short,1,S009,162.326,5.934,1.412,0,0,0.956,7.945,3.013,1.833,10.087,15.969,27.788,44.125,108.63,227.145,471.605,731.734,1374.184,2469.052,5248.654,.,.,.,.,.,.
CAN,2000,1,short,1,S010,152.494,76.963,4.235,1.955,0.977,1.902,0.991,4.011,7.334,8.534,13.577,25.989,40.112,70.678,83.946,174.328,420.628,936.124,2502.95,8707.844,.,.,.,.,.,.
CAN,2000,1,short,1,S011,467.472,41.42,5.647,1.955,0.977,5.715,9.936,5.019,6.413,24.833,22.354,43.923,84.257,187.19,451.114,1104.988,2206.764,4414.909,8341.932,15699.406,.,.,.,.,.,.
CAN,2000,1,short,1,S012,272.366,53.287,2.823,1.955,3.897,3.804,2.982,7.024,16.501,42.686,89.439,171.2,232.67,356.023,592.619,901.141,1167.931,1686.713,2984.425,6030.771,.,.,.,.,.,.
CAN,2000,1,short,1,S013,35.838,11.867,0,0,1.944,1.902,1.991,0,1.833,2.33,6.385,10.757,24.064,23.555,49.384,89.92,140.202,273.052,502.857,1207.307,.,.,.,.,.,.
CAN,2000,1,short,1,S014,132.478,11.867,0,0,0,0,1.991,2.006,3.667,9.311,7.985,25.094,26.07,56.282,139.909,280.762,549.878,1089.136,2231.766,5300.043,.,.,.,.,.,.
CAN,2000,1,short,1,S015,72.566,4827.595,49.384,14.673,12.658,14.278,12.917,8.022,13.746,10.864,13.577,18.82,18.055,18.318,11.515,25.699,21.905,38.999,56.515,42.824,.,.,.,.,.,.
CAN,2000,1,short,1,S016,599.884,195.346,80.415,60.637,114.91,536.836,709.238,604.787,627.82,644.946,689.859,685.662,597.684,594.193,561.282,677.143,771.167,1278.163,2265.664,5300.043,.,.,.,.,.,.
CAN,2000,2,short,1,S000,6862.589,4550.811,183.077,104.626,138.464,330.68,355.88,351.369,468.328,706.4,1118.546,1723.068,2921.997,4548.565,7184.759,11465.348,18906.755,31738.474,56890.496,138650.063,.,.,.,.,.,.
CAN,2000,2,short,1,S001,90.429,62.293,8.788,8.29,5.21,7.193,7.177,14.299,18.332,27.731,24.299,30.679,44.469,69.169,113.425,136.294,281.644,375.825,756.354,1444.152,.,.,.,.,.,.
CAN,2000,2,short,1,S002,1957.912,68.535,27.828,22.786,18.737,45.186,42.053,74.568,144.807,291.959,554.18,943.039,1736.192,2679.674,3974.343,5562.263,7753.324,10185.744,13106.989,17858.505,.,.,.,.,.,.
CAN,2000,2,short,1,S003,29.364,6.241,2.929,2.072,3.128,1.03,3.074,2.04,0,5.39,6.269,7.007,6.922,12.814,25.209,30.672,58.908,145.208,255.424,671,.,.,.,.,.,.
CAN,2000,2,short,1,S004,291.898,80.957,17.575,6.217,6.246,6.162,10.251,22.468,14.665,18.49,30.568,44.702,95.851,142.178,253.622,528.112,938.79,1595.121,2657.24,5572.338,.,.,.,.,.,.
CAN,2000,2,short,1,S005,239.728,0,0,1.036,1.046,3.081,4.103,4.09,6.414,8.475,14.896,21.03,28.654,33.307,70.879,88.59,215.367,691.872,1854.427,8880.003,.,.,.,.,.,.
CAN,2000,2,short,1,S006,363.926,87.199,17.575,13.471,12.492,11.294,14.354,14.299,25.664,32.355,39.979,69.24,84.985,148.585,228.413,347.539,752.869,1588.729,3413.595,9273.889,.,.,.,.,.,.
CAN,2000,2,short,1,S007,1756.892,62.293,7.323,1.036,6.246,12.324,16.41,14.299,27.493,46.993,90.928,144.612,285.59,572.6,1134.239,2180.712,4145.605,8121.193,16836.404,45900.351,.,.,.,.,.,.
CAN,2000,2,short,1,S008,601.121,18.664,1.465,2.072,3.128,2.051,5.131,9.194,6.414,17.716,36.844,65.732,110.671,151.153,269.366,541.751,1220.435,2647.867,6060.851,16669.646,.,.,.,.,.,.
CAN,2000,2,short,1,S009,150.412,6.241,0,0,0,0,4.103,2.04,9.161,3.078,7.052,14.023,24.7,43.553,88.216,185.687,349.751,766.599,1373.398,3898.44,.,.,.,.,.,.
CAN,2000,2,short,1,S010,184.527,18.664,5.858,0,0,1.03,6.149,3.065,2.748,6.163,13.329,13.148,18.774,37.146,66.162,115.852,235.612,576.542,1433.103,6458.536,.,.,.,.,.,.
