country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
CZE,1994,1,short,1,S000,11682.721,8301.098,522.713,275.383,291.556,825.857,1219.482,1304.125,1532.594,2273.529,3769.936,6513.441,10525.486,16647.013,26085.947,39545.564,62023.011,93791.948,141494.604,242194.486,.,.,.,.,.,.
CZE,1994,1,short,1,S001,39.703,68.322,15.72,0,10.899,13.218,5.016,8.761,15.118,16.382,34.588,50.755,13.194,83.388,78.016,88.835,119.456,193.068,533.305,375.213,.,.,.,.,.,.
CZE,1994,1,short,1,S002,3149.138,153.724,70.761,59.866,57.221,81.493,105.18,108.182,211.587,417.589,896.775,2035.758,3900.028,6473.576,9650.076,13237.784,17816.049,22723.821,27541.906,30686.095,.,.,.,.,.,.
CZE,1994,1,short,1,S003,10.417,68.322,0,2.993,8.174,0,2.508,0,3.035,8.191,7.422,5.078,13.194,0,13.017,29.595,37.749,48.267,172.111,83.473,.,.,.,.,.,.
CZE,1994,1,short,1,S004,114.348,136.644,11.781,2.993,8.174,6.598,10.007,2.911,9.077,8.191,51.883,58.372,79.195,127.29,259.997,409.516,735.547,1206.996,1410.66,1167.377,.,.,.,.,.,.
CZE,1994,1,short,1,S005,9.44,0,0,0,0,4.413,0,5.85,3.035,5.461,19.768,17.773,26.387,21.951,17.327,14.798,25.145,0,17.143,0,.,.,.,.,.,.
CZE,1994,1,short,1,S006,98.503,222.046,70.761,35.92,13.624,39.632,32.552,29.25,33.241,51.851,76.575,93.918,128.696,144.825,220.989,217.097,326.889,305.798,757.015,917.372,.,.,.,.,.,.
CZE,1994,1,short,1,S007,3584.653,85.402,19.66,2.993,8.174,24.23,50.082,67.261,139.064,322.052,746.075,1583.94,2913.481,5253.495,8653.448,13499.275,21707.427,31221.061,46069.573,77381.985,.,.,.,.,.,.
CZE,1994,1,short,1,S008,1541.197,34.161,3.94,0,0,13.218,12.514,26.311,33.241,68.233,155.648,304.606,666.494,1092.835,2491.613,4864.881,8813.714,16817.607,28471.032,55827.048,.,.,.,.,.,.
CZE,1994,1,short,1,S009,845.209,0,0,2.993,0,2.207,7.523,14.611,24.194,40.929,79.049,170.063,303.553,689.056,1178.652,2304.153,4356.598,8577.738,16101.997,39066.413,.,.,.,.,.,.
CZE,1994,1,short,1,S010,219.647,204.965,7.88,5.987,8.174,13.218,20.038,23.4,15.118,21.843,56.831,96.457,89.082,162.403,264.308,513.148,1031.02,2172.657,3887.93,9464.222,.,.,.,.,.,.
CZE,1994,1,short,1,S011,281.951,0,7.88,0,5.45,6.598,7.523,8.761,15.118,21.843,41.986,96.457,174.89,351.131,610.985,1026.248,1904.836,2993.357,3836.331,5545.142,.,.,.,.,.,.
CZE,1994,1,short,1,S012,496.29,51.241,3.94,0,5.45,6.598,7.523,55.561,78.594,237.463,429.856,700.591,884.272,939.22,1178.652,1391.371,1974.001,2896.823,3681.363,5712.087,.,.,.,.,.,.
CZE,1994,1,short,1,S013,4.808,0,0,0,0,0,0,0,0,0,2.474,7.617,3.307,17.535,13.017,4.916,25.145,48.267,51.599,41.736,.,.,.,.,.,.
CZE,1994,1,short,1,S014,166.248,17.08,0,0,2.725,0,5.016,2.911,0,19.113,46.934,58.372,122.083,140.452,234.006,493.385,936.71,1754.129,3044.86,4919.924,.,.,.,.,.,.
CZE,1994,1,short,1,S015,88.412,6627.214,98.262,14.966,2.725,15.425,12.514,14.611,6.041,0,4.948,7.617,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,short,1,S016,1032.759,631.977,212.245,146.671,160.764,599.03,941.534,935.688,946.161,1034.415,1119.125,1226.04,1207.632,1149.899,1221.971,1450.561,2212.85,2832.36,5917.78,11006.812,.,.,.,.,.,.
CZE,1994,2,short,1,S000,11072.666,6491.176,419.528,207.199,188.706,314.59,412.463,417.278,568.322,926.754,1642.818,2630.989,4095.994,6615.856,11540.302,19513.52,34011.638,61632.399,108119.789,210766.203,.,.,.,.,.,.
CZE,1994,2,short,1,S001,29.967,53.943,16.946,3.202,2.859,2.371,0,12.19,9.266,5.572,9.877,7.503,15.756,23.727,29.104,29.057,107.954,142.392,280.733,386.515,.,.,.,.,.,.
CZE,1994,2,short,1,S002,2386.344,125.868,38.128,41.44,48.606,30.752,81.951,88.344,154.435,421.508,841.138,1321.73,2007.037,3264.389,4875.162,6496.017,8971.695,11365.309,15465.144,19695.319,.,.,.,.,.,.
CZE,1994,2,short,1,S003,12.709,17.981,8.473,6.373,2.859,0,2.655,0,3.089,2.786,0,4.994,12.618,19.772,18.195,10.905,39.995,44.536,88.258,186.116,.,.,.,.,.,.
CZE,1994,2,short,1,S004,155.333,53.943,4.236,0,0,2.371,13.225,3.04,3.089,8.385,9.877,27.478,47.269,71.22,178.288,410.559,607.692,1103.563,1540.122,1817.881,.,.,.,.,.,.
CZE,1994,2,short,1,S005,3.407,0,0,0,0,0,2.655,0,3.089,0,7.389,0,6.309,11.863,10.91,0,11.991,0,8.06,14.284,.,.,.,.,.,.
CZE,1994,2,short,1,S006,101.71,71.924,42.364,28.694,14.296,26.011,29.079,21.311,21.621,33.485,49.334,64.967,97.676,75.175,163.717,203.468,291.875,409.434,505.368,1159.405,.,.,.,.,.,.
CZE,1994,2,short,1,S007,3294.685,71.924,12.709,6.373,5.718,4.742,26.449,30.461,33.976,61.425,189.946,367.295,708.937,1452.167,3107.002,5863.874,10942.721,20211.825,34475.761,67588.307,.,.,.,.,.,.
CZE,1994,2,short,1,S008,2169.025,35.962,4.236,0,8.578,4.742,2.655,24.381,27.798,33.485,71.525,112.444,346.574,478.77,1204.229,2779.354,5961.119,13732.66,26582.753,52215.654,.,.,.,.,.,.
CZE,1994,2,short,1,S009,1235.278,0,4.236,0,0,4.742,2.655,3.04,15.444,13.956,7.389,64.967,75.611,197.843,498.437,1209.831,2762.679,6568.149,14310.052,38732.303,.,.,.,.,.,.
CZE,1994,2,short,1,S010,260.751,215.773,21.182,6.373,0,4.742,7.94,9.15,3.089,11.171,29.605,34.98,40.96,71.22,163.717,265.204,603.709,1486.293,2887.69,6999.282,.,.,.,.,.,.
CZE,1994,2,short,1,S011,143.458,0,0,0,2.859,7.09,7.94,0,15.444,8.385,22.192,39.974,59.855,102.896,225.551,279.769,491.771,827.739,1267.369,2275.817,.,.,.,.,.,.
CZE,1994,2,short,1,S012,377.263,35.962,16.946,3.202,11.437,7.09,18.509,27.421,33.976,53.04,108.544,169.909,255.207,340.284,432.943,795.649,1195.427,2064.823,3304.8,5310.239,.,.,.,.,.,.
CZE,1994,2,short,1,S013,13.636,0,0,0,2.859,2.371,2.655,3.04,6.177,0,2.463,4.994,6.309,27.681,21.819,36.339,59.953,35.576,104.297,85.845,.,.,.,.,.,.
CZE,1994,2,short,1,S014,174.66,0,4.236,0,0,2.371,5.285,9.15,9.266,27.913,36.994,42.483,78.781,106.85,221.926,450.521,655.694,1067.987,1596.221,2146.978,.,.,.,.,.,.
CZE,1994,2,short,1,S015,62.003,5106.632,93.242,12.746,2.859,7.09,5.285,18.271,6.177,5.572,0,2.509,3.139,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,2,short,1,S016,652.433,701.263,152.552,98.827,85.775,208.154,203.576,167.507,222.387,240.073,256.546,364.786,333.988,371.959,389.268,683.046,1307.365,2572.112,5703.161,12152.115,.,.,.,.,.,.
CZE,1994,3,short,1,S000,11369.114,7419.383,472.486,242.103,241.368,575.654,825.527,870.346,1059.425,1606.902,2709.277,4560.773,7242.974,11379.517,18184.504,28012.742,44893.507,73087.374,118720.987,218779.762,.,.,.,.,.,.
CZE,1994,3,short,1,S001,34.698,61.317,16.317,1.563,6.976,7.91,2.567,10.438,12.246,11.031,22.266,29.002,14.502,52.059,51.447,54.419,112.423,160.443,360.96,383.634,.,.,.,.,.,.
CZE,1994,3,short,1,S002,2757.013,140.154,54.876,50.872,53.017,56.651,93.841,98.479,183.543,419.528,869.032,1676.652,2933.581,4788.41,7056.261,9356.423,12407.553,15411.063,19301.267,22497.733,.,.,.,.,.,.
CZE,1994,3,short,1,S003,11.595,43.798,4.124,4.643,5.581,0,2.567,0,3.062,5.516,3.721,5.036,12.9,10.383,15.81,18.835,39.098,45.865,114.839,159.944,.,.,.,.,.,.
CZE,1994,3,short,1,S004,135.417,96.356,8.108,1.532,4.186,4.529,11.578,2.989,6.138,8.273,30.925,42.846,62.895,97.847,215.592,410.117,657.361,1140.405,1499,1652.017,.,.,.,.,.,.
CZE,1994,3,short,1,S005,6.339,0,0,0,0,2.254,1.296,2.989,3.062,2.758,13.596,8.834,16.136,16.654,13.841,6.278,17.101,0,10.945,10.642,.,.,.,.,.,.
CZE,1994,3,short,1,S006,100.152,148.913,56.939,32.393,13.952,32.977,30.857,25.367,27.539,42.773,62.991,79.357,112.843,108.251,189.878,209.251,305.478,372.462,585.247,1097.692,.,.,.,.,.,.
CZE,1994,3,short,1,S007,3435.592,78.836,16.277,4.643,6.976,14.681,38.546,49.261,87.497,193.047,468.769,972.032,1787.973,3257.366,5640.524,9103.432,15124.598,24133.284,38158.427,70085.597,.,.,.,.,.,.
CZE,1994,3,short,1,S008,1863.94,35.038,4.084,0,4.186,9.059,7.702,25.367,30.57,51.033,113.701,207.959,503.178,770.381,1792.284,3664.183,7069.321,14831.494,27182.548,53136.382,.,.,.,.,.,.
CZE,1994,3,short,1,S009,1045.73,0,2.062,1.532,0,3.436,5.134,8.966,19.9,27.578,43.329,117.206,187.18,431.113,809.128,1674.132,3381.861,7284.006,14879.247,38817.498,.,.,.,.,.,.
CZE,1994,3,short,1,S010,240.777,210.23,14.355,6.175,4.186,9.059,14.12,16.416,9.215,16.561,43.243,65.538,64.514,114.522,209.665,370.402,769.711,1730.77,3205.407,7627.789,.,.,.,.,.,.
CZE,1994,3,short,1,S011,210.757,0,4.044,0,4.186,6.85,7.714,4.476,15.278,15.168,32.128,68.049,116.16,220.758,401.611,596.486,1040.719,1599.115,2083.376,3109.425,.,.,.,.,.,.
CZE,1994,3,short,1,S012,435.103,43.798,10.271,1.563,8.371,6.85,12.874,41.797,56.7,146.164,269.638,433.686,563.109,624.711,773.57,1048.402,1497.887,2361.175,3424.411,5412.702,.,.,.,.,.,.
CZE,1994,3,short,1,S013,9.346,0,0,0,1.395,1.16,1.296,1.487,3.031,0,2.469,6.298,4.839,22.884,17.799,23.007,46.431,40.096,87.558,74.598,.,.,.,.,.,.
CZE,1994,3,short,1,S014,170.572,8.76,2.062,0,1.395,1.16,5.147,5.963,4.547,23.469,41.978,50.381,99.975,122.787,227.444,468.708,764.863,1312.386,2056.422,2854.02,.,.,.,.,.,.
CZE,1994,3,short,1,S015,74.835,5886.453,95.799,13.883,2.79,11.346,8.985,16.401,6.108,2.758,2.481,5.036,1.602,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,3,short,1,S016,837.246,665.73,183.189,123.319,124.172,407.732,581.292,559.966,591.005,641.232,689.011,792.875,761.602,741.371,769.632,1008.688,1659.128,2664.81,5771.387,11860.194,.,.,.,.,.,.
