country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
DEUTNP,1998,1,short,3,S000,9957.679,5116.477,286.475,132.446,173.923,659.978,924.599,844.562,1026.605,1547.029,2633.681,4039.118,6253.002,9840.528,15730.498,26289.391,39904.124,65006.162,112418.907,206383.879,177058.129,298705.373,281488.361,415992.776,.,.
DEUTNP,1998,1,short,3,S001,102.896,72.949,15.361,2.293,1.765,8.961,8.54,18.532,31.836,48.998,58.823,73.403,93.865,122.853,166.339,246.672,382.893,562.08,852.302,1345.828,1168.537,1903.017,1776.535,2768.35,.,.
DEUTNP,1998,1,short,3,S002,2889.948,25.166,26.042,29.789,37.962,47.646,73.056,75.59,133.766,244.997,569.569,1204.511,2230.191,3909.054,6126.519,9722.168,13521.002,19109.686,26351.549,36393.028,34144.711,43275.979,42440.431,48637.661,.,.
DEUTNP,1998,1,short,3,S003,16.574,22.642,1.334,1.835,1.765,3.302,2.848,0.362,2.338,4.315,8.103,4.185,9.202,12.572,18.988,36.751,66.722,108.408,215.026,346.728,299.837,494.348,479.447,593.086,.,.
DEUTNP,1998,1,short,3,S004,214.243,45.284,9.347,3.208,7.065,6.132,11.862,13.082,14.604,26.196,44.029,82.913,110.889,183.202,347.129,607.499,899.984,1494.176,2629.448,4393.034,4097.535,5301.396,5188.757,6029.86,.,.
DEUTNP,1998,1,short,3,S005,158.682,2.524,0.667,0,0.883,13.208,56.455,62.508,82.363,124.502,195.491,230.862,259.968,290.61,285.625,281.196,257.034,327.583,538.853,1307.626,1080.128,2026.663,1903.527,2866.427,.,.
DEUTNP,1998,1,short,3,S006,184.915,128.279,28.715,12.831,12.803,23.114,25.619,23.62,21.319,40.988,53.893,76.065,105.826,126.804,206.792,360.265,647.504,1463.543,2865.205,3825.889,3720.839,4127.348,4314.48,2768.35,.,.
DEUTNP,1998,1,short,3,S007,3245.81,52.831,16.695,4.123,7.504,24.059,28.936,44.334,87.913,218.804,500.528,902.146,1542.316,2577.777,4606.344,8545.597,13540.712,22951.185,42729.282,85912.225,71356.788,131891.551,121526.097,203053.698,.,.
DEUTNP,1998,1,short,3,S008,848.973,7.547,5.341,2.75,1.765,7.076,9.487,10.901,26.578,44.686,78.901,146.048,225.46,413.464,838.718,1712.795,3295.903,6838.104,14227.549,27818.554,23908.603,40124.774,39028.208,47352.487,.,.
DEUTNP,1998,1,short,3,S009,295.741,2.524,1.334,0,0,1.417,3.322,5.816,10.222,16.025,29.939,54.769,98.928,176.736,364.048,680.995,1159.287,2132.856,4126.829,9770.436,7822.174,15941.139,14691.995,24516.371,.,.
DEUTNP,1998,1,short,3,S010,202.885,27.665,5.341,1.373,4.413,3.302,5.218,8.723,8.762,16.95,22.543,30.045,58.435,98.786,156.02,295.677,591.398,1287.963,3404.032,8883.001,6803.556,15483.979,14269.049,23824.284,.,.
DEUTNP,1998,1,short,3,S011,467.109,7.547,5.341,0.915,4.856,5.187,5.692,9.085,12.852,19.108,35.576,57.812,149.54,270.855,576.204,1344.73,2374.687,4040.643,6538.676,10722.511,9559.612,14359.437,13676.871,18980.596,.,.
DEUTNP,1998,1,short,3,S012,544.085,15.095,6.007,1.835,3.091,3.774,9.487,26.893,73.601,182.746,378.302,524.478,668.091,894.463,1220.517,1448.859,1764.333,2369.713,3606.105,6376.501,5527.423,9045.724,8911.059,9885.38,.,.
DEUTNP,1998,1,short,3,S013,17.945,2.524,2,0,0,1.885,0.948,1.091,1.46,3.39,2.465,6.847,9.202,18.321,29.306,52.34,78.854,117.836,217.601,332.053,257.551,568.489,535.813,791.089,.,.
DEUTNP,1998,1,short,3,S014,119.369,2.524,0.667,0.458,0,1.417,0.948,1.091,4.673,6.162,21.136,24.72,38.652,73.282,144.051,253.915,432.175,899.103,1784.923,3875.854,3209.611,5980.977,5371.98,10182.385,.,.
DEUTNP,1998,1,short,3,S015,57.476,4550.503,64.772,12.373,10.151,11.323,9.961,7.269,4.964,6.78,7.045,7.986,7.822,9.699,8.255,6.681,6.062,3.534,10.352,23.498,19.224,37.07,14.125,198.004,.,.
DEUTNP,1998,1,short,3,S016,591.029,150.921,97.494,58.659,79.897,498.169,672.221,535.664,509.36,542.385,627.335,612.334,644.626,662.046,635.644,693.249,885.582,1299.751,2321.175,5057.112,4082.148,8143.603,7360.123,13543.822,.,.
DEUTNP,1998,2,short,3,S000,10984.874,4076.234,249.439,96.676,115.905,295.342,306.993,345.236,448.343,777.889,1328.244,2133.938,3163.84,4608.604,7190.249,12283.019,21197.535,37953.848,74269.058,161740.296,128805.263,241762.842,220042.182,354383.987,.,.
DEUTNP,1998,2,short,3,S001,95.044,44.792,13.501,1.448,2.395,4.794,2.931,9.526,11.513,17.392,22.125,25.391,30.418,50.649,70.862,141.346,232.444,373.676,563.347,1058.127,892.623,1457.378,1386.529,1815.655,.,.
DEUTNP,1998,2,short,3,S002,2630.164,42.157,29.848,24.169,19.156,39.794,38.617,73.543,139.957,333.923,607.381,1102.78,1735.156,2509.019,3471.021,5098.118,7233.229,10248.205,14666.365,20512.279,18901.607,24278.48,23640.613,27351.882,.,.
DEUTNP,1998,2,short,3,S003,23.837,2.635,4.266,0.481,0.96,2.876,0.491,1.906,1.515,1.265,2.854,4.169,6.911,9.917,13.701,25.656,48.55,81.458,175.222,331.387,271.88,475.504,442.681,644.236,.,.
DEUTNP,1998,2,short,3,S004,367.35,28.983,7.815,3.867,2.395,6.234,4.399,8.764,7.574,13.28,18.558,38.277,43.323,97.398,203.97,427.423,796.879,1539.141,2842.205,5107.636,4466.86,6641.62,6387.59,7906.857,.,.
DEUTNP,1998,2,short,3,S005,83.121,0,0,0,0.48,7.67,16.618,17.528,18.177,32.569,51.033,55.327,62.217,63.753,80.257,71.641,95.626,144.684,414.612,1146.971,835.516,1908.177,1712.135,2928.459,.,.
DEUTNP,1998,2,short,3,S006,208.43,50.062,20.606,8.215,8.141,6.234,10.266,9.526,13.934,25.614,38.186,49.645,59.452,93.505,152.684,234.285,460.474,847.607,1613.639,2390.785,2252.057,2707.901,2754.789,2420.874,.,.
