country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
ESP,1980,1,short,4,S000,8240.596,13622.712,705.624,412.432,360.581,764.094,1104.618,1137.609,1313.767,1698.19,2784.632,4239.944,7041.707,11155.349,17294.875,26830.664,45172.765,72827.844,117731.378,207420.865,184875.528,279662.027,268260.161,345707.961,334984.343,467146.067
ESP,1980,1,short,4,S001,126.778,729.755,129.961,31.679,16.112,8.055,11.925,20.77,32.592,48.264,73.674,98.312,132.094,207.728,265.055,368.741,496.66,769.85,883.894,1359.469,1274.888,1617.602,1590.263,1757.732,956.474,10966.292
ESP,1980,1,short,4,S002,1893.125,75.454,66.162,98.638,72.653,85.546,83.71,135.414,170.132,318.294,689.231,1208.133,2122.152,3717.408,5727.852,8346.913,12049.107,15490.791,19297.458,22686.883,22217.468,23792.114,23944.594,22391.026,20526.498,43685.393
ESP,1980,1,short,4,S003,17.523,72.836,5.639,3.572,2.685,5.535,6.997,5.248,4.504,7.759,7.482,10.351,14.871,26.715,32.576,48.661,76.657,132.991,159.026,235.73,196.536,364.001,421.174,0,0,0
ESP,1980,1,short,4,S004,153.987,196.605,15.348,8.955,5.394,1.857,7.039,9.701,18.111,16.531,32.876,65.777,106.105,166.139,343.458,578.714,1089.879,1649.328,2135.223,2939.216,2621.152,3957.836,3806.935,4831.94,4774.435,5483.146
ESP,1980,1,short,4,S005,26.354,0,0,0,2.384,3.671,4.194,8.764,8.077,24.145,25.121,43.806,47.823,49.954,53.925,63.959,94.064,147.98,234.101,392.287,258.697,838.061,809.611,1002.855,1087.444,0
ESP,1980,1,short,4,S006,109.953,399.208,51.987,25.548,23.271,33.415,29.518,42.162,27.272,38.334,42.575,60.048,89.931,116.113,185.646,299.63,483.451,958.368,1161.127,1685.481,1667.29,1711.018,1648.182,2071.352,1774.042,5483.146
ESP,1980,1,short,4,S007,1807.665,198.063,21.162,9.703,19.831,35.996,65.589,98.894,158.514,271.722,512.093,856.452,1560.794,2591.187,4025.865,6329.759,10800.705,17360.648,28761.813,50625.073,45083.354,68390.247,64885.984,89020.739,88420.309,95460.674
ESP,1980,1,short,4,S008,1127.156,150.08,11.53,8.208,13.675,12.963,28.634,44.994,49.094,75.439,154.849,249.589,488.765,851.056,1671.676,3211.549,7066.747,13525.234,23844.887,44781.504,40403.347,58712.554,56317.075,72584.851,67163.557,134471.91
ESP,1980,1,short,4,S009,353.408,0,0,0,2.39,1.242,3.523,6.467,9.064,10.101,30.864,29.428,76.336,153.565,317.04,746.68,1672.424,3799.307,9514.363,23560.973,19330.246,37451.265,35743.133,47425.944,47724.504,43775.281
ESP,1980,1,short,4,S010,310.008,817.967,50.608,21.523,12.565,21.688,21.102,20.219,24.749,30.331,64.854,84.045,128.012,216.155,345.808,684.017,1498.791,3015.499,6586.636,15054.908,12310.57,24069.678,22507.314,33389.615,32472.506,43730.337
ESP,1980,1,short,4,S011,746.587,491.297,35.588,13.821,10.423,25.493,32.438,28.653,40.985,68.213,119.482,240.413,501.819,784.402,1501.66,2501.803,4491.582,8173.179,12834.154,23922.357,21288.57,32368.141,31093.85,39727.661,40136.208,34876.404
ESP,1980,1,short,4,S012,598.828,155.647,14.014,9.561,5.684,14.881,32.006,67.92,111.651,195.162,362.831,572.472,920.477,1343.975,1793.755,2234.192,3118.956,3890.243,5737.06,7735.793,7408.559,8681.791,8286.867,10987.648,10985.566,10966.292
