country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
FRATNP,1979,1,short,4,S000,10834.41,11807.291,649.692,327.933,351.016,1195.069,1799.73,1518.932,1676.674,2284.866,3744.504,6383.039,9972.176,14509.934,20333.182,31249.135,49459.69,80029.147,130989.506,240215.048,205674.236,349742.647,324801.729,504242.883,478983.015,900152.979
FRATNP,1979,1,short,4,S001,192.042,392.788,41.294,9.609,6.873,13.387,22.268,18.947,26.1,39.898,66.715,116.024,165.399,245.214,342.666,568.24,854.773,1433.155,2302.462,4147.779,3449.804,6380.628,5981.913,8823.674,9031.936,4664.005
FRATNP,1979,1,short,4,S002,3068.704,86.332,85.987,74.176,60.271,83.743,109.431,133.249,211.112,401.292,935.687,2117.96,3792.688,5729.055,8083.745,11548.917,16280.861,22059.113,29742.372,39239.361,36665.718,46814.6,45975.367,50858.647,47804.506,99399.276
FRATNP,1979,1,short,4,S003,38.147,70.638,22.36,5.098,2.433,3.406,4.341,5.552,5.308,7.359,9.005,15.771,27.759,40.233,61.714,89.757,150.93,249.963,587.25,1091.588,877.9,1779.758,1735.799,2014.027,1830.669,4999.813
FRATNP,1979,1,short,4,S004,229.588,220.152,13.87,7.675,13.441,7.624,6.29,11.03,18.75,27.159,50.359,94.508,144.814,240.1,314.043,588.691,1058.55,2021.699,3713.391,6807.471,5322.723,11611.972,10094.004,21333.017,20894.385,27349.726
FRATNP,1979,1,short,4,S005,173.175,42.95,4.464,3.459,3.952,3.078,8.942,11.31,35.583,58.421,134.251,183.398,255.991,316.354,293.706,475.46,625.058,1110.264,1859.2,3539.121,2978.779,5325.899,4732.716,9096.687,8401.081,20372.374
FRATNP,1979,1,short,4,S006,250.154,311.157,52.994,17.776,17.343,51.351,43.64,30.078,46.155,45.53,90.859,117.782,135.531,234.674,325.586,621.951,1223.102,2191.327,3413.3,5579.118,4999.813,7373.461,7288.549,7695.819,7796.412,5447.558
FRATNP,1979,1,short,4,S007,2277.27,157.645,21.611,8.373,10.88,28.89,41.526,49.425,124.528,247.635,513.251,948.759,1678.302,2683.864,4068.007,6820.969,11608.29,19567.401,32967.986,64370.634,54337.994,96331.808,89003.67,141939.642,135567.115,240811.91
FRATNP,1979,1,short,4,S008,1132.451,62.669,3.156,4.106,3.61,12.024,13.279,30.313,53.125,72.477,145.147,289.843,481.478,825.365,1392.069,2672.824,5453.741,11057.447,20915.603,42004.348,36799.904,58348.191,54968.647,78920.75,77309.464,100966.382
FRATNP,1979,1,short,4,S009,346.671,10.346,0.728,0.671,0.703,4.555,4.044,10.75,13.895,24.161,52.057,95.534,170.169,308.644,523.796,901.792,1681.6,3196.825,6169.576,11863.241,9757.737,18616.23,17238.415,27175.932,24591.432,69363.083
FRATNP,1979,1,short,4,S010,155.058,169.611,8.166,2.352,2.528,6.434,6.253,4.813,5.428,16.948,24.074,35.388,46.536,72.41,134.893,237.56,576.39,1283.191,2782.992,9223.237,7070.872,16205.999,14239.33,28764.775,26974.397,57273.982
FRATNP,1979,1,short,4,S011,532.044,125.986,10.209,4.736,3.026,9.977,12.665,17.974,24.212,38.231,69.221,144.482,313.034,543.651,810.011,1460.189,2655.41,5011.425,8663.419,16385.671,14031.59,23850.062,21479.833,38843.859,36958.566,68281.034
FRATNP,1979,1,short,4,S012,829.442,151.594,13.864,8.649,5.299,9.192,14.997,48.805,109.019,210.47,482.857,894.518,1309.532,1680.928,2221.153,2956.623,3710.959,4817.802,6750.219,10922.364,9590.298,15100.882,14788.789,16680.616,15300.013,39065.707
FRATNP,1979,1,short,4,S013,48.469,3.458,2.92,0,2.41,2.421,2.067,3.311,1.58,6.624,10.505,21.717,33.08,44.396,51.448,108.092,249.047,439.51,819.024,1513.442,1296.546,2201.214,1990.84,3531.26,3437.563,4887.877
FRATNP,1979,1,short,4,S014,188.878,20.665,2.92,0,1.926,1.933,3.105,4.303,5.269,11.469,17.222,30.766,43.735,93.06,184.765,335.677,762.609,1766.258,4013.624,9524.508,7866.181,14838.055,12999.164,26589.626,24634.283,58132.159
FRATNP,1979,1,short,4,S015,141.704,8596.425,91.186,21.62,16.38,19.839,11.377,13.749,11.063,7.882,10.332,12.321,14.828,13.76,25.809,15.69,26.686,30.013,37.551,82.179,84.749,71.228,81.642,0,0,0
FRATNP,1979,1,short,4,S016,1230.613,1384.903,273.97,159.637,199.936,937.215,1495.499,1125.324,985.542,1069.317,1132.968,1264.257,1359.306,1438.226,1499.772,1846.695,2541.696,3793.773,6251.5,13920.986,10543.727,24892.661,22203.052,41976.789,38451.192,99175.404
FRATNP,1979,2,short,4,S000,9411.414,9119.468,463.831,250.44,215.842,494.257,576.113,577.443,760,1129.012,1676.639,2563.997,3956.87,5784.45,7990.78,12693.813,22846.463,42761.217,82172.157,186521.552,149311.594,282337.211,254937.086,422975.598,404396.523,630618.127
FRATNP,1979,2,short,4,S001,163.915,342.194,28.555,6.909,6.08,10.043,9.024,12.494,17.032,18.646,40.115,49.304,67.5,106.484,156.419,223.824,399.319,756.75,1399.169,2875.022,2342.235,4239.884,3785.983,6588.726,6083.681,12547.178
FRATNP,1979,2,short,4,S002,2012.889,71.08,65.919,63.124,52.201,58.87,62.396,100.04,195.251,389.304,639.995,1067.476,1829.192,2642.877,3409.017,4731.493,6616.983,9246.403,13308.302,20849.524,18844.609,25639.374,24797.696,29220.937,28621.454,34934.909
FRATNP,1979,2,short,4,S003,42.658,77.952,14.394,7.111,2.237,2.451,2.938,4.207,4.164,3.573,6.33,8.697,14.212,19.851,32.441,45.958,99.842,206.101,385.07,791.368,675.135,1083.434,1048.134,1233.162,1249.102,954.54
FRATNP,1979,2,short,4,S004,328.453,117.113,14.62,10.712,5.546,8.03,6.153,4.577,9.921,13.78,25.167,34.67,62.324,128.177,222.919,425.127,853.995,1715.093,3184.68,6953.809,5453.468,10836.698,9533.386,17639.219,16604.118,29584.461
FRATNP,1979,2,short,4,S005,149.808,45.777,3.959,1.3,0.861,0.264,1.947,4.198,10.741,19.562,28.09,57.477,74.768,69.708,80.142,148.387,292.683,680.457,1482.487,3368.318,2740.68,4976.835,4630.439,6693.424,6598.381,7473.044
FRATNP,1979,2,short,4,S006,266.685,307.435,26.745,14.559,15.512,20.702,16.66,16.583,27.518,27.861,42.926,66.192,85.101,140.021,199.625,333.915,671.613,1325.609,2509.102,4837.363,3956.393,7091.31,6702.49,8952.416,8676.284,11868.952
FRATNP,1979,2,short,4,S007,2357.609,133.811,16.296,5.96,8.35,12.455,21.842,25.653,43.619,62.21,122.09,195.14,364.392,683.316,1311.422,2585.047,5734.12,11906.189,23773.322,56292.881,43957.44,88247.887,78259.256,140156.005,132999.266,221585.164
FRATNP,1979,2,short,4,S008,1488.174,31.096,3.641,3.832,3.189,4.157,11.421,19.538,27.488,39.83,75.328,147.924,231.626,392.239,618.483,1359.598,3214.754,7377.271,16272.21,36562.013,29941.263,53493.973,49278.872,74690.626,72599.047,96352.024
FRATNP,1979,2,short,4,S009,322.024,3.663,0.148,0.404,0.798,1.8,3.225,5.204,9.717,11.06,19.234,30.488,53.163,85.396,138.855,282.153,631.643,1446.133,3363.514,8649.436,6824.64,13365.441,12191.653,19335.011,18607.288,27286.029
FRATNP,1979,2,short,4,S010,192.482,96.184,12.118,1.724,2.876,4.425,1.636,4.905,2.555,2.999,4.438,13.488,16.366,30.331,50.578,115.998,303.324,664.118,1648.312,6655.22,4604.029,12062.258,10241.989,21696.121,20421.66,36404.398
FRATNP,1979,2,short,4,S011,349.918,110.922,13.913,1.647,5.772,8.822,7.885,12.328,20.326,21.443,26.966,54.662,78.311,155.595,210.053,386.943,798.614,1613.443,3231.166,8489.379,6381.06,13990.037,12153.871,23629.158,21654.467,47055.056
FRATNP,1979,2,short,4,S012,584.991,91.498,7.642,3.048,6.036,11.075,14.134,37.881,62.998,149.526,259.187,408.129,565.31,660.552,828.03,981.389,1477.252,2378.496,4261.216,8622.501,7157.603,12350.378,11519.424,16450.928,15833.192,23197.835
FRATNP,1979,2,short,4,S013,95.751,3.663,0.764,2.542,2.501,3.021,6.263,4.269,6.719,6.104,5.086,16.205,25.62,34.551,51.544,124.92,221.395,472.658,813.286,2301.579,1943.757,3205.479,2922.536,4644.859,4439.003,6951.815
