country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
GBRTENW,2001,1,short,3,S000,9878.1,5946.191,248.1,109.083,160,533.319,802.596,844.588,1074.283,1303.799,1852.079,3027.788,4698.233,7643.085,12773.914,21063.497,36132.925,61198.165,98708.144,191847.107,163338.553,272538.142,253740.3,388160.313,.,.
GBRTENW,2001,1,short,3,S001,79.091,204.795,26.776,6.35,4.544,5.23,15.386,15.553,26.621,35.459,42.375,50.36,41.267,54.774,72.375,124.926,217.218,407.698,680.688,1382.756,1131.044,2102.17,1897.1,3392.418,.,.
GBRTENW,2001,1,short,3,S002,2840.178,30.224,35.444,26.551,27.758,45.894,64.747,69.71,132.619,206.451,374.33,813.074,1652.946,2989.9,5164.922,8115.621,12651.322,18740.511,25337.055,36487.033,33885.834,43430.132,42623.349,47375.285,.,.
GBRTENW,2001,1,short,3,S003,16.485,23.515,3.94,1.734,4.037,2.322,5.769,4.292,4.435,7.773,6.517,8.493,7.913,15.364,13.518,24.445,30.583,70.67,144.166,380.544,270.246,700.677,683.552,791.066,.,.
GBRTENW,2001,1,short,3,S004,140.004,77.222,10.236,6.35,7.573,9.294,17.947,13.944,17.254,28.174,33.685,44.294,75.186,97.527,198.838,317.742,559.917,812.674,1316.492,2381.22,2096.889,3175.687,3042.13,3957.322,.,.
GBRTENW,2001,1,short,3,S005,188.079,0,0,0,2.021,19.755,73.723,95.45,95.647,63.15,60.846,53.395,39.007,41.412,48.513,115.876,259.394,853.444,2105.904,6827.208,5359.869,11047.68,10407.969,14924.644,.,.
GBRTENW,2001,1,short,3,S006,257.242,191.377,44.104,12.123,25.236,47.636,32.693,35.392,48.315,58.29,72.8,89.799,118.713,157.647,230.651,410.982,710.696,1580.512,2850.407,5335.149,4759.324,6932.787,6836.167,7349.74,.,.
GBRTENW,2001,1,short,3,S007,2769.381,83.931,6.304,1.156,8.581,17.427,25.644,31.1,86.772,164.19,372.152,792.445,1309.807,2216.375,3894.764,6455.383,10919.906,18203.703,28991.06,52319.194,45646.534,71041.739,67164.968,94410.83,.,.
GBRTENW,2001,1,short,3,S008,882.279,10.064,0.788,3.461,1.515,4.069,10.258,17.162,17.254,34.488,76.605,126.818,218.207,382.088,642.635,1341.591,2816.439,5838.237,11451.305,25266.653,21399.457,36229.14,33411.596,53706.801,.,.
GBRTENW,2001,1,short,3,S009,353.499,10.064,0.788,0,0.507,2.902,0.64,7.509,10.355,16.517,27.167,50.968,87.62,175.68,393.689,821.974,1579.568,2611.985,4093.642,6702.845,6035.483,8542.854,8322.973,9723.934,.,.
