country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
JPN,1981,1,short,4,S000,6751.677,7770.347,674.938,325.382,236.772,730.529,838.199,849.291,1020.638,1539.202,2431.024,4191.104,6367.983,9202.012,14505.803,24209.781,42079.629,72670.891,118515.733,208212.588,187215.699,299009.681,286597.275,406182.551,401528.843,485215.26
JPN,1981,1,short,4,S001,172.717,156.437,27.061,6.975,4.718,8.92,10.768,16.012,22.487,38.114,83.645,166.136,251.375,333.539,462.101,661.223,1069.437,1536.702,2192.437,3332.998,2990.189,4818.653,4876.128,4132.114,4321.298,0
JPN,1981,1,short,4,S002,1832.174,69.554,77.011,64.903,62.146,72.431,81.825,100.767,197.77,337.86,602.149,1212.466,2290.383,3708.269,5867.767,9129.377,13467.82,18248.194,21612.85,23905.214,23837.256,22982.559,23446.53,17937.067,17498.699,26352.076
JPN,1981,1,short,4,S003,20.989,31.969,6.007,3.573,5.222,5.442,6.202,7.776,4.885,5.627,9.396,10.926,12.986,27.59,43.432,72.382,125.181,204.011,279.333,566.314,500.614,855.136,816.361,1192.775,1244.967,0
JPN,1981,1,short,4,S004,91.862,44.514,8.161,3.884,2.104,2.371,5.049,7.331,10.902,20.066,39.383,75.149,107.589,136.935,223.79,393,598.643,975.405,1421.436,1978.251,1887.392,2314.852,2302.059,2365.671,2453.848,408.559
JPN,1981,1,short,4,S005,27.265,0,0.303,0.202,0.231,0.862,1.199,3.423,3.964,8.837,17.103,25.554,23.806,32.761,39.873,53.832,133.506,267.88,622.113,1523.993,1209.409,2968.068,2917.454,3351.13,3349.983,3217.405
JPN,1981,1,short,4,S006,64.864,171.695,39.393,17.195,17.632,30.878,36.374,18.986,21.612,18.057,26.881,40.514,56.055,84.923,148.423,236.556,334.981,497.698,668.766,828.682,760.601,1115.126,1115.013,1082.017,1043.487,1787.447
JPN,1981,1,short,4,S007,1045.484,53.323,18.787,7.826,13.55,31.025,49.204,77.817,104.507,176.195,277.205,476.771,796.897,1227.153,2084.471,3577.301,6717.098,12530.656,22656.877,47027.311,41369.254,71969.985,69075.578,96890.265,96806.69,94223.993
JPN,1981,1,short,4,S008,1517.16,46.988,4.203,2.519,3.4,8.739,12.542,28.61,62.832,160.207,320.613,666.253,1002.822,1451.014,2606.056,5151.255,10485.827,20995.584,36797.887,65604.17,60302.48,87847.928,85064.345,111249.006,109993.114,132475.359
JPN,1981,1,short,4,S009,77.007,1.275,0.358,0.042,0.256,0.864,1.171,1.874,3.055,6.19,14.382,27.492,39.593,61.018,117.253,225.565,458.876,965.18,2005.145,5153.13,4226.251,9372.599,8773.084,14702.374,14563.705,16955.212
JPN,1981,1,short,4,S010,371.058,354.964,50.223,11.526,9.434,12.978,12.937,13.634,15.087,19.895,31.042,53.068,86.96,180.896,353.192,946.234,2326.366,5271.843,10821.366,25034.078,21001.805,43253.798,39312.283,78862.32,78375.769,85439.967
JPN,1981,1,short,4,S011,238.65,77.303,16.467,6.565,8.599,8.819,9.074,11.146,10.84,15.902,27.182,50.006,98.958,195.26,371.781,819.611,1823.057,3585.665,5950.745,9753.179,8790.47,13905.322,13503.833,17241.281,16846.144,24819.979
JPN,1981,1,short,4,S012,377.855,52.049,6.994,2.406,3.39,6.703,10.459,18.783,49.049,120.446,237.253,485.176,609.474,692.313,904.016,1275.814,2018.499,3191.713,5666.598,9439.378,8481.472,13584.61,12827.589,20262.979,19164.669,42388.029
JPN,1981,1,short,4,S013,27.701,11.422,4.971,1.983,0.458,1.343,3.913,3.253,3.957,7.953,9.807,9.357,20.469,31.671,53.204,82.859,158.592,315.778,563.773,1342.511,1064.964,2616.404,2328.043,5239.691,5476.049,0
JPN,1981,1,short,4,S014,124.075,46.937,3.554,5.809,1.912,3.796,6.431,12.115,17.076,23.162,29.079,52.598,76.275,127.266,205.052,410.638,777.163,1565.957,2838.193,5768.386,4958.767,9387.928,9191.461,10942.292,10931.049,10673.612
JPN,1981,1,short,4,S015,100.113,6089.843,107.873,19.231,11.895,11.895,6.89,6.056,7.708,8.619,4.909,8.929,10.303,13.173,16.514,10.301,17.804,12.101,26.514,13.066,15.61,0,0,0,0,0
JPN,1981,1,short,4,S016,662.702,562.074,303.567,170.742,91.823,523.463,584.16,521.709,484.903,572.068,700.998,830.706,884.039,898.227,1008.868,1163.835,1566.773,2506.525,4391.7,6941.927,5819.232,12016.123,11047.185,20725.889,19456.365,46422.552
JPN,1981,2,short,4,S000,5579.336,6326.836,530.1,190.893,136.869,268.709,353.581,461.615,607.608,880.322,1304.559,2047.617,3146.294,4661.429,7584.613,12930.098,23781.928,46054.916,84305.401,178362.834,152557.374,263258.617,245726.95,376488.947,366994.163,496330.785
JPN,1981,2,short,4,S001,98.695,144.715,23.072,7.733,3.664,6.136,12.407,11.114,13.294,20.464,32.782,51.473,92.751,116.602,165.435,286.753,416.117,697.325,1120.927,2280.546,1990.67,3214.534,2931.254,5086.622,4498.2,12975.196
JPN,1981,2,short,4,S002,1302.879,53.249,56.511,44.26,43.621,50.767,70.135,129.326,229.051,393.613,611.898,982.08,1487.437,2130.464,3088.249,4416.133,6474.663,9152.842,11729.086,14138.844,14121.701,13198.431,13007.382,14009.896,14031.015,13365.161
JPN,1981,2,short,4,S003,22.136,17.656,6.461,2.136,4.735,5.654,4.599,4.457,6.807,7.06,6.899,9.224,17.487,20.934,35.802,47.398,86.949,152.181,262.474,547.038,518.074,617.786,665.358,255.025,273.356,0
JPN,1981,2,short,4,S004,106.28,32.714,9.488,2.773,2.601,3.977,4.646,7.494,10.375,15.079,21.993,30.061,62.227,99.403,197.135,345.69,616.777,1004.989,1347.449,2013.994,1967.303,2047.347,1967.466,2528.565,2670.836,531.77
JPN,1981,2,short,4,S005,30.516,0,0.003,0.212,0.644,2.177,2.889,2.04,2.24,4.088,6.64,5.128,7.213,14.02,21.52,50.436,93.894,266.191,601.834,1490.515,1173.029,2585.118,2448.957,3442.838,3336.438,4797.75
JPN,1981,2,short,4,S006,54.544,126.619,37.949,13.846,10.456,17.207,15.135,16.083,17.415,13.182,20.19,25.518,36.086,53.548,100.945,151.551,222.335,335.39,542.854,767.746,625.012,1252.901,1204.467,1544.029,1541.839,1548.042
JPN,1981,2,short,4,S007,1038.528,70.665,22.539,6.132,9.595,12.489,16.378,27.318,35.936,53.205,99.652,187.747,313.143,517.584,1094.713,2102.678,4431.99,9526.704,18986.556,44937.169,37672.988,69209.832,64656.419,98584.524,95196.147,142266.287
JPN,1981,2,short,4,S008,1545.19,30.769,2.864,3.408,3.372,4.422,10.517,13.803,30.27,76.849,152.432,298.284,508.07,787.473,1449.392,3056.344,6748.908,15153.281,29441.508,63122.951,55100.077,88971.658,84491.71,117017.456,115177.33,139134.751
JPN,1981,2,short,4,S009,74.273,2.678,0.064,0.468,0.046,0.053,0.84,0.904,1.384,1.613,2.931,5.92,8.429,19.742,42.557,98.797,217.95,582.729,1517.546,4784.836,3733.528,8419.777,7577.746,14031.581,13538.6,20384.529
JPN,1981,2,short,4,S010,304.446,348.796,44.291,10.922,5.703,10.646,11.01,10.619,11.549,14.652,15.949,24.581,44.581,84.217,169.249,398.746,967.285,2530.676,5985.48,17425.275,13485.165,31084.919,27927.568,52145.68,50349.886,75298.678
JPN,1981,2,short,4,S011,135.986,70.839,20.162,6.529,4.228,4.867,7.887,7.862,9.998,11.206,17.797,32.474,50.563,94.281,168.011,314.143,613.993,1176.565,2225.05,4914.371,4100.864,7641.032,7016.207,11746.765,11299.329,17548.421
JPN,1981,2,short,4,S012,259.219,52.156,4.418,3.427,2.023,5.214,6.927,9.156,17.498,26.416,49.915,85.279,141.486,232.895,374.802,617.716,1118.18,2183.285,4207.661,8849.75,7605.208,12926.522,12048.832,18605.551,18399.09,20939.934
JPN,1981,2,short,4,S013,72.67,14.711,3.312,2.19,2.699,9.646,11.631,16.677,19.763,21.519,23.866,32.985,42.018,69.002,100.871,164.107,262.735,528.233,956.518,2437.056,1859.375,4448.246,3878.12,8297.855,8620.068,3710.575
JPN,1981,2,short,4,S014,132.755,58.846,1.863,1.295,1.798,4.844,13.518,32.961,29.678,27.814,31.388,36.355,55.511,96.52,171.755,308.609,616.766,1143.914,2057.719,3988.136,3462.241,5693.122,5244.293,8634.419,8436.583,11119.908
JPN,1981,2,short,4,S015,75.836,4890.342,108.933,16.781,7.644,6.883,4.714,5.899,4.724,4.836,6.24,7.345,8.643,10.401,12.523,16.055,14.226,16.618,16.96,6.751,8.414,0,0,0,0,0
