country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
LTU,1956,1,short,1,S000,9269.894,58626.912,2284.104,888.463,1027.821,1830.632,2271.907,2870.398,3318.946,4348.896,5637.192,6945.282,11441.608,16593.995,22311.492,33086.252,53455.389,83336.052,122692.84,193195.021,.,.,.,.,.,.
LTU,1956,1,short,1,S001,1067.031,6485.011,672.811,140.209,174.282,276.911,358.074,625.575,695.281,907.165,937.83,1155.43,1802.119,2616.578,1472.842,2186.987,3533.424,5501.178,8099.274,12752.42,.,.,.,.,.,.
LTU,1956,1,short,1,S002,1318.635,154.052,103.174,39.325,61.115,86.722,66.472,151.543,228.343,299.156,894.622,1102.187,2675.279,3880.13,4104.746,6086.894,9834.652,15331.702,22571.774,35543.568,.,.,.,.,.,.
LTU,1956,1,short,1,S003,27.704,250.606,10.913,0,0,0,0,0.092,0,0,42.662,52.601,46.353,67.202,50.772,75.266,121.692,190.321,280.18,439.834,.,.,.,.,.,.
LTU,1956,1,short,1,S004,26.923,370.665,2.381,3.484,6.56,10.01,20.334,11.035,14.809,19.393,0,0,8.719,12.698,53.059,78.476,126.603,197.571,290.557,459.198,.,.,.,.,.,.
LTU,1956,1,short,1,S005,14.876,6.509,0.099,0,1.985,9.009,19.969,0.644,21.771,28.551,22.425,27.584,16.42,23.833,21.498,31.747,51.296,79.753,117.606,185.339,.,.,.,.,.,.
LTU,1956,1,short,1,S006,106.166,1160.453,48.809,37.085,32.025,25.571,22.978,65.564,90.122,117.975,120.146,148.053,82.099,119.166,107.49,159.449,257.572,406.924,598.409,943.292,.,.,.,.,.,.
LTU,1956,1,short,1,S007,1329.524,0,5.159,38.246,91.932,132.586,144.616,177.75,282.644,370.444,698.45,860.479,1566.718,2272.363,4906.118,7275.095,11754.98,18326.083,26980.284,42481.328,.,.,.,.,.,.
LTU,1956,1,short,1,S008,421.02,0,0,0,0,0,15.501,38.529,62.402,81.882,237.922,293.155,727.125,1054.523,1481.99,2198.045,3551.432,5539.242,8156.347,12843.707,.,.,.,.,.,.
LTU,1956,1,short,1,S009,661.206,0,6.845,5.807,17.178,22.295,12.218,29.334,51.01,66.798,178.851,220.412,462.808,671.238,2896.512,4295.498,6938.608,10816.567,15925.285,25078.838,.,.,.,.,.,.
LTU,1956,1,short,1,S010,844.6,18751.673,460.313,66.039,50.411,12.467,55.53,17.38,61.769,80.984,182.862,225.415,521.949,756.999,1311.835,1945.138,3142.701,4899.402,7213.767,11358.23,.,.,.,.,.,.
LTU,1956,1,short,1,S011,901.494,1585.723,55.952,12.528,7.251,17.654,26.169,50.208,64.933,85.114,286.782,353.454,1232.218,1787.103,3350.029,4967.896,8026.194,12513.141,18422.691,29006.916,.,.,.,.,.,.
LTU,1956,1,short,1,S012,433.176,3496.185,123.808,12.776,24.256,34.125,71.122,59.036,108.476,145.987,241.568,297.646,627.588,910.156,1034.42,1534.208,2478.581,3863.513,5688.343,8957.123,.,.,.,.,.,.
