country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
LVA,1956,1,short,1,S000,11028.484,41222.003,1966.821,1249.71,1103.845,1692.874,3031.517,3117.251,3135.411,4013.469,5632.664,7246.81,11200.83,15450.982,25430.329,39302.841,55754.094,88053.793,128296.032,229350.217,.,.,.,.,.,.
LVA,1956,1,short,1,S001,906.939,4023.174,402.69,197.614,119.36,220.335,409.561,614.466,613.784,782.28,945.418,1216.326,1295.932,1787.578,1101.743,1702.81,2415.494,3807.797,5547.165,9916.694,.,.,.,.,.,.
LVA,1956,1,short,1,S002,1863.477,119.453,98.809,91.593,78.452,111.667,96.639,165.028,266.14,341.155,1057.212,1360.138,3055.304,4214.447,4783.586,7393.097,10487.408,16563.161,24132.912,43142.286,.,.,.,.,.,.
LVA,1956,1,short,1,S003,36.461,31.058,2.379,24.863,18.839,5.397,12.956,0.121,17.159,21.905,30.366,39.16,47.018,64.89,69.015,106.521,151.298,238.743,347.384,623.126,.,.,.,.,.,.
LVA,1956,1,short,1,S004,34.259,365.526,18.398,7.085,6.594,14.033,3.305,13.682,9.473,12.118,10.831,14.01,48.793,67.226,50.59,78.268,110.6,175.28,255.389,456.514,.,.,.,.,.,.
LVA,1956,1,short,1,S005,34.86,117.661,3.489,8.76,8.209,12.234,16.261,24.579,38.071,48.936,18.568,23.969,86.762,119.656,29.979,46.579,65.594,104.261,151.037,269.91,.,.,.,.,.,.
LVA,1956,1,short,1,S006,131.152,1410.142,124.978,58.357,58.536,33.344,61.87,16.466,111.89,143.313,73.498,94.524,158.975,219.327,118.044,182.498,258.546,414.022,602.774,1079.64,.,.,.,.,.,.
LVA,1956,1,short,1,S007,3363.917,0,16.812,69.564,102.539,182.433,108.273,135.364,270.072,346.049,1116.978,1437.108,2669.576,3682.612,10742.927,16602.398,23552.14,37197.794,54196.073,96887.704,.,.,.,.,.,.
LVA,1956,1,short,1,S008,954.46,0,0,0,0,0.36,14.278,27.121,48.259,61.986,243.898,315.306,846.33,1167.752,3100.681,4798.412,6806.952,10757.026,15683.098,28033.989,.,.,.,.,.,.
LVA,1956,1,short,1,S009,424.093,0,0,0,3.633,8.636,0,14.892,11.975,15.147,71.177,89.798,123.135,169.492,1528.949,2357.59,3344.345,5275.008,7676.782,13725.425,.,.,.,.,.,.
