country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
MDA,1965,1,short,1,S000,7607.003,55707.117,2545.822,720.397,802.098,1158.76,1374.746,2126.311,2704.868,3352.319,4366.01,6174.238,8472.437,13129.291,21920.841,34865.218,55839.256,91580.592,135596.153,268553.263,.,.,.,.,.,.
MDA,1965,1,short,1,S001,720.912,13142.111,441.234,74.425,75.386,48.457,100.202,270.734,399.934,602.875,635.682,698.441,969.314,1232.391,1567.271,1409.203,1263.249,816.749,1090.534,71.29,.,.,.,.,.,.
MDA,1965,1,short,1,S002,874.413,76.373,82.109,77.881,50.482,122.44,127.696,198.538,193.82,245.957,450.155,1131.108,1935.701,3335.545,5369.191,7045.675,7691.021,9256.488,7825.993,9757.03,.,.,.,.,.,.
MDA,1965,1,short,1,S003,12.145,76.373,6.302,24.338,5.609,16.287,0,16.565,0,18.253,11.221,15.671,14.074,0,0,0,0,0,0,0,.,.,.,.,.,.
MDA,1965,1,short,1,S004,41.156,375.051,0,17.961,0,8.184,0,16.565,17.652,15.361,67.545,15.671,89.462,35.423,73.667,297.16,386.052,221.639,219.722,463.386,.,.,.,.,.,.
MDA,1965,1,short,1,S005,62.022,458.806,63.583,0.292,11.555,0.567,0,9.313,44.613,45.541,79.544,96.531,266.715,92.698,171.737,154.564,128.684,110.82,439.445,0,.,.,.,.,.,.
MDA,1965,1,short,1,S006,94.321,1278.182,61.692,28.524,32.028,38.166,75.805,37.911,76.404,50.872,66.99,129.596,74.831,122.481,151.478,56.423,297.582,253.053,242.341,981.86,.,.,.,.,.,.
MDA,1965,1,short,1,S007,1961.992,749.534,24.828,21.028,89.633,87.11,145.22,206.944,195.839,433.633,514.256,971.737,1543.851,2581.272,6052.685,11832.727,23678.95,46284.185,73442.194,148280.287,.,.,.,.,.,.
MDA,1965,1,short,1,S008,859.898,0,0.063,0.535,0,0.648,2.13,17.472,65.953,156.954,189.971,448.651,517.265,1459.202,3289.473,5672.719,11681.301,18310.534,28630.145,71760.024,.,.,.,.,.,.
MDA,1965,1,short,1,S009,46.063,0,0.378,2.775,0.112,2.026,0,7.253,2.371,10.482,3.777,6.738,11.287,31.722,148.486,298.87,693.286,985.16,1908.03,4326.016,.,.,.,.,.,.
MDA,1965,1,short,1,S010,708.611,22794.915,810.567,71.31,29.167,24.472,17.426,15.329,63.319,42.198,109.65,149.655,225.188,304.177,505.081,426.762,454.148,1571.544,1035.603,1448.486,.,.,.,.,.,.
MDA,1965,1,short,1,S011,485.099,229.403,126.535,17.036,8.358,8.184,1.452,0.989,32.845,113.401,225.299,368.887,507.51,1288.257,2214.622,3554.64,5126.454,8052.307,14084.849,22689.713,.,.,.,.,.,.
MDA,1965,1,short,1,S012,345.368,576.062,44.174,14.603,27.989,32.656,58.766,74.256,123.124,281.83,449.044,674.308,811.849,1309.581,1129.181,2203.227,2122.752,3219.003,2416.946,4180.196,.,.,.,.,.,.
MDA,1965,1,short,1,S013,28.175,114.701,31.886,10.222,23.222,16.693,12.198,13.022,10.538,11.295,37.55,20.215,32.747,19.386,59.394,159.352,136.191,130.889,232.647,0,.,.,.,.,.,.
MDA,1965,1,short,1,S014,79.321,38.328,12.603,9.735,5.609,40.84,39.306,33.131,61.65,91.082,123.759,78.51,182.408,141.867,104.976,337.169,543.154,844.672,1403.961,1860.025,.,.,.,.,.,.
MDA,1965,1,short,1,S015,350.787,14411.776,120.044,29.205,22.436,8.184,9.778,0,0,9.126,0,0,14.074,0,0,38.641,0,0,0,0,.,.,.,.,.,.
