country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
NOR,1996,1,short,3,S000,10202.746,4543.105,352.954,152.728,193.589,536.604,811.669,1073.491,1059.574,1308.544,1851.127,3080.242,4901.834,7801.469,13694.712,22629.975,40533.556,65164.091,107465.435,200741.645,169972.016,289867.841,266319.625,419484.241,.,.
NOR,1996,1,short,3,S001,105.9,0,66.74,6.375,7.744,7.571,13.063,29.464,36.763,51.543,73.221,52.768,107.37,74.853,61.297,155.354,266.121,568.908,696.305,2391.806,2065.336,3335.683,3668.922,1272.206,.,.
NOR,1996,1,short,3,S002,2750.5,31.576,66.74,57.24,15.487,67.994,52.378,94.387,73.468,161.141,293.011,837.662,1726.004,2842.692,5468.12,8368.174,13637.886,19537.888,24512.573,34285.714,32855.579,38179.736,37767.829,39404.011,.,.
NOR,1996,1,short,3,S003,20.077,0,9.546,6.375,0,0,0,0,6.147,0,0,0,30.719,0,36.825,11.941,25.357,81.295,167.102,844.3,500.669,1853.744,1726.184,2544.413,.,.
NOR,1996,1,short,3,S004,148.98,94.729,0,0,0,30.212,32.72,35.402,24.47,19.352,59.908,85.717,99.727,138.897,257.423,430.356,456.295,845.217,1114.196,2579.478,2378.027,3150.661,2590.318,6361.032,.,.
NOR,1996,1,short,3,S005,183.549,0,0,0,0,7.571,6.531,11.82,42.851,38.703,79.877,92.344,122.73,192.334,282.012,382.591,507.008,877.799,1754.98,4502.781,3066.675,8710.132,8416.45,10166.189,.,.
NOR,1996,1,short,3,S006,201.369,189.457,19.092,0,23.231,45.354,19.658,35.402,42.851,25.802,73.221,98.909,153.449,203.042,220.715,334.708,785.807,1235.403,2256.287,2626.509,2566.006,2780.617,1942.738,7621.777,.,.
NOR,1996,1,short,3,S007,3228.676,0,0,0,7.744,7.571,39.252,58.985,61.233,154.691,319.636,771.702,1426.823,2126.691,4315.599,8009.583,13206.948,21423.334,37743.713,68149.053,57449.811,99155.947,89349.297,153810.888,.,.
NOR,1996,1,short,3,S008,1043.407,0,9.546,0,0,7.571,0,11.82,42.851,51.543,106.567,112.101,199.454,459.522,723.326,1458.48,3865.766,7200.792,14679.811,28985.665,24281.543,42627.313,41867.777,45765.043,.,.
NOR,1996,1,short,3,S009,322.545,0,0,0,0,0,0,0,12.235,12.901,19.969,19.756,46.005,213.75,367.781,573.769,1673.04,2486.936,3732.582,6847.556,5570.021,10563.877,10359.188,11438.395,.,.
NOR,1996,1,short,3,S010,402.294,157.881,9.546,0,0,0,0,0,0,0,6.656,19.756,30.719,32.022,98.122,155.354,621.112,1950.61,5933.078,19933.523,14080.788,37067.841,31508.589,68641.834,.,.
