country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
POL,1959,1,short,1,S000,9329.454,82556.918,2416.298,777.764,697.538,1333.139,2033.499,2199.429,2539.062,3177.336,4270.738,6171.2,10151.675,16828.58,27371.204,43074.351,66014.109,104477.237,161555.75,266090.406,.,.,.,.,.,.
POL,1959,1,short,1,S001,1057.044,10552.032,484.75,100.074,60.875,85.049,234.655,446.763,653.143,745.747,914.191,1195.988,1650.112,2317.998,3071.433,3925.282,3718.7,3770.68,3091.552,3265.072,.,.,.,.,.,.
POL,1959,1,short,1,S002,1102.571,132.343,106.883,77.122,61.865,75.694,90.027,125.63,200.484,339.856,686.959,1075.915,2066.295,3617.929,5619.379,8587.737,10712.537,13713.095,15391.101,18265.74,.,.,.,.,.,.
POL,1959,1,short,1,S003,25.363,174.325,13.924,5.945,1.615,5.304,4.096,9.354,11.342,12.087,13.922,13.504,43.747,40.349,93.94,115.165,156.727,125.484,345.084,577.586,.,.,.,.,.,.
POL,1959,1,short,1,S004,47.102,385.298,18.907,3.887,6.187,9.305,6.541,9.573,14.435,20.323,26.924,23.803,48.119,60.733,179.309,248.424,500.604,442.778,579.147,148.538,.,.,.,.,.,.
POL,1959,1,short,1,S005,21.09,2.821,0,0,0,0,0,0,0.7,0,0.511,1.67,2.361,10.498,53.364,133.551,297.483,671.133,1217.957,2688.038,.,.,.,.,.,.
POL,1959,1,short,1,S006,283.092,4265.51,218.966,72.658,52.195,65.767,86.849,86.205,79.069,81.672,122.962,135.283,194.67,289.705,451.837,718.423,1226.384,1766.367,2553.054,5127.041,.,.,.,.,.,.
POL,1959,1,short,1,S007,2265.829,1700.741,115.791,67.719,93.066,137.53,154.762,221.316,350.17,630.673,948.39,1660.295,2972.638,5236.273,9208.614,15020.751,25110.474,41377.837,68827.343,108385.708,.,.,.,.,.,.
POL,1959,1,short,1,S008,406.866,193.096,15.301,1.824,8.576,34.582,48.96,64.255,71.235,76.895,120.883,231.441,374.136,741.983,1442.044,2587.914,4530.965,8829.313,15577.958,30392.836,.,.,.,.,.,.
POL,1959,1,short,1,S009,250.601,351.416,16.392,3.802,8.1,2.144,4.176,18.944,21.753,21.707,44.765,82.029,147.745,297.466,702.446,1302.493,3156.112,6518.104,11843.663,25930.626,.,.,.,.,.,.
