country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
ROU,1980,1,short,1,S000,11122.845,37117.602,1771.106,830.107,619.931,1002.737,1448.944,1678.559,2155.429,3244.064,5119.738,7407.606,10587.986,15773.135,23898.648,37733.321,60512.806,95774.897,156067.944,261875.158,.,.,.,.,.,.
ROU,1980,1,short,1,S001,127.954,2211.082,96.444,32.608,12.587,12.277,28.776,29.561,52.303,100.237,127.824,154.282,150.97,182.384,245.724,179.883,155.778,196.603,172.561,96.921,.,.,.,.,.,.
ROU,1980,1,short,1,S002,1541.217,147.583,97.651,106.721,70.894,93.279,98.033,138.247,209.534,377.345,811.602,1594.253,2527.462,3819.411,5670.191,7691.52,9126.712,9590.471,8951.785,8784.668,.,.,.,.,.,.
ROU,1980,1,short,1,S003,7.392,85.889,14.271,5.041,3.921,1.375,3.428,2.25,2.63,1.557,4.025,3.956,1.402,1.825,20.399,12.843,16.466,36.392,25.362,31.548,.,.,.,.,.,.
ROU,1980,1,short,1,S004,55.697,136.89,8.514,4.103,1.975,1.348,10.237,5.62,13.351,29.816,36.725,50.989,72.297,126.056,160.986,252.223,328.055,333.419,306.634,194.817,.,.,.,.,.,.
ROU,1980,1,short,1,S005,24.563,0,0,0,0,0,4.475,14.21,20.704,33.009,56.865,68.477,69.753,58.636,46.563,35.564,26.968,15.491,10.833,14.31,.,.,.,.,.,.
ROU,1980,1,short,1,S006,113.727,1640.658,134.341,76.907,58.059,65.022,43.727,69.997,62.112,91.572,92.974,90.11,107.572,101.478,104.447,109.864,114.332,131.405,99.28,96.596,.,.,.,.,.,.
ROU,1980,1,short,1,S007,3351.677,190.65,10.136,8.412,11.256,21.452,60.729,121.901,266.601,571.403,1084.845,1755.415,2784.978,4523.44,7197.898,12746.352,22017.912,37385.394,63931.47,111220.861,.,.,.,.,.,.
ROU,1980,1,short,1,S008,1764.65,33.163,3.732,7.144,6.879,10.685,33.114,33.388,96.529,152.4,334.042,613.856,1135.19,2018.571,3793.45,6814.025,13024.979,21617.949,35476.672,59478.156,.,.,.,.,.,.
ROU,1980,1,short,1,S009,459.395,8.426,2.781,1.144,2.015,4.138,3.735,6.305,7.729,22.174,50.204,79.716,127.29,186.677,437.326,940.447,2563.749,6206.151,15575.902,33300.43,.,.,.,.,.,.
ROU,1980,1,short,1,S010,695.695,11987.472,524.934,92.948,71.529,53.738,57.369,62.173,103.09,135.684,238.682,296.333,326.82,517.996,852.631,1455.7,2413.271,4242.402,7557.656,13112.28,.,.,.,.,.,.
ROU,1980,1,short,1,S011,826.548,645.669,53.156,14.309,15.247,8.425,10.909,23.793,30.486,88.694,182.971,319.602,537.222,981.327,1598.432,3134.738,5768.203,10045.321,16187.004,26448.649,.,.,.,.,.,.
ROU,1980,1,short,1,S012,562.666,1670.273,81.856,19.66,15.882,42.522,55.946,97.183,157.164,281.636,516.554,713.877,1029.657,1475.854,1944.255,2162.208,2296.388,2292.712,2229.535,2211.941,.,.,.,.,.,.
ROU,1980,1,short,1,S013,10.381,127.872,6.123,6.175,1.975,1.402,1.127,3.358,2.643,9.31,3.947,13.545,11.695,10.768,20.745,31.257,23.489,26.525,50.341,0,.,.,.,.,.,.
ROU,1980,1,short,1,S014,205.062,53.958,7.294,11.361,8.993,15.109,18.22,35.478,48.345,67.622,106.02,130.102,187.921,273.022,381.754,744.007,1158.299,2213.932,3665.593,4814.493,.,.,.,.,.,.
ROU,1980,1,short,1,S015,335.583,16985.529,113.654,26.907,21.322,16.769,17.662,8.601,6.682,7.863,7.08,10.032,9.946,6.905,0,0,6.99,0,0,32.199,.,.,.,.,.,.
ROU,1980,1,short,1,S016,1040.637,1192.44,616.207,416.688,317.376,655.197,1001.457,1026.483,1075.514,1273.741,1465.38,1513.075,1507.795,1488.769,1423.812,1422.689,1471.214,1440.677,1827.316,2037.288,.,.,.,.,.,.
ROU,1980,2,short,1,S000,9976.34,28639.744,1539.583,526.439,326.695,534.748,736.75,975.072,1089.413,1635.678,2373.414,3683.681,5683.989,8753.499,13791.276,24696.751,43988.846,79037.639,139006.645,246367.342,.,.,.,.,.,.
ROU,1980,2,short,1,S001,75.961,2104.928,99.059,12.85,12.804,18.581,23.52,37.193,35.317,23.685,29.306,33.23,37.477,61.987,45.032,84.744,62.106,85.513,134.005,50.573,.,.,.,.,.,.
