country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
RUS,1965,1,short,1,S000,8249.238,40239.012,1710.812,899.409,737.262,1449.526,2476.972,3243.855,4274.379,5085.367,6819.54,8692.707,13014.522,18904.724,30135.975,42977.272,64768.345,92180.875,133926.507,213188.401,.,.,.,.,.,.
RUS,1965,1,short,1,S001,482.31,1786.59,250.234,69.284,41.381,48.11,105.902,220.267,373.248,522.435,764.287,891.081,1189.7,1507.403,2028.226,1932.156,1823.512,1688.89,1228.585,1132.035,.,.,.,.,.,.
RUS,1965,1,short,1,S002,1525.482,110.127,125.736,94.536,81.154,105.905,110.67,156.84,292.541,560.937,1120.475,2081.057,3978.53,6331.066,10057.267,13295.592,15262.924,15624.988,13022.614,10747.144,.,.,.,.,.,.
RUS,1965,1,short,1,S003,11.001,95.925,11.522,5.951,6.833,6.962,7.986,5.348,4.634,5.882,8.861,5.652,14.419,18.527,22.726,35.132,36.84,65.611,24.159,45.763,.,.,.,.,.,.
RUS,1965,1,short,1,S004,16.382,70.446,11.291,4.168,4.612,6.304,3.907,7.306,8.874,13.121,18.737,18.417,25.168,46.115,49.228,92.885,90.281,111.798,69.875,130.052,.,.,.,.,.,.
RUS,1965,1,short,1,S005,29.523,6.809,3.995,9.766,7.135,6.951,11.819,20.515,38.236,46.984,53.052,52.578,54.009,52.669,72.155,103.686,109.379,158.106,173.837,288.952,.,.,.,.,.,.
RUS,1965,1,short,1,S006,88.42,356.212,70.094,41.143,40.857,53.261,68.351,71.358,75.779,74.736,107.851,110.226,127.383,140.891,159.048,204.352,298.12,376.167,468.751,683.807,.,.,.,.,.,.
RUS,1965,1,short,1,S007,1713.046,8.038,5.137,14.634,32.006,79.28,115.205,167.858,319.193,522.81,971.22,1478.343,2511.274,3963.709,7116.469,11249.558,20343.04,33639.501,55552.829,96431.585,.,.,.,.,.,.
RUS,1965,1,short,1,S008,873.205,10.057,0.664,0.654,1.586,5.217,15.699,27.349,64.697,114.649,259.627,452.84,984.596,1835.281,3868.751,6797.12,12405.078,19561.952,31432.811,50036.474,.,.,.,.,.,.
RUS,1965,1,short,1,S009,255.981,5.736,1.046,1.095,0.159,2.174,5.873,10.497,21.744,42.036,77.367,116.097,216.336,372.658,785.282,1398.516,3153.139,5862.448,11877.804,26618.468,.,.,.,.,.,.
RUS,1965,1,short,1,S010,394.804,10862.012,478.787,52.647,27.056,25.354,23.248,25.715,43.868,71.503,131.214,207.867,314.465,523.979,764.997,1073.824,1555.625,1994.801,2607.133,3616.554,.,.,.,.,.,.
RUS,1965,1,short,1,S011,417.287,102.987,17.103,5.282,5.99,6.903,20.976,26.411,52.791,98.983,199.586,361.72,637.013,1193.991,2197.13,3389.146,5430.366,7640.801,10592.912,14521.941,.,.,.,.,.,.
RUS,1965,1,short,1,S012,253.468,2257.104,66.601,21.524,17.038,25.134,54.812,79.232,127.814,171.157,269.542,345.418,495.312,628.633,882.487,1216.445,1661.687,1992.804,2492.439,2842.632,.,.,.,.,.,.
RUS,1965,1,short,1,S013,16.677,69.861,7.247,4.74,8.749,11.639,5.979,8.455,12.244,12.221,22.974,26.529,27.997,31.787,45.141,51.807,75.727,79.739,113.37,199.87,.,.,.,.,.,.
RUS,1965,1,short,1,S014,92.404,19.665,11.759,8.565,11.798,25.931,45.05,42.574,60.524,72.561,96.153,113.011,139.529,166.504,287.057,439.817,820.364,1297.295,1948.612,2757.497,.,.,.,.,.,.
RUS,1965,1,short,1,S015,442.134,23542.609,120.772,38.085,24.347,18.771,8.457,4.419,5.662,1.893,2.331,2.96,2.576,3.486,3.119,5.132,10.544,16.535,28.697,29.506,.,.,.,.,.,.
RUS,1965,1,short,1,S016,1637.112,934.834,528.826,527.337,426.562,1021.631,1873.042,2369.713,2772.531,2753.461,2716.254,2428.906,2296.211,2088.035,1796.891,1692.105,1691.718,2069.486,2292.079,3106.119,.,.,.,.,.,.
RUS,1965,2,short,1,S000,7258.927,31091.066,1476.603,544.572,435.6,631.164,913.066,1075.769,1437.969,1772.043,2606.104,3767.718,5287.943,7731.356,12759.951,21862.309,37737.832,62359.905,104203.888,182890.413,.,.,.,.,.,.
RUS,1965,2,short,1,S001,212.321,1545.302,229.639,61.629,31.925,42.424,116.901,163.102,195.477,198.454,219.292,216.996,228.015,262.585,348.169,422.71,466.962,515.694,582.162,597.282,.,.,.,.,.,.
RUS,1965,2,short,1,S002,1420.941,98.875,102.581,68.693,58.714,84.448,104.02,154.007,297.689,516.729,952.814,1589.741,2314.161,3181.334,4595.125,6351.593,7408.076,8105.111,7963.011,7300.605,.,.,.,.,.,.
RUS,1965,2,short,1,S003,13.794,88.664,11.048,4.937,6.136,4.258,6.097,4.987,7.151,6.989,11.256,18.208,20.501,24.008,27.286,37.269,36.363,25.113,41.691,34.357,.,.,.,.,.,.
RUS,1965,2,short,1,S004,28.856,56.52,15.615,4.403,5.944,8.39,5.317,7.572,11.163,13.698,19.098,27.514,32.82,58.824,88.041,118.049,122.275,122.776,122.699,95.52,.,.,.,.,.,.
RUS,1965,2,short,1,S005,19.275,7.737,5.13,7.903,4.95,5.333,7.482,5.236,7.833,10.363,12.642,20.123,25.078,28.387,35.133,70.437,54.538,118.028,158.449,269.454,.,.,.,.,.,.
RUS,1965,2,short,1,S006,69.535,280.659,61.259,37.263,26.283,35.623,38.425,40.334,47.138,49.238,59.301,59.429,69.034,83.609,92.823,127.466,192.094,253.087,366.721,718.65,.,.,.,.,.,.
RUS,1965,2,short,1,S007,2212.132,11.57,4.695,14.267,35.653,59.957,95.643,142.538,210.88,248.745,414.186,618.231,950.468,1590.094,3177.615,6570.7,13607.56,25173.545,46324.128,87561.143,.,.,.,.,.,.
RUS,1965,2,short,1,S008,1393.288,6.357,0.69,1.374,1.792,3.329,8.864,17.095,34.711,55.352,143.169,307.681,593.99,1142.497,2285.438,4680.339,9417.463,16875.209,28980.517,48551.192,.,.,.,.,.,.
RUS,1965,2,short,1,S009,368.176,8.013,0.447,1.068,2.27,3.968,8.766,10.924,14.975,10.78,26.471,33.231,59.726,127.569,311.484,740.465,2037.055,4317.113,9452.083,21978.487,.,.,.,.,.,.
RUS,1965,2,short,1,S010,272.874,8495.134,439.478,56.865,26.077,15.59,16.704,14.701,19.378,24.118,35.844,59.766,87.026,137.155,248.497,411.979,741.684,1153.6,1679.536,2746.814,.,.,.,.,.,.
RUS,1965,2,short,1,S011,289.476,73.834,15.208,4.228,4.695,6.587,10.607,11.163,17.09,22.301,33.637,91.906,132.321,257.447,557.786,1004.201,1907.436,3354.013,5403.22,9037.504,.,.,.,.,.,.
RUS,1965,2,short,1,S012,184.851,1651.648,53.138,16.922,12.856,13.742,30.3,33.649,44.836,54.845,81.534,115.846,187.1,250.635,398.344,641.296,915.823,1189.919,1569.134,1954.222,.,.,.,.,.,.
RUS,1965,2,short,1,S013,21.781,56.766,6.48,5.428,6.879,6.883,9.525,11.879,12.517,14.418,17.944,24.872,23.6,37.403,46.124,58.986,77.628,96.277,125.919,126.218,.,.,.,.,.,.
RUS,1965,2,short,1,S014,87.604,15.474,8.498,10.381,13.783,34.735,103.652,142.197,167.237,158.854,110.668,73.529,82.12,91.409,110.734,126.09,128.924,151.427,177.236,284.469,.,.,.,.,.,.
RUS,1965,2,short,1,S015,269.652,17911.978,121.349,32.112,21.667,14.911,7.339,4.229,2.344,2.527,2.459,3.062,3.221,2.831,3.463,4.161,3.15,5.859,7.9,15.218,.,.,.,.,.,.
RUS,1965,2,short,1,S016,394.372,782.534,401.345,217.098,175.977,290.984,343.427,312.157,347.549,384.632,465.781,507.581,478.759,455.565,433.889,496.558,620.795,903.134,1249.482,1619.336,.,.,.,.,.,.
RUS,1965,3,short,1,S000,7707.804,35771.8,1596.169,725.241,589.564,1050.497,1698.456,2158.435,2843.215,3335.239,4236.021,5641.322,8085.568,11664.975,18091.789,28090.413,45776.372,70359.827,111926.908,190043.639,.,.,.,.,.,.
RUS,1965,3,short,1,S001,334.698,1668.762,240.153,65.527,36.751,45.337,111.379,191.648,283.55,351.305,430.117,473.439,576.22,700.827,863.697,867.936,870.384,830.422,750.126,723.535,.,.,.,.,.,.
RUS,1965,3,short,1,S002,1468.326,104.632,114.402,81.851,70.167,95.443,107.359,155.422,295.138,537.586,1017.672,1776.652,2916.793,4290.205,6271.187,8399.806,9744.01,10122.431,9277.68,8114.296,.,.,.,.,.,.
RUS,1965,3,short,1,S003,12.528,92.379,11.29,5.454,6.491,5.644,7.046,5.167,5.904,6.467,10.33,13.431,18.3,22.08,25.886,36.639,36.504,35.977,37.135,37.05,.,.,.,.,.,.
RUS,1965,3,short,1,S004,23.202,63.646,13.408,4.283,5.265,7.32,4.609,7.438,10.029,13.425,18.958,24.054,30.05,54.35,76.129,110.627,112.76,119.831,108.974,103.651,.,.,.,.,.,.
RUS,1965,3,short,1,S005,23.92,7.262,4.551,8.852,6.065,6.162,9.66,12.866,22.895,27.641,28.275,32.468,35.553,36.936,46.493,80.244,70.847,128.78,162.447,274.057,.,.,.,.,.,.
