country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
SWE,1997,1,short,3,S000,10685.325,3995.342,225.887,169.773,105.517,298.811,699.362,654.804,785.484,1252.019,1732.56,2655.468,4415.52,6992.197,12261.366,20416.308,34132.779,57369.598,99168.508,195847.732,164934.229,290741.879,268729.47,429558.103,.,.
SWE,1997,1,short,3,S001,96.255,64.136,19.621,9.802,0,3.997,0,9.969,15.115,34.38,37.222,55.333,49.254,54.7,81.995,109.522,214.552,358.98,934.453,2114.653,1443.203,4211.518,3968.428,5713.788,.,.
SWE,1997,1,short,3,S002,2681.664,106.823,39.287,39.176,11.305,35.857,60.974,76.459,96.668,151.347,362.068,689.913,1462.614,2191.878,4387.872,7349.438,10900.229,16154.637,22112.491,30405.128,28815.665,34947.889,34699.388,35414.224,.,.
SWE,1997,1,short,3,S003,19.387,21.449,0,0,3.768,0,3.585,0,3.035,10.311,10.148,9.752,3.065,4.208,20.511,21.915,34.8,34.541,146.371,639.682,442.184,1255.747,1182.085,1715.16,.,.
SWE,1997,1,short,3,S004,219.114,42.687,9.833,6.535,3.768,7.955,7.169,6.646,15.115,44.725,33.85,71.596,117.019,172.474,363.951,492.903,829.103,1070.086,1688.843,3411.924,2537.134,6132.278,6078.482,6282.095,.,.
SWE,1997,1,short,3,S005,276.727,0,0,0,0,3.997,25.093,49.843,42.309,130.692,152.292,169.207,221.686,332.367,328.081,284.789,411.676,835.358,2161.76,6468.451,5726.014,8718.753,7682.74,15421.085,.,.
SWE,1997,1,short,3,S006,177.327,149.51,19.621,9.802,15.074,19.908,25.093,23.26,24.16,37.828,47.37,45.55,89.282,180.89,199.91,257.409,614.609,1021.77,1846.482,1848.104,1978.526,1403.606,1435.389,1141.734,.,.
SWE,1997,1,short,3,S007,3663.07,42.687,14.749,6.535,7.537,19.908,39.466,19.937,36.239,92.864,257.18,608.534,1099.267,2145.635,3931.619,6949.661,12146.817,20869.828,36332.557,74280.254,62589.401,110164.473,100467.476,171935.879,.,.
SWE,1997,1,short,3,S008,1027.875,0,0,3.267,0,0,3.585,13.292,15.115,27.518,50.775,107.394,234.007,315.536,768.874,1544.345,2956.966,5916.45,12193.409,23474.694,20110.562,33765.72,32588.522,40554.586,.,.
SWE,1997,1,short,3,S009,479.485,0,0,0,0,0,7.169,0,9.075,17.207,30.445,32.558,98.537,176.682,415.229,761.242,1594.474,2699.339,5010.191,11159.739,8379.344,19801.141,16969.738,38271.118,.,.
SWE,1997,1,short,3,S010,414.063,21.449,0,0,0,3.997,7.169,6.646,0,20.621,10.148,29.286,61.575,84.154,81.995,213.578,556.628,1712.11,4661.221,15922.314,11475.085,29776.341,24905.782,61689.459,.,.
SWE,1997,1,short,3,S011,395.863,0,4.916,6.535,0,0,10.754,3.323,0,6.863,16.925,16.263,52.349,138.854,317.826,679.101,1559.674,2582.009,4458.511,7303.567,6377.533,10122.358,10046.91,10280.723,.,.
SWE,1997,1,short,3,S012,324.552,42.687,9.833,0,3.768,3.997,0,0,15.115,24.07,71.072,156.215,237.103,269.251,445.946,651.72,863.903,1422.144,2702.172,6503.922,5563.02,9383.766,9455.867,8570.683,.,.
SWE,1997,1,short,3,S013,46.013,0,0,3.267,0,0,0,3.323,3.035,10.311,0,16.263,12.321,37.869,30.767,87.607,150.762,296.888,405.309,835.289,675.032,1330.027,928.781,3998.628,.,.
SWE,1997,1,short,3,S014,155.451,0,0,0,0,0,0,0,0,10.311,13.52,6.512,12.321,25.246,112.762,114.987,382.685,773.198,1688.843,4922.366,3980.108,7831.601,7429.436,10280.723,.,.
SWE,1997,1,short,3,S015,58.343,3439.779,49.119,22.839,11.305,11.952,14.339,16.614,15.115,24.07,13.52,9.752,9.226,29.454,25.614,21.915,17.371,55.238,33.804,88.85,93.139,73.579,84.435,0,.,.
SWE,1997,1,short,3,S016,650.139,64.136,58.908,62.047,48.99,187.242,494.93,425.46,495.45,608.803,626.025,631.309,655.864,833,748.413,876.229,898.703,1567.161,2792.203,6468.451,4748.28,11821.681,10806.822,18277.979,.,.
SWE,1997,2,short,3,S000,10416.131,3047.265,199.75,74.45,123.578,244.505,310.783,260.778,453.222,613.008,1019.996,1602.686,2843.035,4189.017,6598.246,10698.603,18851.32,32280.468,63122.185,153289.128,115645.728,233734.464,206347.535,357777.972,.,.
