country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
UKR,1965,1,short,1,S000,8030.414,26101.994,1522.459,699.974,615.374,1176.047,1609.114,2232.613,2772.341,3680.254,5014.764,6808.077,10242.201,14804.867,23987.755,36384.658,52767.491,83681.799,120326.744,209837.026,.,.,.,.,.,.
UKR,1965,1,short,1,S001,500.412,2125.338,141.798,44.077,36.53,43.466,111.873,252.276,370.585,555.322,763.159,847.159,980.253,1283.11,1611.211,1694.428,1779.786,1428.474,929.813,808.142,.,.,.,.,.,.
UKR,1965,1,short,1,S002,1356.603,120.667,128.115,106.841,85.41,115.311,123.499,159.978,272.392,466.691,887.427,1561.826,3008.317,4460.549,6836.536,9171.947,9457.151,9425.914,7802.626,6614.624,.,.,.,.,.,.
UKR,1965,1,short,1,S003,10.851,24.676,11.818,4.311,5.66,7.245,3.633,7.099,6.723,9.533,4.374,12.046,14.121,18.755,32.526,51.906,31.329,23.884,28.756,0,.,.,.,.,.,.
UKR,1965,1,short,1,S004,15.678,32.902,6.841,3.355,3.604,3.623,5.089,4.731,8.069,10.658,16.628,21.411,34.288,34.204,50.261,74.75,76.897,95.536,38.372,63.748,.,.,.,.,.,.
UKR,1965,1,short,1,S005,30.356,167.278,26.118,15.812,13.892,9.054,7.265,9.939,18.161,27.487,28.004,24.092,25.215,45.234,47.301,103.832,133.849,176.752,191.677,467.819,.,.,.,.,.,.
UKR,1965,1,short,1,S006,90.09,586.856,90.179,44.557,31.901,60.374,50.123,63.425,56.493,66.75,71.766,99.036,138.167,144.529,153.731,155.738,222.131,243.646,335.458,510.385,.,.,.,.,.,.
UKR,1965,1,short,1,S007,2430.71,2.413,6.339,11.586,32.288,53.111,104.757,158.735,233.769,441.763,754.651,1232.633,2053.599,3507.64,6822.767,12349.682,22042.591,41033.761,65577.342,125116.425,.,.,.,.,.,.
UKR,1965,1,short,1,S008,691.262,0.356,2.367,1.346,3.729,6.655,18.742,32.955,48.715,88.315,197.541,384.073,653.18,1127.234,2121.643,3776.513,6713.288,10878.039,18190.254,31081.004,.,.,.,.,.,.
UKR,1965,1,short,1,S009,223.194,0,0,0,1.03,3.02,4.361,6.151,8.746,17.388,37.631,54.868,78.664,201.896,437.534,930.278,1907.956,4438.243,8118.944,17504.171,.,.,.,.,.,.
