country,year,sex,list,agf,cause,total,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
USA,1979,1,short,4,S000,9578.453,14754.046,710.346,367.159,398.71,1436.103,1996.128,1933.611,1910.27,2449.724,3677.807,5952.295,9567.288,14451.914,22592.717,33323.115,50604.624,72726.172,110819.927,186043.014,162024.556,249595.163,233187.113,327133.644,320613.06,378681.757
USA,1979,1,short,4,S001,91.893,253.053,33.647,6.773,6.058,8.992,11.168,14.504,18.77,26.026,39.584,67.399,93.366,132.447,196.061,297.535,446.579,691.946,1036.554,1792.232,1546.54,2442.441,2278.73,3216.41,3093.008,4194.858
USA,1979,1,short,4,S002,2089.919,51.032,56.973,56.7,50.155,69.812,88.374,120.685,167.019,304.421,640.481,1350.084,2579.397,4161.964,6656.434,9572.849,13378.367,16693.969,21129.79,25178.73,24864.833,25986.105,26046.726,25654.618,26362.043,19998.199
USA,1979,1,short,4,S003,26.169,52.411,12.99,3.474,4.432,5.207,7.855,7.785,7.942,12.092,13.741,15.267,21.445,36.164,47.209,68.374,115.166,164.262,315.943,554.204,464.726,791.073,731.021,1075.181,1099.475,880.223
USA,1979,1,short,4,S004,180.957,126.972,14.911,7.645,9.027,10.248,15.393,22.245,29.167,47.453,76.743,112.302,178.998,283.93,447.236,671.359,1010.453,1492.092,2242.911,3486.831,3070.084,4589.249,4398.346,5488.447,5050.162,8970.72
USA,1979,1,short,4,S005,76.986,4.07,3.269,3.026,1.546,8.751,18.595,33.842,44.245,53.71,82.674,96.863,116.323,125.737,144.752,161.856,219.858,363.983,906.832,1862.129,1511.744,2790.092,2595.989,3707.679,3461.582,5661.896
USA,1979,1,short,4,S006,116.594,337.718,56.057,21.003,18.985,35.073,32.342,32.155,36.183,45.167,59.627,80.589,118.062,165.567,249.569,368.645,539.898,813.728,1009.3,1370.946,1356.52,1407.865,1317.426,1835.245,1685.225,3027.037
USA,1979,1,short,4,S007,3651.025,173.009,20.365,6.231,8.8,21.253,42.066,76.675,162.906,427.547,1020.749,2104.936,3715.567,6005.021,9521.433,14038.429,21629.351,31716.188,49298.419,88456.849,75182.516,123594.934,114528.68,166462.569,162029.604,201568.133
USA,1979,1,short,4,S008,662.301,42.375,3.854,2.975,3.572,5.517,12.581,20.716,33.361,66.664,124.598,211.371,357.012,581.773,1084.552,1949.219,3868.996,6929.969,12805.798,24022.865,20723.141,32755.376,30914.472,41446.993,41211.568,43276.172
USA,1979,1,short,4,S009,247.152,11.16,0.965,0.209,0.79,2.88,3.719,7.312,11.287,20.932,36.408,67.065,128.997,236.242,473.513,848.906,1492.207,2363.222,4227.465,9182.306,7128.575,14623.198,12737.305,23558.732,22695.044,30406.907
USA,1979,1,short,4,S010,159.569,325.854,28.777,7.593,4.932,6.625,8.248,13.195,18.025,29.486,38.595,55.241,92.238,133.983,203.447,357.145,680.744,1249.359,3023.372,7276.454,5772.292,11260.925,10078.638,16859.075,16055.935,23234.398
USA,1979,1,short,4,S011,442.113,162.496,16.684,4.34,5.425,8.141,12.52,15.887,19.392,31.171,60.985,125.961,257.106,514.116,1099.065,1954.244,3326.228,4690.524,6384.287,7857.114,7445.85,8940.577,8539.489,10831.406,10987.767,9574.966
USA,1979,1,short,4,S012,366.823,172.14,10.783,2.566,3.232,5.269,16.492,48.199,101.142,199.546,345.353,515.469,711.93,846.805,1056.354,1292.196,1552.701,1953.005,2741.232,4564.612,4069.753,5873.254,5539.609,7448.63,7460.04,7352.621
USA,1979,1,short,4,S013,33.072,11.274,2.389,0.978,1.272,2.236,2.639,3.315,6.502,7.339,10.826,19.294,33.139,44.145,76.986,122.541,172.905,291.251,414.567,818.024,692.062,1151.485,1068.368,1544.594,1624.224,909.273
USA,1979,1,short,4,S014,135.945,95.871,3.741,2.135,2.217,3.534,5.803,10.612,13.838,19.052,33.152,45.618,75.028,117.665,216.886,391.765,712.634,1330.255,2522.213,5068.514,4224.331,7303.68,6837.293,9507.328,9497.67,9574.966
USA,1979,1,short,4,S015,225.397,12485.743,91.486,18.407,17.024,20.097,17.376,14.978,13.005,17.29,15.146,20.046,21.918,22.101,22.65,27.394,38.764,40.039,44.377,66.303,48.662,113.035,106.581,143.531,92.603,549.05
USA,1979,1,short,4,S016,1072.539,448.858,353.452,223.108,261.242,1222.469,1700.956,1491.505,1227.486,1141.831,1079.146,1064.784,1066.763,1044.257,1096.566,1200.657,1419.773,1942.393,2716.866,4484.917,3922.926,5971.76,5468.44,8353.205,8207.11,9505.245
USA,1979,2,short,4,S000,7528.811,11710.687,569.534,253.342,232.496,528.258,624.365,675.344,828.935,1274.756,2015.297,3198.286,5017.338,7353.955,11281.303,16461.886,26162.861,41346.292,70366.76,141715.007,115155.206,200719.061,180917.922,280621.479,270057.728,357415.575
USA,1979,2,short,4,S001,76.912,221.445,24.787,7.729,5.837,8.924,9.675,12.065,14.856,21.167,26.152,38.682,55.449,88.617,114.497,166.46,258.734,393.264,583.249,1186.479,1000.54,1599.226,1421.476,2316.932,2246.321,2828.425
USA,1979,2,short,4,S002,1654.014,49.955,49.47,43.57,38.386,45.093,59.89,97.234,197.803,390.704,748.131,1337.646,2201.888,3107.826,4278.431,5439.718,6859.613,8375.435,10627.061,13052.714,12506.319,14249.738,14254.134,14195.616,14643.413,10837.009
USA,1979,2,short,4,S003,26.465,39.909,9.042,2.663,3.133,4.263,5.981,6.957,9.697,10.594,12.305,16.084,21.73,30.316,34.481,49.617,78.644,120.538,211.651,403.373,339.258,545.699,504.731,710.795,731.404,555.535
USA,1979,2,short,4,S004,227.148,105.114,15.387,11.502,10.651,11.221,14.575,18.84,26.631,41.515,54.558,90.094,142.455,243.415,397.587,587.662,950.095,1409.058,2104.033,3357.585,2964.666,4228.387,3944.886,5368.877,5227.039,6393.636
USA,1979,2,short,4,S005,55.769,3.462,3.118,2.336,2.146,2.497,5.66,12.49,14.071,20.922,28.236,32.2,43.025,43.758,47.656,60.679,113.772,226.958,589.753,1537.406,1158.986,2378.87,2105.313,3483.726,3385.003,4198.684
USA,1979,2,short,4,S006,95.156,250.422,48.172,20.343,16.03,13.119,19.255,21.891,28.633,35.589,47.412,54.666,82.342,113.171,163.734,223.575,335.003,478.924,623.729,897.774,781.246,1156.19,1056.472,1558.247,1538.604,1696.511
USA,1979,2,short,4,S007,2947.694,125.848,20.911,6.729,8.348,13.22,26.716,39.5,69.837,147.041,313.598,595.888,1103.044,1933.372,3600.611,5973.121,10819.478,18706.05,33785.952,71985.119,57154.925,104943.091,93852.608,149714.849,142885.94,199485.065
USA,1979,2,short,4,S008,869.113,36.757,2.751,2.171,2.761,5.232,11.476,17.569,32.515,60.206,113.718,194.374,286.336,438.244,749.226,1350.483,2771.415,5399.343,10909.293,24139.532,19599.515,34225.559,31130.833,46706.301,45689.373,54021.012
USA,1979,2,short,4,S009,227.867,8.922,0.999,0.393,0.467,1.86,3.119,5.142,5.97,10.572,22.164,35.218,52.784,93.433,172.906,328.763,604.576,1191.182,2615.067,7866.714,5498.718,13135.271,10980.566,21852.164,20183.732,34070.693
USA,1979,2,short,4,S010,136.678,262.151,24.12,6.241,4.977,5.573,6.618,8.798,10.156,15.152,22.366,30.14,40.838,61.128,99.037,151.13,290.495,621.749,1577.941,4478.674,3203.505,7315.406,6182.187,11898.74,11047.104,18132.37
USA,1979,2,short,4,S011,202.39,136.03,16.245,4.814,3.629,7.852,8.909,11.543,12.729,27.758,43.434,72.381,143.462,239.649,456.008,639.976,935.779,1242.22,1551.685,2530.606,2211.283,3238.629,2865.492,4745.644,4590.255,5872.539
USA,1979,2,short,4,S012,278.665,124.783,9.371,3.23,3.569,6.373,12.13,27.627,48.81,98.077,173.758,251.822,361.932,435.002,525.256,672.374,919.783,1274.958,2039.096,3957.594,3445.293,5093.652,4787.272,6325.041,6223.852,7046.14
USA,1979,2,short,4,S013,53.087,8.951,1.381,1.354,2.323,5.204,8.968,12.747,15.031,17.453,21.128,28.006,43.054,57.504,82.563,119.12,188.315,284.068,446.258,847.942,703.262,1169.227,1022.959,1760.329,1774.593,1648.48
USA,1979,2,short,4,S014,125.156,76.291,2.275,0.98,2.216,6.658,13.697,16.327,20.567,25.543,27.747,40.311,57.247,82.152,146.743,248.239,424.476,750.737,1302.965,2757.34,2324.016,3719.253,3403.057,4993.863,4957.266,5244.503
USA,1979,2,short,4,S015,164.147,9898.925,80.735,17.368,15.714,11.832,9.292,10.998,9.691,14.832,14.675,17.922,20.265,25.366,20.252,21.002,23.677,30.309,35.531,54.087,52.306,57.98,54.126,73.534,58.467,183.97
USA,1979,2,short,4,S016,388.549,361.734,260.773,121.92,112.31,379.336,408.407,355.614,311.936,337.632,345.917,362.852,361.49,360.998,392.316,429.961,589.006,841.498,1363.497,2662.055,2211.361,3662.861,3351.81,4916.822,4875.486,5201.909
USA,1979,3,short,4,S000,8524.815,13267.869,641.551,311.51,317.338,989.522,1310.604,1300.674,1363.357,1851.65,2828.875,4536.129,7199.235,10706.754,16521.725,23944.073,36422.927,53457.625,84393.029,155095.013,129811.775,214229.237,195675.84,292317.807,282864.02,362472.3
USA,1979,3,short,4,S001,84.192,237.618,29.318,7.24,5.95,8.959,10.422,13.277,16.791,23.553,32.725,52.633,73.631,109.32,152.284,224.625,337.586,508.542,740.423,1369.32,1171.28,1832.305,1663.516,2543.122,2460.798,3153.339
USA,1979,3,short,4,S002,1865.838,50.509,53.307,50.28,44.394,57.652,74.139,108.889,182.588,348.34,695.451,1343.688,2382.92,3605.76,5380.126,7273.799,9596.028,11586.042,14268.657,16712.842,16370.964,17493.867,17583.727,17077.19,17611.887,13014.688
USA,1979,3,short,4,S003,26.321,46.306,11.061,3.077,3.796,4.743,6.919,7.369,8.83,11.329,13.008,15.687,21.594,33.078,40.378,57.942,93.975,137.414,247.812,448.9,378.5,613.524,568.623,802.344,824.641,632.74
USA,1979,3,short,4,S004,204.702,116.295,15.143,9.531,9.822,10.726,14.985,20.533,27.885,44.431,65.414,100.882,159.979,262.553,420.589,624.803,975.432,1441.106,2152.189,3396.597,2997.631,4328.119,4072.918,5398.945,5182.234,7006.421
USA,1979,3,short,4,S005,66.079,3.773,3.196,2.689,1.84,5.674,12.131,23.101,28.984,37.02,54.876,63.612,78.174,82.482,92.639,105.576,158.304,279.844,699.693,1635.421,1269.297,2492.555,2243.853,3540.125,3404.401,4546.61
USA,1979,3,short,4,S006,105.574,295.092,52.204,20.681,17.539,24.273,25.802,26.993,32.364,40.291,53.389,67.259,99.471,137.921,203.5,287.951,421.013,608.144,757.418,1040.597,961.134,1225.757,1130.151,1627.903,1575.745,2012.887
USA,1979,3,short,4,S007,3289.471,149.978,20.632,6.474,8.579,17.301,34.395,57.975,115.834,284.766,659.655,1328.954,2355.861,3856.66,6343.645,9552.111,15357.203,23727.422,39164.568,76956.961,62792.354,110098.774,99690.383,153926.449,147735.174,199980.382
USA,1979,3,short,4,S008,768.615,39.629,3.315,2.582,3.175,5.377,12.029,19.133,32.933,63.377,119.042,202.631,320.228,506.042,904.578,1616.173,3232.153,5990.101,11566.865,24104.317,19950.885,33819.192,31069.744,45383.753,44555.09,51466.078
USA,1979,3,short,4,S009,237.238,10.067,0.982,0.299,0.632,2.378,3.419,6.221,8.598,15.658,29.134,50.689,89.331,160.891,312.174,559.577,977.182,1643.541,3174.132,8263.814,6008.393,13546.559,11476.572,22281.312,20819.879,33199.509
USA,1979,3,short,4,S010,147.802,294.746,26.502,6.932,4.954,6.107,7.434,10.983,14.046,22.19,30.307,42.334,65.487,95.542,147.409,242.549,454.312,863.98,2079.113,5323.163,4006.794,8405.998,7282.348,13146.106,12315.903,19344.852
USA,1979,3,short,4,S011,318.881,149.572,16.47,4.571,4.545,7.999,10.715,13.703,16.022,29.434,52.024,98.409,197.958,369.297,753.928,1223.184,1939.232,2573.122,3227.286,4138.364,3848.19,4814.744,4467.514,6276.019,6210.824,6752.911
USA,1979,3,short,4,S012,321.504,149.014,10.093,2.891,3.397,5.812,14.312,37.851,74.674,147.896,257.73,379.897,529.77,629.522,771.306,947.42,1185.467,1536.656,2282.55,4140.817,3640.569,5309.147,4999.671,6607.588,6536.994,7118.325
USA,1979,3,short,4,S013,43.361,10.14,1.897,1.161,1.787,3.696,5.802,8.059,10.816,12.486,16.086,23.775,38.299,51.193,79.978,120.638,181.846,286.843,435.27,838.912,699.76,1164.323,1035.761,1705.996,1736.409,1472.709
